Id,FullName,Country,GroupID
M2307,Hubert PIRKER,Austria,PPE-DE
M1965,Jan MULDER,Netherlands,ALDE
M1941,Roberta ANGELILLI,Italy,UEN
M28137,Kader ARIF,France,PSE
M4537,Sir Robert ATKINS,United Kingdom,PPE-DE
M33775,Jean-Pierre AUDY,France,PPE-DE
M23866,Edit BAUER,Slovakia,PPE-DE
M28214,Jean-Luc BENNAHMIAS,France,Verts/ALE
M4746,Sergio BERLATO,Italy,UEN
M28174,Thijs BERMAN,Netherlands,PSE
M23788,Adam BIELAN,Poland,UEN
M2107,Jan ANDERSSON,Sweden,PSE
M4547,Elspeth ATTWOOLL,United Kingdom,ALDE
M1429,Christopher BEAZLEY,United Kingdom,PPE-DE
M29074,Vito BONSIGNORE,Italy,PPE-DE
M33570,Sharon BOWLES,United Kingdom,ALDE
M28171,Emine BOZKURT,Netherlands,PSE
M28463,Frieda BREPOELS,Belgium,PPE-DE
M28354,Jan BŘEZINA,Czechia,PPE-DE
M28120,Simon BUSUTTIL,Malta,PPE-DE
M4532,Michael CASHMAN,United Kingdom,PSE
M28148,Françoise CASTEX,France,PSE
M28243,Jorgo CHATZIMARKAKIS,Germany,ALDE
M2097,Giles CHICHESTER,United Kingdom,PPE-DE
M24030,Philip CLAEYS,Belgium,NonAttached
M28493,Derek Roland CLARK,United Kingdom,IND/DEM
M4342,Joseph DAUL,France,PPE-DE
M4554,Chris DAVIES,United Kingdom,ALDE
M28256,Jean-Luc DEHAENE,Belgium,PPE-DE
M1289,Proinsias DE ROSSA,Ireland,PSE
M4514,Andrew DUFF,United Kingdom,ALDE
M25718,Saïd EL KHADRAOUI,Belgium,PSE
M28310,Edite ESTRELA,Portugal,PSE
M4385,Hélène FLAUTRE,France,Verts/ALE
M1665,Salvador GARRIGA POLLEDO,Spain,PPE-DE
M28193,Jean-Paul GAUZÈS,France,PPE-DE
M1902,Norbert GLANTE,Germany,PSE
M28145,Béla GLATTFELDER,Hungary,PPE-DE
M28123,Louis GRECH,Malta,PSE
M4326,Cristina GUTIÉRREZ-CORTINES,Spain,PPE-DE
M28477,Fiona HALL,United Kingdom,ALDE
M28321,Satu HASSI,Finland,Verts/ALE
M1914,Jutta HAUG,Germany,PSE
M28215,Jacky HÉNIN,France,GUE/NGL
M28155,Edit HERCZOG,Hungary,PSE
