Id,FullName,Country,GroupID
M39713,Renate WEBER,Romania,ALDE
M124822,Dietmar KÖSTER,Germany,S&D
M96764,Hermann WINKLER,Germany,PPE
M124995,Kristina WINBERG,Sweden,ECR
M21918,Manuel dos SANTOS,Portugal,S&D
M185341,Željana ZOVKO,Croatia,PPE
M135540,Czesław HOC,Poland,ECR
M124902,Stanisław ŻÓŁTEK,Poland,ENF
M124940,Patrick O'FLYNN,United Kingdom,EFDD
M1849,Sylvia-Yvonne KAUFMANN,Germany,S&D
M124839,Arne LIETZ,Germany,S&D
M28228,Albert DESS,Germany,PPE
M99650,Tim AKER,United Kingdom,EFDD
M125030,Annie SCHREIJER-PIERIK,Netherlands,PPE
M96839,Kerstin WESTPHAL,Germany,S&D
M4267,Udo BULLMANN,Germany,S&D
M124874,Bolesław G. PIECHA,Poland,ECR
M28341,Mirosław PIOTROWSKI,Poland,ECR
M4289,Angelika NIEBLER,Germany,PPE
M39726,László TŐKÉS,Hungary,PPE
M124695,Jan KELLER,Czechia,S&D
M96765,Verónica LOPE FONTAGNÉ,Spain,PPE
M124745,Iveta GRIGULE-PĒTERSE,Latvia,ALDE
M38398,Esther DE LANGE,Netherlands,PPE
M124954,Paul BRANNEN,United Kingdom,S&D
M4262,Jo LEINEN,Germany,S&D
M96870,Gesine MEISSNER,Germany,ALDE
M125105,Helga STEVENS,Belgium,ECR
M131051,Damiano ZOFFOLI,Italy,S&D
M96761,Axel VOSS,Germany,PPE
M131750,Mihai ŢURCANU,Romania,PPE
M132925,Edward CZESAK,Poland,ECR
M96709,Morten LØKKEGAARD,Denmark,ALDE
M183338,Jakop G. DALUNDE,Sweden,Verts/ALE
M124837,Joachim SCHUSTER,Germany,S&D
M1928,Werner LANGEN,Germany,PPE
M4246,Othmar KARAS,Austria,PPE
M28224,Markus PIEPER,Germany,PPE
M124747,Pedro SILVA PEREIRA,Portugal,S&D
M125016,Claudia SCHMIDT,Austria,PPE
M124729,Renaud MUSELIER,France,PPE
M96791,Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,PPE
M96876,Frank ENGEL,Luxembourg,PPE
M124872,Morten PETERSEN,Denmark,ALDE
M28166,Vincent PEILLON,France,S&D
M114268,Nils TORVALDS,Finland,ALDE
M28165,Lambert van NISTELROOIJ,Netherlands,PPE
M124852,Sergei STANISHEV,Bulgaria,S&D
M4513,Geoffrey VAN ORDEN,United Kingdom,ECR
M4282,Renate SOMMER,Germany,PPE
M28481,Sajjad KARIM,United Kingdom,ECR
M124788,Luigi MORGANO,Italy,S&D
M124849,Massimo PAOLUCCI,Italy,S&D
M23821,József SZÁJER,Hungary,PPE
M125104,Romana TOMC,Slovenia,PPE
M124855,Georgi PIRINSKI,Bulgaria,S&D
M128717,Sander LOONES,Belgium,ECR
M28132,Richard ASHWORTH,United Kingdom,PPE
M96779,Danuta Maria HÜBNER,Poland,PPE
M124947,Edouard MARTIN,France,S&D
M96891,Paolo DE CASTRO,Italy,S&D
M28379,Adam GIEREK,Poland,S&D
M122885,Rina Ronja KARI,Denmark,GUE/NGL
M1922,Thomas MANN,Germany,PPE
M124827,Joachim STARBATTY,Germany,ECR
M130100,Hilde VAUTMANS,Belgium,ALDE
M135491,María Teresa GIMÉNEZ BARBAT,Spain,ALDE
M124809,Sven SCHULZE,Germany,PPE
M135490,Xabier BENITO ZILUAGA,Spain,GUE/NGL
M124840,Jakob von WEIZSÄCKER,Germany,S&D
M90110,Carolina PUNSET,Spain,ALDE
M133316,Karoline GRASWANDER-HAINZ,Austria,S&D
M124963,Julie WARD,United Kingdom,S&D
M117491,Anneleen VAN BOSSUYT,Belgium,ECR
M2002,José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
M124697,Kaja KALLAS,Estonia,ALDE
M96837,Petra KAMMEREVERT,Germany,S&D
M96730,Sven GIEGOLD,Germany,Verts/ALE
M23712,Jan ZAHRADIL,Czechia,ECR
M124894,Michał MARUSIK,Poland,ENF
M2323,Rainer WIELAND,Germany,PPE
M4556,Nirj DEVA,United Kingdom,ECR
M124896,Michał BONI,Poland,PPE
M96776,Róża THUN UND HOHENSTEIN,Poland,PPE
M96796,Ryszard Antoni LEGUTKO,Poland,ECR
M28397,Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,Spain,PPE
M58789,Jan HUITEMA,Netherlands,ALDE
M124881,Marek PLURA,Poland,PPE
M96762,Joachim ZELLER,Germany,PPE
M125112,Giorgos GRAMMATIKAKIS,Greece,S&D
M125028,Olaf STUGER,Netherlands,ENF
M124806,David MCALLISTER,Germany,PPE
M97136,Indrek TARAND,Estonia,Verts/ALE
M28389,Zbigniew KUŹMIUK,Poland,ECR
M1909,Bernd LANGE,Germany,S&D
M111011,Anthea McINTYRE,United Kingdom,ECR
M124816,Felix REDA,Germany,Verts/ALE
M1185,Viviane REDING,Luxembourg,PPE
M96920,Kay SWINBURNE,United Kingdom,ECR
M96931,Maurice PONGA,France,PPE
M125025,Marcel de GRAAFF,Netherlands,ENF
M107041,Heinz K. BECKER,Austria,PPE
M28288,Jan OLBRYCHT,Poland,PPE
M28240,Helga TRÜPEL,Germany,Verts/ALE
M125020,Paul TANG,Netherlands,S&D
M124737,Maria João RODRIGUES,Portugal,S&D
M124875,Anders VISTISEN,Denmark,ECR
M28301,Tadeusz ZWIEFKA,Poland,PPE
M96919,Emma McCLARKIN,United Kingdom,ECR
M4432,Claude TURMES,Luxembourg,Verts/ALE
M124953,Jude KIRTON-DARLING,United Kingdom,S&D
M96835,Traian UNGUREANU,Romania,PPE
M124802,Siegfried MUREŞAN,Romania,PPE
M124897,Stanisław OŻÓG,Poland,ECR
M124956,Amjad BASHIR,United Kingdom,ECR
M28615,Roberts ZĪLE,Latvia,ECR
M96698,Viktor USPASKICH,Lithuania,ALDE
M124702,Jaromír ŠTĚTINA,Czechia,PPE
M1055,Godelieve QUISTHOUDT-ROWOHL,Germany,PPE
M106202,Julia REID,United Kingdom,EFDD
M96847,Claudiu Ciprian TĂNĂSESCU,Romania,S&D
M96697,Waldemar TOMASZEWSKI,Lithuania,ECR
M96756,Sabine VERHEYEN,Germany,PPE
M2309,Richard CORBETT,United Kingdom,S&D
M125192,Curzio MALTESE,Italy,GUE/NGL
M124736,Merja KYLLÖNEN,Finland,GUE/NGL
M124878,Jørn DOHRMANN,Denmark,ECR
M125037,Anne-Marie MINEUR,Netherlands,GUE/NGL
M96784,Janusz ZEMKE,Poland,S&D
M1204,Alain LAMASSOURE,France,PPE
M96729,Santiago FISAS AYXELÀ,Spain,PPE
M124792,Laurenţiu REBEGA,Romania,ECR
M23768,Bogusław LIBERADZKI,Poland,S&D
M1179,Michèle ALLIOT-MARIE,France,PPE
M96918,Derek VAUGHAN,United Kingdom,S&D
M28135,György SCHÖPFLIN,Hungary,PPE
M28617,Inese VAIDERE,Latvia,PPE
M129164,Tom VANDENKENDELAERE,Belgium,PPE
M96710,Jens ROHDE,Denmark,ALDE
M22418,Esther HERRANZ GARCÍA,Spain,PPE
M1038,Karl-Heinz FLORENZ,Germany,PPE
M96912,David CAMPBELL BANNERMAN,United Kingdom,ECR
M124952,Seb DANCE,United Kingdom,S&D
