Source,Target,Weight
M28574,M2025,0.841
M28574,M28173,0.782
M28574,M1337,0.476
M28574,M28280,0.784
M28574,M28193,0.85
M28574,M1905,0.499
M28574,M28300,0.78
M28574,M4313,0.362
M28574,M1922,0.825
M28574,M1186,0.828
M28574,M26833,0.814
M28574,M1473,0.596
M28574,M1838,0.063
M28574,M1993,0.827
M28574,M28221,0.812
M28574,M28374,0.446
M28574,M4340,0.841
M28574,M22859,0.841
M28574,M28295,0.482
M28574,M28274,0.798
M28574,M23881,0.545
M28574,M28377,0.464
M28574,M1929,0.818
M28574,M28228,0.795
M28574,M28281,0.473
M28574,M4751,0.053
M28574,M28352,0.786
M28574,M4246,0.814
M28574,M28138,0.787
M28574,M1191,0.823
M28574,M4346,0.47
M28574,M28197,0.825
M28574,M28291,0.835
M28574,M28219,0.813
M28574,M28220,0.795
M28574,M28268,0.545
M28574,M1928,0.804
M28574,M28572,0.961
M28574,M2286,0.428
M28574,M4349,0.478
M28574,M28145,0.807
M28574,M23866,0.806
M28574,M4336,0.614
M28574,M28636,0.792
M28574,M1394,0.538
M28574,M23830,0.518
M28574,M23821,0.817
M28574,M28135,0.818
M28574,M4393,0.739
M28574,M4514,0.519
M28574,M28227,0.811
M28574,M28192,0.458
M28574,M4342,0.852
M28574,M28477,0.512
M28574,M2229,0.792
M28574,M2182,0.957
M28574,M23820,0.798
M28574,M28252,0.805
M28574,M4501,0.516
M28574,M28619,0.056
M28574,M28418,0.059
M28574,M4271,0.812
M28574,M23707,0.481
M28574,M28571,0.925
M28574,M23717,0.444
M28574,M28129,0.354
M28574,M729,0.527
M28574,M2341,0.822
M28574,M4440,0.555
M28574,M28424,0.811
M28574,M28317,0.451
M28574,M28354,0.774
M28574,M2278,0.812
M28574,M2323,0.806
M28574,M1842,0.813
M28574,M1914,0.463
M28574,M1965,0.554
M28574,M1938,0.377
M28574,M2315,0.359
M28574,M4275,0.817
M28574,M2048,0.426
M28574,M28259,0.429
M28574,M1913,0.451
M28574,M28177,0.364
M28574,M28175,0.363
M28574,M28225,0.801
M28574,M4552,0.516
M28574,M28463,0.746
M28574,M28388,0.522
M28574,M28297,0.799
M28574,M1920,0.82
M28574,M1933,0.043
M28574,M28376,0.507
M28574,M2295,0.46
M28574,M28165,0.813
M28574,M23787,0.781
M28574,M24088,0.122
M28574,M23819,0.803
M28574,M23713,0.845
M28574,M1923,0.821
M28574,M28282,0.369
M28574,M28275,0.78
M28574,M2306,0.565
M28574,M1969,0.276
M28574,M28224,0.78
M28574,M28310,0.456
M28574,M1917,0.813
M28574,M2224,0.829
M28574,M22097,0.42
M28574,M4447,0.429
M28574,M2110,0.634
M28574,M28387,0.539
M28574,M28349,0.468
M28574,M28308,0.449
M28574,M28375,0.653
M28574,M24087,0.483
M28574,M1973,0.471
M28574,M28318,0.462
M28574,M4541,0.509
M28574,M28266,0.5
M28574,M4294,0.062
M28574,M4531,0.034
M28574,M4507,0.275
M28574,M1065,0.406
M28574,M4560,0.536
M28574,M28319,0.447
M28574,M1852,0.814
M28574,M1403,0.411
M28574,M4239,0.445
M28574,M28355,0.521
M28574,M1059,0.054
M28574,M28251,0.378
M28574,M28620,0.542
M28574,M1910,0.49
M28574,M25718,0.412
M28574,M4243,0.554
M28574,M28576,0.437
M28574,M28348,0.797
M28574,M1952,0.443
M28574,M4345,0.824
M28574,M28305,0.52
M28574,M2225,0.78
M28574,M23894,0.774
M28574,M4282,0.818
M28574,M4347,0.811
M28574,M4314,0.359
M28574,M1222,0.832
M28574,M28296,0.648
M28574,M21918,0.451
M28574,M1832,0.825
M28574,M28313,0.802
M28574,M28112,0.805
M28574,M2301,0.444
M28574,M28277,0.776
M28574,M28126,0.599
M28574,M2309,0.41
M28574,M4337,0.477
M28574,M28367,0.81
M28574,M28311,0.443
M28574,M28140,0.368
M28574,M28125,0.609
M28574,M28400,0.815
M28574,M28337,0.257
M28574,M28170,0.817
M28574,M1907,0.446
M28574,M28246,0.499
M28574,M22418,0.822
M28574,M1122,0.803
M28574,M2107,0.355
M28574,M2075,0.814
M28574,M4262,0.46
M28574,M28223,0.807
M28574,M684,0.836
M28574,M4482,0.95
M28574,M28253,0.049
M28574,M2109,0.591
M28574,M1906,0.496
M28574,M1854,0.496
M28574,M5846,0.418
M28574,M26829,0.526
M28574,M4283,0.807
M28574,M28180,0.814
M28574,M28150,0.807
M28574,M4278,0.823
M28574,M28347,0.487
M28574,M1266,0.506
M28574,M4382,0.811
M28574,M4538,0.506
M28574,M28321,0.057
M28574,M28209,0.536
M28574,M28298,0.477
M28574,M28294,0.835
M28574,M4546,0.496
M28574,M28980,0.456
M28574,M28208,0.53
M28574,M28148,0.314
M28574,M28156,0.357
M28574,M4558,0.339
M28574,M1407,0.424
M28574,M23808,0.455
M28574,M4253,0.573
M28574,M1204,0.841
M28574,M28176,0.528
M28574,M28205,0.569
M28574,M2247,0.804
M28574,M2329,0.053
M28574,M28343,0.265
M28574,M28117,0.801
M28574,M28285,0.567
M28574,M28370,0.531
M28574,M28167,0.784
M28574,M1845,0.811
M28574,M28345,0.057
M28574,M29019,0.812
M28574,M4527,0.527
