Id,FullName,Country,GroupID
M2307,Hubert PIRKER,Austria,PPE
M111496,María Auxiliadora CORREA ZAMORA,Spain,PPE
M1965,Jan MULDER,Netherlands,ALDE
M39321,Vicente Miguel GARCÉS RAMÓN,Spain,S&D
M108570,Amelia ANDERSDOTTER,Sweden,Verts/ALE
M110365,Kent JOHANSSON,Sweden,ALDE
M105849,Agnès LE BRUN,France,PPE
M111017,Dolores GARCÍA-HIERRO CARABALLO,Spain,S&D
M111018,Salvador SEDÓ i ALABART,Spain,PPE
M111019,Eva ORTIZ VILELLA,Spain,PPE
M96946,Daniël van der STOEP,Netherlands,NonAttached
M110984,Joseph CUSCHIERI,Malta,S&D
M111033,Kārlis ŠADURSKIS,Latvia,PPE
M97344,Paul MURPHY,Ireland,GUE/NGL
M109649,Mikael GUSTAFSSON,Sweden,GUE/NGL
M99416,Nikolaos SALAVRAKOS,Greece,EFD
M99419,Charalampos ANGOURAKIS,Greece,GUE/NGL
M103132,Lucas HARTONG,Netherlands,NonAttached
M105192,María IRIGOYEN PÉREZ,Spain,S&D
M39916,Zofija MAZEJ KUKOVIČ,Slovenia,PPE
M111026,Ewald STADLER,Austria,NonAttached
M23413,Mojca KLEVA KEKUŠ,Slovenia,S&D
M108329,Andrea ZANONI,Italy,S&D
M107386,Phil PRENDERGAST,Ireland,S&D
M96750,François ALFONSI,France,Verts/ALE
M96992,Magdi Cristiano ALLAM,Italy,EFD
M96986,Josefa ANDRÉS BAREA,Spain,S&D
M1941,Roberta ANGELILLI,Italy,PPE
M96702,Elena Oana ANTONESCU,Romania,PPE
M28422,Alfredo ANTONIOZZI,Italy,PPE
M97009,Kriton ARSENIS,Greece,S&D
M4537,Sir Robert ATKINS,United Kingdom,ECR
M96862,Sophie AUCONIE,France,PPE
M33775,Jean-Pierre AUDY,France,PPE
M96814,Elena BĂSESCU,Romania,PPE
M5956,Regina BASTOS,Portugal,PPE
M23866,Edit BAUER,Slovakia,PPE
M96738,Sandrine BÉLIER,France,Verts/ALE
M96732,Malika BENARAB-ATTOU,France,Verts/ALE
M28214,Jean-Luc BENNAHMIAS,France,ALDE
M4746,Sergio BERLATO,Italy,PPE
M28174,Thijs BERMAN,Netherlands,S&D
M23788,Adam BIELAN,Poland,ECR
M112014,Phil BENNION,United Kingdom,ALDE
M96947,Nora BERRA,France,PPE
M96699,Jean-Paul BESSET,France,Verts/ALE
M38610,Slavi BINEV,Bulgaria,EFD
M39722,Sebastian Valentin BODU,Romania,PPE
M96878,Lajos BOKROS,Hungary,ECR
M29074,Vito BONSIGNORE,Italy,PPE
M96916,Rita BORSELLINO,Italy,S&D
M96799,Piotr BORYS,Poland,PPE
M33570,Sharon BOWLES,United Kingdom,ALDE
M28171,Emine BOZKURT,Netherlands,S&D
M28354,Jan BŘEZINA,Czechia,PPE
M96749,Andrew Henry William BRONS,United Kingdom,NonAttached
M4532,Michael CASHMAN,United Kingdom,S&D
M28148,Françoise CASTEX,France,S&D
M96719,Andrea ČEŠKOVÁ,Czechia,ECR
M28243,Jorgo CHATZIMARKAKIS,Germany,ALDE
M2097,Giles CHICHESTER,United Kingdom,ECR
M24030,Philip CLAEYS,Belgium,NonAttached
M28493,Derek Roland CLARK,United Kingdom,EFD
M96726,Marije CORNELISSEN,Netherlands,Verts/ALE
M96987,Ricardo CORTÉS LASTRA,Spain,S&D
M96873,Jürgen CREUTZMANN,Germany,ALDE
M96786,Tadeusz CYMAŃSKI,Poland,EFD
M97125,Frédéric DAERDEN,Belgium,S&D
M4342,Joseph DAUL,France,PPE
M96973,Mário DAVID,Portugal,PPE
M4554,Chris DAVIES,United Kingdom,ALDE
M96887,Francesco DE ANGELIS,Italy,S&D
M96914,Anne DELVAUX,Belgium,PPE
M4514,Andrew DUFF,United Kingdom,ALDE
M96639,Isabelle DURANT,Belgium,Verts/ALE
M96717,Robert DUŠEK,Czechia,S&D
M39769,Martin EHRENHAUSER,Austria,NonAttached
M25718,Saïd EL KHADRAOUI,Belgium,S&D
M96676,Christian ENGSTRÖM,Sweden,Verts/ALE
M28310,Edite ESTRELA,Portugal,S&D
M96977,Diogo FEIO,Portugal,PPE
M96810,Carlo FIDANZA,Italy,PPE
M4385,Hélène FLAUTRE,France,Verts/ALE
M96908,Gaston FRANCO,France,PPE
M2125,Pat the Cope GALLAGHER,Ireland,ALDE
M96896,Marielle BOULLIER GALLO,France,PPE
