Source,Target,Type,Id,Label,timeset,Weight
M190464,M124934,Undirected,1277,,,0.985684
M190713,M124935,Undirected,5878,,,0.065566
M111014,M97014,Undirected,7257,,,0.972891
M190713,M96981,Undirected,7788,,,0.119358
M107041,M111014,Undirected,7980,,,0.410908
M125016,M96882,Undirected,10707,,,0.982749
M4246,M125026,Undirected,11496,,,0.629606
M97014,M96998,Undirected,12649,,,0.975588
M4246,M190713,Undirected,14754,,,0.963381
M97014,M2278,Undirected,17280,,,0.41718
M107041,M38511,Undirected,19085,,,0.043266
M111014,M125018,Undirected,21257,,,0.965474
M190713,M38511,Undirected,23039,,,0.108078
M4246,M125001,Undirected,24199,,,0.03353
M125016,M111014,Undirected,24737,,,0.412178
M97017,M125026,Undirected,24912,,,0.313745
M4246,M111014,Undirected,28713,,,0.415646
M125016,M133316,Undirected,31033,,,0.409415
M96882,M124935,Undirected,31887,,,0.162094
M96882,M125018,Undirected,32573,,,0.485279
M125016,M124934,Undirected,33665,,,0.089916
M124935,M125018,Undirected,34362,,,0.641268
M97014,M124934,Undirected,35313,,,0.647458
M133316,M190713,Undirected,38713,,,0.327918
M4246,M124934,Undirected,40696,,,0.095403
M133316,M124934,Undirected,41801,,,0.649216
M125024,M125001,Undirected,45754,,,0.974831
M124934,M96998,Undirected,46935,,,0.657667
M97014,M124935,Undirected,49508,,,0.651084
M96882,M125026,Undirected,50542,,,0.631438
M97017,M2278,Undirected,50739,,,0.143136
M4246,M97017,Undirected,53180,,,0.141957
M97017,M97014,Undirected,53414,,,0.639857
M190713,M2278,Undirected,55806,,,0.961909
M124934,M125026,Undirected,56559,,,0.289728
M96882,M2278,Undirected,59284,,,0.978901
M111014,M125026,Undirected,60499,,,0.53303
M133316,M96998,Undirected,60524,,,0.982768
M124935,M125026,Undirected,64520,,,0.308348
M133316,M111014,Undirected,65048,,,0.975108
M2278,M96981,Undirected,68810,,,0.03755
M111014,M124934,Undirected,72967,,,0.649169
M97017,M124934,Undirected,73426,,,0.98541
M4246,M96981,Undirected,75595,,,0.039585
M111014,M124935,Undirected,75761,,,0.651607
M190464,M97014,Undirected,78977,,,0.654214
M133316,M96882,Undirected,79227,,,0.512564
M97017,M124935,Undirected,79955,,,0.98381
M133316,M2278,Undirected,81622,,,0.404606
M125016,M96981,Undirected,82571,,,0.043478
M125016,M38511,Undirected,84080,,,0.04934
M107041,M124934,Undirected,84219,,,0.089331
M133316,M125026,Undirected,84570,,,0.533861
M2278,M125001,Undirected,89480,,,0.033068
M97014,M125026,Undirected,92811,,,0.540012
M125016,M97014,Undirected,93068,,,0.418069
M125016,M125024,Undirected,93578,,,0.063077
M190464,M190713,Undirected,93664,,,0.047596
M38511,M96981,Undirected,95186,,,0.976495
M124934,M125018,Undirected,98812,,,0.639684
M4246,M96882,Undirected,100302,,,0.980879
M107041,M125024,Undirected,102455,,,0.050733
M125016,M96998,Undirected,103943,,,0.404858
M4246,M133316,Undirected,109807,,,0.415402
M2278,M96998,Undirected,110372,,,0.400937
M4246,M96998,Undirected,113266,,,0.412851
M107041,M97014,Undirected,114066,,,0.41506
M125016,M107041,Undirected,118583,,,0.969546
M107041,M125018,Undirected,124141,,,0.409524
M96882,M97017,Undirected,125226,,,0.154071
M111014,M2278,Undirected,129014,,,0.40861
M97017,M125018,Undirected,130354,,,0.627849
M190713,M125026,Undirected,130575,,,0.631336
M96882,M111014,Undirected,132695,,,0.481586
M4246,M107041,Undirected,133007,,,0.966331
M111014,M96998,Undirected,133194,,,0.967995
M96981,M125001,Undirected,135408,,,0.977179
M4246,M97014,Undirected,136050,,,0.423535
M190713,M125024,Undirected,138264,,,0.124759
M96882,M124934,Undirected,144448,,,0.154791
M2278,M38511,Undirected,145900,,,0.04258
M190464,M124935,Undirected,147189,,,0.979101
M107041,M96981,Undirected,149319,,,0.040837
M133316,M190464,Undirected,151571,,,0.649908
M190713,M124934,Undirected,154450,,,0.02364
M133316,M97014,Undirected,156284,,,0.985525
M125016,M124935,Undirected,158588,,,0.111042
M107041,M125001,Undirected,164162,,,0.028616
M4246,M125016,Undirected,167949,,,0.979457
M125026,M125018,Undirected,169298,,,0.532555
M190464,M125026,Undirected,172704,,,0.283179
M4246,M2278,Undirected,176332,,,0.973741
M190713,M111014,Undirected,180304,,,0.344069
M125016,M125001,Undirected,181450,,,0.039817
M107041,M124935,Undirected,182323,,,0.106905
M107041,M2278,Undirected,184822,,,0.963399
M2278,M125024,Undirected,185656,,,0.056639
M190464,M125018,Undirected,185830,,,0.649904
M125016,M190713,Undirected,186444,,,0.970271
