Source,Target,Type,Id,Label,timeset,Weight
M125105,M96670,Undirected,296,,,0.378799
M96648,M109337,Undirected,2130,,,0.353364
M117491,M183022,Undirected,3835,,,0.442172
M117491,M29579,Undirected,5569,,,0.173608
M29579,M109337,Undirected,5654,,,0.566899
M128717,M124936,Undirected,7540,,,0.16471
M28257,M117477,Undirected,9240,,,0.461203
M24922,M125002,Undirected,9434,,,0.57706
M29579,M1473,Undirected,11987,,,0.616854
M109337,M4751,Undirected,12505,,,0.272145
M117477,M183022,Undirected,13918,,,0.43747
M125105,M124973,Undirected,14584,,,0.159078
M129164,M125002,Undirected,14613,,,0.477338
M96648,M28257,Undirected,15777,,,0.217932
M96670,M195454,Undirected,15977,,,0.425
M125107,M183022,Undirected,16190,,,0.612758
M5729,M124936,Undirected,17421,,,0.898037
M117491,M124936,Undirected,18853,,,0.183663
M29579,M124936,Undirected,18883,,,0.972106
M109337,M97058,Undirected,20012,,,0.940284
M125107,M4253,Undirected,22118,,,0.680167
M130100,M129164,Undirected,24957,,,0.695458
M128717,M125107,Undirected,25670,,,0.293519
M117491,M4253,Undirected,26496,,,0.398917
M5729,M109337,Undirected,27844,,,0.6132
M183022,M96670,Undirected,28203,,,0.850544
M125105,M129164,Undirected,28909,,,0.469825
M129164,M125107,Undirected,29384,,,0.682127
M117477,M124936,Undirected,30597,,,0.157945
M125105,M5729,Undirected,31020,,,0.203232
M125105,M128717,Undirected,31492,,,0.978418
M5729,M183022,Undirected,32334,,,0.563914
M28257,M97058,Undirected,35013,,,0.708041
M96648,M183022,Undirected,35125,,,0.285472
M117477,M29579,Undirected,35161,,,0.154345
M28257,M29579,Undirected,37003,,,0.475945
M130100,M125002,Undirected,37138,,,0.548949
M129164,M4751,Undirected,39473,,,0.17144
M183022,M1473,Undirected,39571,,,0.815863
M130100,M4253,Undirected,39705,,,0.858179
M117477,M4253,Undirected,42652,,,0.388691
M128717,M130100,Undirected,43791,,,0.331983
M130100,M125107,Undirected,44686,,,0.64168
M117491,M24922,Undirected,44768,,,0.412886
M128717,M117491,Undirected,45675,,,0.990316
M125105,M117477,Undirected,46787,,,0.98851
M125105,M125002,Undirected,47509,,,0.166853
M117477,M97058,Undirected,49126,,,0.444561
M109337,M124936,Undirected,49739,,,0.586495
M1473,M125002,Undirected,50088,,,0.628663
M28257,M195454,Undirected,50717,,,0.478448
M125107,M4751,Undirected,50840,,,0.432483
M97058,M1473,Undirected,51859,,,0.83104
M117491,M28257,Undirected,52668,,,0.463696
M183022,M195454,Undirected,53599,,,0.491779
M124936,M183022,Undirected,55093,,,0.501013
M96670,M4751,Undirected,55335,,,0.336419
M29579,M96670,Undirected,57340,,,0.583961
M124936,M195454,Undirected,57611,,,0.063905
M124936,M4751,Undirected,59149,,,0.612173
M124936,M97058,Undirected,59639,,,0.541641
M28257,M1473,Undirected,64716,,,0.694056
M5729,M4253,Undirected,64787,,,0.630875
M117491,M117477,Undirected,65320,,,0.991582
M130100,M117477,Undirected,65653,,,0.402687
M128717,M4253,Undirected,66758,,,0.332861
M125105,M28257,Undirected,66815,,,0.438126
M29579,M125107,Undirected,69133,,,0.650367
M117491,M125002,Undirected,70025,,,0.180612
M129164,M97058,Undirected,70853,,,0.697256
M130100,M24922,Undirected,71370,,,0.668322
M117491,M129164,Undirected,71703,,,0.490792
M125002,M195454,Undirected,72598,,,0.092793
M96648,M125002,Undirected,72937,,,0.632685
M125107,M124936,Undirected,74010,,,0.655961
M125105,M29579,Undirected,74683,,,0.152214
M129164,M4253,Undirected,75171,,,0.676798
M128717,M124973,Undirected,76208,,,0.14758
M117477,M195454,Undirected,77116,,,0.988029
M24922,M124936,Undirected,79474,,,0.570292
M129164,M96648,Undirected,80946,,,0.195618
M130100,M96670,Undirected,81721,,,0.883362
M117491,M124973,Undirected,83058,,,0.142176
M97058,M96670,Undirected,83503,,,0.86726
M28257,M109337,Undirected,83810,,,0.721275
M96648,M124936,Undirected,83864,,,0.630169
M124936,M96670,Undirected,83894,,,0.594356
M117477,M96670,Undirected,84304,,,0.393354
M24922,M195454,Undirected,85168,,,0.400691
M96648,M96670,Undirected,85509,,,0.372309
M130100,M29579,Undirected,87691,,,0.543001
M96648,M1473,Undirected,87787,,,0.39703
M117477,M24922,Undirected,87957,,,0.410534
M28257,M4751,Undirected,89073,,,0.183066
