Id,Label,timeset,modularity_class,name,country,group
M117477,Mark DEMESMAEKER,,0,Mark DEMESMAEKER,Belgium,ECR
M5729,Kathleen VAN BREMPT,,1,Kathleen VAN BREMPT,Belgium,S&D
M1473,Gérard DEPREZ,,2,Gérard DEPREZ,Belgium,ALDE
M24922,Pascal ARIMONT,,2,Pascal ARIMONT,Belgium,PPE
M183022,Lieve WIERINCK,,2,Lieve WIERINCK,Belgium,ALDE
M96670,Louis MICHEL,,2,Louis MICHEL,Belgium,ALDE
M117491,Anneleen VAN BOSSUYT,,0,Anneleen VAN BOSSUYT,Belgium,ECR
M128717,Sander LOONES,,0,Sander LOONES,Belgium,ECR
M125002,Hugues BAYET,,1,Hugues BAYET,Belgium,S&D
M96648,Philippe LAMBERTS,,1,Philippe LAMBERTS,Belgium,Verts/ALE
M125105,Helga STEVENS,,0,Helga STEVENS,Belgium,ECR
M29579,Marc TARABELLA,,1,Marc TARABELLA,Belgium,S&D
M28257,Ivo BELET,,2,Ivo BELET,Belgium,PPE
M97058,Guy VERHOFSTADT,,2,Guy VERHOFSTADT,Belgium,ALDE
M124936,Maria ARENA,,1,Maria ARENA,Belgium,S&D
M129164,Tom VANDENKENDELAERE,,2,Tom VANDENKENDELAERE,Belgium,PPE
M195454,Ralph PACKET,,0,Ralph PACKET,Belgium,ECR
M4751,Bart STAES,,1,Bart STAES,Belgium,Verts/ALE
M130100,Hilde VAUTMANS,,2,Hilde VAUTMANS,Belgium,ALDE
M4253,Frédérique RIES,,2,Frédérique RIES,Belgium,ALDE
M109337,Philippe DE BACKER,,2,Philippe DE BACKER,Belgium,ALDE
M125107,Claude ROLIN,,1,Claude ROLIN,Belgium,PPE
M124973,Gerolf ANNEMANS,,0,Gerolf ANNEMANS,Belgium,ENF
