Source,Target,Type,Id,Label,timeset,Weight
M125128,M96848,Undirected,204,,,0.681416
M125128,M38605,Undirected,870,,,0.627314
M124871,M38601,Undirected,2853,,,0.418984
M98341,M38605,Undirected,3332,,,0.522831
M107212,M124873,Undirected,5581,,,0.422138
M96848,M111027,Undirected,9352,,,0.944638
M124857,M107212,Undirected,10719,,,0.483496
M124850,M98341,Undirected,11089,,,0.951402
M38605,M124866,Undirected,12498,,,0.603873
M124852,M125128,Undirected,13463,,,0.592562
M124871,M124866,Undirected,15322,,,0.301416
M107212,M96848,Undirected,18007,,,0.949007
M34249,M34250,Undirected,25118,,,0.955497
M34249,M98341,Undirected,27807,,,0.665942
M124857,M98341,Undirected,30040,,,0.494118
M124852,M111027,Undirected,30094,,,0.500289
M111027,M124873,Undirected,31197,,,0.402731
M38605,M97968,Undirected,33273,,,0.530723
M124850,M97968,Undirected,34366,,,0.937189
M125128,M124871,Undirected,34459,,,0.29325
M124852,M34249,Undirected,34743,,,0.583434
M97968,M34250,Undirected,35325,,,0.675124
M124852,M34250,Undirected,40345,,,0.576946
M124857,M125013,Undirected,41243,,,0.916837
M124852,M96848,Undirected,41620,,,0.54992
M124871,M111027,Undirected,42987,,,0.39155
M96848,M98341,Undirected,43006,,,0.964192
M125013,M34250,Undirected,43695,,,0.572273
M98341,M124873,Undirected,47000,,,0.396014
M34249,M124850,Undirected,47179,,,0.668605
M124871,M124850,Undirected,47602,,,0.416784
M124852,M125013,Undirected,48335,,,0.923934
M124857,M124850,Undirected,49081,,,0.510465
M124857,M124866,Undirected,49628,,,0.574565
M107212,M111027,Undirected,53958,,,0.92111
M124850,M124873,Undirected,57671,,,0.419258
M124850,M111027,Undirected,60478,,,0.917459
M34249,M97968,Undirected,63179,,,0.683621
M189525,M124873,Undirected,63563,,,0.496477
M111027,M97968,Undirected,63817,,,0.930497
M125013,M38601,Undirected,64073,,,0.482712
M111027,M125013,Undirected,64533,,,0.493303
M124855,M96848,Undirected,65449,,,0.513053
M96848,M124873,Undirected,68788,,,0.3472
M124852,M189525,Undirected,68865,,,0.467415
M98341,M38601,Undirected,69949,,,0.974429
M189525,M124866,Undirected,70066,,,0.677366
M107212,M124866,Undirected,71756,,,0.66389
M107212,M125013,Undirected,72215,,,0.473447
M124855,M124866,Undirected,73064,,,0.508373
M125128,M124850,Undirected,75704,,,0.66704
M124855,M189525,Undirected,79178,,,0.362223
M111027,M34250,Undirected,81062,,,0.663637
M124871,M34250,Undirected,81728,,,0.302429
M125128,M111027,Undirected,83714,,,0.668532
M107212,M38605,Undirected,84498,,,0.526046
M38605,M34250,Undirected,85886,,,0.606897
M96848,M38605,Undirected,86038,,,0.539683
M96848,M124850,Undirected,86478,,,0.948588
M124850,M38605,Undirected,86705,,,0.542731
M189525,M124871,Undirected,89378,,,0.409973
M38605,M124873,Undirected,89777,,,0.010682
M124857,M34249,Undirected,90367,,,0.596165
M107212,M124871,Undirected,92460,,,0.413698
M38601,M34250,Undirected,92890,,,0.667854
M98341,M97968,Undirected,94565,,,0.956138
M125128,M124857,Undirected,98741,,,0.589683
M111027,M38605,Undirected,101322,,,0.521579
M98341,M125013,Undirected,102785,,,0.488765
M124866,M34250,Undirected,106055,,,0.944966
M124871,M38605,Undirected,107638,,,0.06164
M124873,M34250,Undirected,113283,,,0.281483
M189525,M34249,Undirected,113640,,,0.685558
M96848,M125013,Undirected,113721,,,0.549526
M124857,M96848,Undirected,114938,,,0.57967
M96848,M34250,Undirected,115474,,,0.65356
M124850,M124866,Undirected,116313,,,0.663521
M34249,M125013,Undirected,121092,,,0.574022
M189525,M38601,Undirected,121799,,,0.978252
M124852,M124855,Undirected,122427,,,0.881617
M189525,M107212,Undirected,123174,,,0.963706
M124852,M124871,Undirected,124889,,,0.139574
M124855,M97968,Undirected,125829,,,0.431083
M124855,M38605,Undirected,125944,,,0.90817
M124855,M107212,Undirected,126252,,,0.409463
M98341,M124866,Undirected,126955,,,0.664241
M124855,M98341,Undirected,127304,,,0.443182
M34249,M124866,Undirected,127662,,,0.96074
M107212,M34249,Undirected,129149,,,0.667616
M107212,M38601,Undirected,132111,,,0.967943
M125128,M107212,Undirected,134558,,,0.66264
M107212,M34250,Undirected,134773,,,0.663648
M125128,M38601,Undirected,139964,,,0.672552
M96848,M34249,Undirected,140180,,,0.67797
M189525,M125013,Undirected,141801,,,0.45022
M107212,M124850,Undirected,142132,,,0.941254
M124855,M34249,Undirected,142306,,,0.526166
M125013,M38605,Undirected,143694,,,0.93354
M124857,M38601,Undirected,145135,,,0.48902
M124852,M124873,Undirected,147357,,,0.08161
M189525,M97968,Undirected,150131,,,0.960075
M125013,M124873,Undirected,152420,,,0.075064
M124866,M124873,Undirected,154077,,,0.283527
M97968,M124873,Undirected,155901,,,0.412755
M124871,M34249,Undirected,157323,,,0.304284
M34249,M124873,Undirected,158986,,,0.286148
M124855,M34250,Undirected,159735,,,0.520665
M98341,M34250,Undirected,160990,,,0.658467
M124852,M98341,Undirected,161112,,,0.526431
M124852,M107212,Undirected,162212,,,0.487439
M124852,M97968,Undirected,162601,,,0.505913
M124857,M97968,Undirected,164511,,,0.498052
M124852,M38601,Undirected,164690,,,0.495979
M124852,M124850,Undirected,165808,,,0.515141
M124852,M124866,Undirected,165949,,,0.567593
M124871,M124873,Undirected,169024,,,0.872264
M189525,M125128,Undirected,171253,,,0.671548
M97968,M124866,Undirected,171287,,,0.675452
M124871,M97968,Undirected,175511,,,0.405918
M124857,M34250,Undirected,179335,,,0.59102
M125128,M34249,Undirected,180057,,,0.975011
M124852,M124857,Undirected,181116,,,0.921488
M189525,M98341,Undirected,182031,,,0.967185
M125128,M98341,Undirected,182270,,,0.674333
M107212,M98341,Undirected,184743,,,0.964593
M189525,M124857,Undirected,186005,,,0.491189
M124855,M124850,Undirected,186192,,,0.431911
M107212,M97968,Undirected,186319,,,0.949871
M125128,M124866,Undirected,187148,,,0.954576
M125128,M97968,Undirected,187337,,,0.681997
M124871,M98341,Undirected,189284,,,0.380962
M124857,M124871,Undirected,189698,,,0.183024
M189525,M124850,Undirected,193710,,,0.94135
M124855,M125128,Undirected,195527,,,0.534176
M124850,M125013,Undirected,196128,,,0.498357
M125128,M125013,Undirected,196519,,,0.584382
M34249,M38605,Undirected,196674,,,0.620948
M34249,M111027,Undirected,198803,,,0.668713
M125013,M97968,Undirected,199906,,,0.487951
M111027,M38601,Undirected,200131,,,0.941148
M124850,M34250,Undirected,202569,,,0.66055
M111027,M124866,Undirected,205048,,,0.670103
M97968,M38601,Undirected,209766,,,0.964476
M38605,M38601,Undirected,212107,,,0.524371
M38601,M124866,Undirected,212751,,,0.668015
M125128,M34250,Undirected,215037,,,0.950152
M124871,M96848,Undirected,217432,,,0.371832
M124857,M124873,Undirected,217834,,,0.129665
M125013,M124866,Undirected,220758,,,0.56429
M189525,M34250,Undirected,222942,,,0.686089
M96848,M97968,Undirected,225695,,,0.956932
M96848,M38601,Undirected,227627,,,0.969194
M189525,M111027,Undirected,227793,,,0.926034
M124850,M38601,Undirected,229341,,,0.959316
M125128,M124873,Undirected,233301,,,0.268884
M124852,M38605,Undirected,234834,,,0.917853
M124855,M111027,Undirected,235096,,,0.425679
M124855,M124871,Undirected,235910,,,0.050896
M124855,M38601,Undirected,236640,,,0.418333
M98341,M111027,Undirected,238649,,,0.929913
M96848,M124866,Undirected,239178,,,0.670198
M38601,M124873,Undirected,239557,,,0.433319
M124855,M125013,Undirected,239913,,,0.871789
M124855,M124857,Undirected,240820,,,0.835192
M34249,M38601,Undirected,241088,,,0.672661
M124857,M111027,Undirected,242170,,,0.49646
M124871,M125013,Undirected,243034,,,0.121581
