Id,Label,timeset,modularity_class,name,country,group
M124871,Nikolay BAREKOV,,0,Nikolay BAREKOV,Bulgaria,ECR
M96848,Mariya GABRIEL,,2,Mariya GABRIEL,Bulgaria,PPE
M111027,Svetoslav Hristov MALINOV,,2,Svetoslav Hristov MALINOV,Bulgaria,PPE
M124866,Ilhan KYUCHYUK,,2,Ilhan KYUCHYUK,Bulgaria,ALDE
M34249,Filiz HYUSMENOVA,,2,Filiz HYUSMENOVA,Bulgaria,ALDE
M98341,Eva MAYDELL,,2,Eva MAYDELL,Bulgaria,PPE
M125013,Momchil NEKOV,,1,Momchil NEKOV,Bulgaria,S&D
M125128,Iskra MIHAYLOVA,,2,Iskra MIHAYLOVA,Bulgaria,ALDE
M124857,Peter KOUROUMBASHEV,,1,Peter KOUROUMBASHEV,Bulgaria,S&D
M38605,Iliana IOTOVA,,1,Iliana IOTOVA,Bulgaria,S&D
M124850,Emil RADEV,,2,Emil RADEV,Bulgaria,PPE
M189525,Asim ADEMOV,,2,Asim ADEMOV,Bulgaria,PPE
M97968,Andrey KOVATCHEV,,2,Andrey KOVATCHEV,Bulgaria,PPE
M34250,Nedzhmi ALI,,2,Nedzhmi ALI,Bulgaria,ALDE
M38601,Vladimir URUTCHEV,,2,Vladimir URUTCHEV,Bulgaria,PPE
M107212,Andrey NOVAKOV,,2,Andrey NOVAKOV,Bulgaria,PPE
M124873,Angel DZHAMBAZKI,,0,Angel DZHAMBAZKI,Bulgaria,ECR
M124852,Sergei STANISHEV,,1,Sergei STANISHEV,Bulgaria,S&D
M124855,Georgi PIRINSKI,,1,Georgi PIRINSKI,Bulgaria,S&D
