Source,Target,Weight
M185340,M124756,0.13020134228187918
M124749,M119435,0.9468656716417909
M185341,M119434,0.9349164467897976
M124754,M112748,0.66721044045677
M112755,M119431,0.4295612009237875
M112755,M124749,0.9430894308943092
M119435,M124756,0.13350785340314136
M124756,M112748,0.5613631130554916
M112753,M119435,0.6360837438423645
M185341,M112753,0.6426970869830922
M112753,M124756,0.29724685020998604
M119435,M124754,0.6041979010494752
M112755,M112748,0.5468648998060762
M119436,M112748,0.4828686954671207
M112744,M124756,0.5560118640200775
M112755,M119436,0.9621928166351608
M124749,M112744,0.4801874733702599
M112753,M119434,0.6625293525662529
M185340,M124754,0.6387730061349693
M185341,M124754,0.5796460176991151
M124749,M119431,0.4573745342976112
M112744,M119434,0.5181088700932552
M124756,M124754,0.372093023255814
M124749,M124756,0.08444063437633947
M112753,M119436,0.6366583810656004
M119435,M119431,0.4001431639226915
M185341,M112744,0.4550788412174551
M185340,M119436,0.9272905919921396
M185341,M119431,0.4632229084783829
M112755,M124754,0.5917345021916093
M119436,M119434,0.9522519811415388
M112755,M119434,0.9523151347615756
M185340,M124749,0.9342948717948718
M112753,M112748,0.6241118496447399
M112744,M124754,0.6589322381930185
M119434,M124754,0.6192156862745098
M124749,M124754,0.5750121065375303
M185340,M112744,0.5206703910614525
M112753,M124754,0.8865159128978225
M112755,M112744,0.5594381637547106
M119436,M124756,0.07852956846030901
M119436,M124749,0.9404667721518988
M119435,M119434,0.974274406332454
M119436,M119431,0.4525515743756786
M119431,M112748,0.10621852675957373
M185340,M119431,0.4577991452991453
M124749,M112748,0.4783170128053373
M119435,M112744,0.5756978653530378
M119436,M119435,0.9615970740627856
M112744,M112748,0.9650933040614708
M124749,M119434,0.9172202350536536
M185341,M124756,0.0708204334365325
M112753,M112755,0.6210458360232408
M119435,M112748,0.5556930693069307
M112753,M124749,0.6124469589816125
M112753,M119431,0.30976833054693104
M185341,M112748,0.4550068319344134
M112755,M119435,0.9589710192119829
M185340,M119434,0.9254595819692772
M185341,M119436,0.9429059829059828
M119436,M124754,0.5888334612432847
M119436,M112744,0.4850675888085508
M112753,M112744,0.6155268022181146
M124756,M119434,0.10887625710537822
M112744,M119431,0.10679611650485436
M185341,M185340,0.9271692745376956
M119431,M124754,0.2414516467379904
M185340,M112753,0.6329321663019694
M185340,M112748,0.5035268583830711
M119434,M112748,0.5198434272045233
M119431,M119434,0.44034562977733466
M185341,M124749,0.9211719567492151
M112755,M124756,0.11939787889154978
