Source,Target,Type,Id,Label,timeset,Weight
M23712,M124706,Undirected,744,,,0.335282
M124702,M125706,Undirected,1082,,,0.929376
M28331,M124699,Undirected,1445,,,0.319588
M124710,M96272,Undirected,1709,,,0.94633
M124709,M96713,Undirected,3833,,,0.394322
M124702,M124709,Undirected,4544,,,0.715437
M124713,M124707,Undirected,4995,,,0.666731
M96272,M124699,Undirected,9817,,,0.432937
M124709,M124710,Undirected,9976,,,0.668445
M96713,M96718,Undirected,9997,,,0.089123
M96713,M124706,Undirected,12023,,,0.356269
M124695,M124704,Undirected,12384,,,0.472512
M124695,M124709,Undirected,13705,,,0.508012
M124695,M124706,Undirected,15177,,,0.535277
M124699,M124706,Undirected,16905,,,0.552928
M28331,M23699,Undirected,16925,,,0.928669
M125706,M124710,Undirected,25036,,,0.895895
M96713,M124710,Undirected,27724,,,0.40988
M28331,M124709,Undirected,28204,,,0.051411
M124709,M23704,Undirected,30208,,,0.048207
M23699,M23704,Undirected,32729,,,0.981024
M96718,M124699,Undirected,34591,,,0.912369
M124695,M125706,Undirected,36263,,,0.502333
M124713,M124708,Undirected,36874,,,0.669553
M23712,M124713,Undirected,38701,,,0.393778
M96715,M124709,Undirected,39650,,,0.52697
M125706,M124707,Undirected,41373,,,0.729377
M124713,M124709,Undirected,42615,,,0.673109
M124702,M124708,Undirected,43276,,,0.71395
M125706,M124706,Undirected,47508,,,0.73106
M189507,M96713,Undirected,47921,,,0.272092
M96715,M23699,Undirected,47988,,,0.325172
M125706,M124699,Undirected,50748,,,0.515423
M124713,M124699,Undirected,52478,,,0.436669
M124695,M124701,Undirected,54734,,,0.503688
M96715,M124706,Undirected,57495,,,0.551735
M124709,M96718,Undirected,59462,,,0.559843
M96715,M23704,Undirected,63000,,,0.336014
M124707,M124708,Undirected,64161,,,0.91943
M28331,M23704,Undirected,64603,,,0.956427
M124709,M124708,Undirected,65116,,,0.981843
M124702,M124699,Undirected,65422,,,0.493611
M124695,M124713,Undirected,66382,,,0.435024
M124701,M124699,Undirected,67222,,,0.518788
M124695,M23704,Undirected,70597,,,0.349773
M96713,M124699,Undirected,70922,,,0.059465
M23712,M96272,Undirected,76176,,,0.406155
M124702,M96715,Undirected,77239,,,0.4861
M124701,M96715,Undirected,79332,,,0.523053
M23699,M124699,Undirected,80956,,,0.33596
M124695,M96718,Undirected,81942,,,0.922482
M23704,M124708,Undirected,83543,,,0.046119
M124695,M124702,Undirected,83602,,,0.478524
M28331,M96718,Undirected,84948,,,0.29424
M124713,M124710,Undirected,92186,,,0.946852
M124704,M124709,Undirected,93497,,,0.690227
M28331,M124707,Undirected,93885,,,0.046148
M124701,M125706,Undirected,93911,,,0.934347
M23712,M124702,Undirected,95282,,,0.402588
M96272,M124708,Undirected,96008,,,0.667661
M124702,M96718,Undirected,96922,,,0.527771
M125706,M124708,Undirected,97760,,,0.727252
M124701,M124709,Undirected,98453,,,0.725753
M124710,M124707,Undirected,98590,,,0.662875
M124702,M124704,Undirected,100673,,,0.917346
M23712,M124710,Undirected,101081,,,0.391687
M124713,M125706,Undirected,102244,,,0.902765
M124709,M124699,Undirected,102821,,,0.524057
M124710,M124708,Undirected,103680,,,0.665905
M96713,M96272,Undirected,107604,,,0.420789
M124695,M96715,Undirected,108058,,,0.892862
M124704,M96272,Undirected,108787,,,0.895051
M23712,M96715,Undirected,110862,,,0.058578
M124701,M96272,Undirected,111303,,,0.922036
M23712,M96713,Undirected,111346,,,0.953284
M124701,M124707,Undirected,112613,,,0.730255
M124701,M124708,Undirected,112889,,,0.723445
M124702,M124707,Undirected,112927,,,0.719882
M124695,M124699,Undirected,113297,,,0.868454
M96715,M124704,Undirected,113795,,,0.488874
M124706,M124708,Undirected,114247,,,0.912733
M124704,M96713,Undirected,116416,,,0.41034
M124695,M96713,Undirected,117004,,,0.030847
M124704,M124708,Undirected,118768,,,0.688707
M124701,M124706,Undirected,123242,,,0.730485
M23712,M124699,Undirected,123407,,,0.043093
M124704,M124706,Undirected,126630,,,0.691898
M23699,M124707,Undirected,132679,,,0.010954
M124704,M96718,Undirected,134392,,,0.540812
M96715,M124707,Undirected,135814,,,0.544525
M96272,M124706,Undirected,139078,,,0.668068
M96718,M124707,Undirected,141363,,,0.576797
M96715,M124713,Undirected,142112,,,0.437452
M96713,M84175,Undirected,143874,,,0.292887
M124695,M124707,Undirected,145471,,,0.530448
M96713,M124708,Undirected,147125,,,0.386103
M23712,M124708,Undirected,149750,,,0.368385
M124704,M124710,Undirected,149793,,,0.875407
M124709,M124706,Undirected,149848,,,0.916165
M125706,M124709,Undirected,150077,,,0.727756
M124701,M96713,Undirected,151162,,,0.38513
M124702,M96272,Undirected,151780,,,0.930827
M96715,M96718,Undirected,152225,,,0.919792
M125706,M96718,Undirected,152999,,,0.56677
M124702,M124701,Undirected,153518,,,0.946464
M124695,M96272,Undirected,156821,,,0.422359
M124704,M125706,Undirected,157310,,,0.940459
M23712,M124709,Undirected,157430,,,0.375217
M23712,M125706,Undirected,157479,,,0.395009
M124701,M96718,Undirected,158211,,,0.562078
M124702,M96713,Undirected,159406,,,0.419798
M23704,M124706,Undirected,159790,,,0.041767
M28331,M96715,Undirected,159824,,,0.306632
M96713,M124707,Undirected,161056,,,0.356083
M96718,M96272,Undirected,161407,,,0.484355
M124709,M96272,Undirected,161682,,,0.673774
M23712,M96718,Undirected,162532,,,0.074754
M124702,M124710,Undirected,162584,,,0.910063
M96715,M124699,Undirected,164840,,,0.873245
M124706,M124707,Undirected,166146,,,0.971631
M124704,M124707,Undirected,166329,,,0.690954
M96715,M124708,Undirected,167436,,,0.525919
M124695,M23712,Undirected,173545,,,0.022072
M189507,M23712,Undirected,174867,,,0.274175
M124710,M124699,Undirected,179983,,,0.434465
M23712,M124704,Undirected,183830,,,0.393005
M124709,M124707,Undirected,184141,,,0.922725
M124713,M96713,Undirected,188957,,,0.40884
M96715,M124710,Undirected,189462,,,0.434407
M23712,M84175,Undirected,190074,,,0.324134
M124713,M124706,Undirected,192872,,,0.666667
M124702,M124706,Undirected,193029,,,0.71925
M124701,M124713,Undirected,195172,,,0.904995
M125706,M96713,Undirected,196053,,,0.422183
M124704,M124699,Undirected,196585,,,0.490858
M23704,M124699,Undirected,196600,,,0.338227
M124713,M96272,Undirected,196602,,,0.942616
M96715,M96713,Undirected,196929,,,0.067095
M124701,M124704,Undirected,200091,,,0.92226
M124710,M124706,Undirected,203565,,,0.663659
