Id,name,country,group
M96709,Morten LØKKEGAARD,Denmark,ALDE
M124872,Morten PETERSEN,Denmark,ALDE
M122885,Rina Ronja KARI,Denmark,GUE/NGL
M124875,Anders Primdahl VISTISEN,Denmark,ECR
M124878,Jørn DOHRMANN,Denmark,ECR
M96710,Jens ROHDE,Denmark,ALDE
M124876,Rikke-Louise KARLSSON,Denmark,NI
M37312,Christel SCHALDEMOSE,Denmark,S&D
M28154,Ole CHRISTENSEN,Denmark,S&D
M96705,Bendt BENDTSEN,Denmark,PPE
M28161,Margrete AUKEN,Denmark,Verts/ALE
M124870,Jeppe KOFOD,Denmark,S&D
M96663,Morten MESSERSCHMIDT,Denmark,ECR
