Source,Target,Weight
M96705,M28161,0.09075723830734966
M124875,M96663,0.9703215169002474
M124872,M96710,0.9420546932742054
M37312,M28161,0.560947429231658
M96709,M28161,0.2220766459220439
M96710,M28161,0.3269113149847095
M124876,M96705,0.29170700225879315
M124878,M37312,0.03706386574912472
M124878,M28154,0.05398755246779563
M124875,M124878,0.9702620353443022
M96710,M28154,0.5938827527612575
M37312,M28154,0.9803462798315395
M124872,M28154,0.6055231821636686
M37312,M96705,0.5034731155132492
M124878,M96710,0.07476330395037545
M96709,M96663,0.1906549853984147
M124876,M124870,0.3970102281667978
M96709,M28154,0.5191624602729482
M28154,M124870,0.9776400534694374
M124878,M124870,0.034211860111505316
M96710,M37312,0.611385419692129
M28154,M96705,0.5070937545707181
M96709,M124875,0.18677301429046195
M96709,M124872,0.884510213929548
M124876,M37312,0.3965389735246265
M96709,M96705,0.6937004903809884
M124872,M124878,0.10979153506001264
M122885,M28154,0.2496231534519144
M124872,M124876,0.3523634131368938
M124875,M124876,0.2753576595402669
M124872,M37312,0.6077220077220077
M96710,M124876,0.3626895669651014
M122885,M37312,0.26031258006661545
M124872,M96663,0.09962568384681833
M124872,M124875,0.0928715454868936
M124875,M37312,0.011143695014662756
M122885,M28161,0.5949986409350367
M124878,M96705,0.2965295065163274
M124872,M96705,0.6798561151079137
M124872,M28161,0.3076923076923077
M124878,M96663,0.975584644800706
M37312,M124870,0.9801878031162936
M124876,M28161,0.4080050624901123
M124876,M28154,0.3582114641116154
M122885,M96710,0.014045906132237069
M28161,M124870,0.5560679611650485
M122885,M124870,0.2579656045860552
M122885,M124876,0.17636494252873566
M124875,M96710,0.06347191367819739
M96709,M124878,0.2277331470485505
M96710,M96663,0.056260655427164234
M96709,M96710,0.8392894030159058
M96710,M124870,0.6017658699954331
M124876,M96663,0.2752241083349228
M96710,M96705,0.6569534112720293
M96705,M96663,0.2930298719772404
M124878,M124876,0.2407850646242221
M124875,M96705,0.27215015180789404
M96709,M124870,0.5458700620306889
M124872,M124870,0.6045825771324864
M124875,M28154,0.02001361470388019
M28154,M28161,0.5462431602829307
M96705,M124870,0.5074247491638796
M96709,M37312,0.5484689830239569
M96709,M124876,0.3248183219555164
