Id,name,country,group
M191510,Jacques COLOMBIER,France,ENF
M124902,Stanisław ŻÓŁTEK,Poland,ENF
M124894,Michał MARUSIK,Poland,ENF
M125028,Olaf STUGER,Netherlands,ENF
M125025,Marcel de GRAAFF,Netherlands,ENF
M97513,Vicky MAEIJER,Netherlands,ENF
M103246,Auke ZIJLSTRA,Netherlands,ENF
M192635,Danilo Oscar LANCINI,Italy,ENF
M124830,Marcus PRETZELL,Germany,ENF
M28497,Gerard BATTEN,United Kingdom,ENF
M124753,Marie-Christine BOUTONNET,France,ENF
M124758,Mylène TROSZCZYNSKI,France,ENF
M96996,Giancarlo SCOTTÀ,Italy,ENF
M189065,France JAMET,France,ENF
M97198,Mara BIZZOTTO,Italy,ENF
M124780,Marco ZANNI,Italy,ENF
M21817,Mario BORGHEZIO,Italy,ENF
M30190,Louis ALIOT,France,ENF
M28210,Marine LE PEN,France,ENF
M38511,Georg MAYER,Austria,ENF
M124765,Joëlle MÉLIN,France,ENF
M124751,Dominique MARTIN,France,ENF
M183793,Angelo CIOCCA,Italy,ENF
M188445,André ELISSEN,Netherlands,ENF
M96993,Lorenzo FONTANA,Italy,ENF
M124767,Edouard FERRAND,France,ENF
M28404,Matteo SALVINI,Italy,ENF
M124755,Jean-Luc SCHAFFHAUSER,France,ENF
M124973,Gerolf ANNEMANS,Belgium,ENF
M96981,Franz OBERMAYR,Austria,ENF
M125024,Barbara KAPPEL,Austria,ENF
M125001,Harald VILIMSKY,Austria,ENF
M125684,Philippe LOISEAU,France,ENF
M124938,Janice ATKINSON,United Kingdom,ENF
M96897,John Stuart AGNEW,United Kingdom,ENF
M124738,Gilles LEBRETON,France,ENF
M124770,Jean-François JALKH,France,ENF
M124869,Gianluca BUONANNO,Italy,ENF
M124771,Dominique BILDE,France,ENF
M124757,Steeve BRIOIS,France,ENF
M124760,Nicolas BAY,France,ENF
M124748,Marie-Christine ARNAUTU,France,ENF
