Source,Target,Weight
M124753,M124770,0.9711191335740073
M125028,M96981,0.15362242199894235
M124894,M28497,0.6131420638593243
M188445,M96981,0.10604982206405694
M124894,M124753,0.3371123707902634
M124753,M30190,0.9831542259657275
M28404,M124757,0.5855855855855856
M21817,M124770,0.5697634556050737
M189065,M21817,0.5707421249332622
M97198,M96993,0.978172401035886
M28497,M188445,0.7411924119241192
M124765,M125024,0.4358353510895884
M191510,M124894,0.2688259109311741
M30190,M124770,0.9763421292083712
M124869,M124757,0.5714922048997773
M125028,M189065,0.15175458982105508
M96993,M124738,0.6037326388888888
M124770,M124771,0.9768688293370944
M124755,M124738,0.9709223080417992
M183793,M124938,0.3700335088559119
M124767,M124760,0.9639024390243902
M188445,M124973,0.2665214233841685
M124830,M124767,0.4111892387649037
M192635,M124830,0.20800627943485087
M97513,M103246,0.9894949494949496
M191510,M96993,0.7078651685393258
M124765,M96993,0.5856459330143541
M96993,M124760,0.5954291271577924
M191510,M124757,0.991927972679292
M124780,M124765,0.3260970693130718
M124938,M124738,0.4453679302655585
M125025,M125684,0.31894070236039146
M28210,M124938,0.5108695652173914
M125028,M124767,0.385623869801085
M124780,M28210,0.12260665099093045
M125028,M97513,0.9945340256900792
M125025,M38511,0.198332531665865
M30190,M124869,0.5858050847457628
M124758,M124751,0.9899170961236836
M96981,M124760,0.4490149724192277
M21817,M96897,0.2946355780205446
M103246,M96993,0.2098526925863318
M189065,M188445,0.1558073654390935
M103246,M124830,0.6507240017551558
M124902,M124748,0.3430488974113135
M124765,M188445,0.16338532344668882
M124902,M97513,0.5494252873563218
M96996,M124755,0.5001851166234728
M103246,M124869,0.18140144073346431
M125684,M124757,0.9840944692131582
M28404,M96981,0.5163147792706334
M125024,M96897,0.23882224645583425
M124780,M124755,0.3290569127883172
M30190,M124748,0.9824462061155153
M124902,M124757,0.35803497085761865
M183793,M96897,0.3764209158817798
M124753,M38511,0.4514845423936333
M124753,M188445,0.1603979616597913
M125028,M124938,0.7901117635915893
M125024,M124770,0.43868375741343024
M28497,M124748,0.41331780236847215
M192635,M183793,0.9869203329369798
M191510,M97198,0.5312285518188058
M124830,M30190,0.3950837192732455
M125028,M124755,0.2746596608550275
M96897,M124869,0.2518210197710718
M96897,M124771,0.4014397304334508
M124753,M124973,0.6751796910842637
M124780,M124738,0.3433759246805649
M124771,M124748,0.976525821596244
M124902,M124767,0.3838664812239221
M192635,M124765,0.5367611725132148
M124758,M124755,0.975122674883031
M191510,M124755,0.9783537453716891
M125025,M96897,0.7250222617987533
M192635,M125684,0.5341303509448515
M21817,M188445,0.17007730786721234
M97513,M125024,0.21861399397388684
M125001,M124757,0.4645817044566067
M28210,M124738,0.9796101949025487
M124780,M125024,0.3630393996247655
M30190,M96981,0.4971558589306029
M124780,M96897,0.08372167764743693
M124902,M125684,0.3364679330449501
M38511,M125684,0.4562120998448738
M125001,M124738,0.462699564586357
M124751,M124738,0.9874944171505136
M124894,M124767,0.3875035023816195
M125025,M124869,0.2299000434593655
M191510,M125025,0.16263940520446096
M97513,M124757,0.4122748498999333
M124830,M183793,0.3134691395560961
M125025,M103246,0.9878234398782344
M124780,M96993,0.4639048400328138
M38511,M124738,0.4631682334783218
M124902,M124755,0.3394174757281553
M124894,M124780,0.10011432304425937
M38511,M28404,0.5118718939812258
M124765,M124938,0.4439797490644948
M125025,M28404,0.2040181774695049
M124780,M183793,0.8892097663428722
M97513,M38511,0.2434186801298233
M96981,M124771,0.451276102088167
M124938,M124760,0.4354622599374721
M124755,M124770,0.957879234167894
M96996,M97198,0.9770642201834864
M188445,M124755,0.1496365968362548
M124830,M124780,0.0727463626818659
M124758,M30190,0.9848058525604952
M28497,M30190,0.4775138959070238
M96897,M124748,0.3821407095610343
M21817,M124765,0.5615755877315896
M97198,M96981,0.4890532115412498
M125001,M124771,0.4644277507733098
M124894,M96981,0.23221161895195044
M125024,M124869,0.4926174496644296
M28497,M124938,0.9375
M124758,M124780,0.3415226781857452
M192635,M96996,0.9901215805471124
M125025,M183793,0.200963523743978
M96993,M96981,0.5064377682403434
M103246,M124748,0.26460998244293954
M96897,M124770,0.4055985705777249
M28497,M125001,0.24682971014492755
M189065,M125684,0.9860960243319574
M188445,M124770,0.20626631853785898
M124830,M124753,0.29404635661263445
M103246,M96996,0.11473272490221642
M96993,M28404,0.9931740614334472
M124902,M189065,0.26807364167040865
M124902,M124765,0.3339164662147387
M125028,M124973,0.33591869483819203
M30190,M124757,0.97671777399205
M124894,M183793,0.35492487479131885
M103246,M124753,0.2645876645876646
M124767,M125001,0.4850663716814159
M125028,M21817,0.1893112532931878
M124753,M28404,0.5719242060314919
M124757,M124760,0.9708647861210437
M124758,M96996,0.5188191881918819
M192635,M28497,0.3676680972818312
M30190,M124760,0.9792583280955374
M124830,M124751,0.2961165048543689
M125025,M124765,0.325860435743606
M124938,M124748,0.4419074560517276
M97513,M28497,0.7776572668112798
M28497,M124753,0.4259219322838042
M125025,M124767,0.3952624245239201
M38511,M188445,0.13944603629417382
M124830,M96897,0.5927235977766548
M191510,M124765,0.9818372336709744
M28210,M124751,0.9784107946026986
M124770,M124757,0.9795357361026268
M125024,M125001,0.9748308525033829
M189065,M38511,0.4438233650083846
M38511,M124767,0.4776200873362446
M28210,M124767,0.9754525928198834
M97513,M124869,0.2260566110895696
M192635,M124757,0.5367775831873906
M124830,M124938,0.5923656927426956
M124780,M28404,0.4463087248322148
M124767,M125684,0.9813871039220032
M97198,M124751,0.5570049569527785
M124902,M96996,0.16272965879265092
M96993,M125684,0.5945649791803638
M124902,M21817,0.2525909368014631
M97513,M124767,0.4095563139931741
M124758,M124770,0.9808806488991888
M28404,M124770,0.5726970033296337
M183793,M125684,0.5794701986754967
M124753,M96897,0.39699322649925656
M124830,M124771,0.2984445413577555
M191510,M28404,1.0
M124753,M124780,0.30992771795250035
M21817,M124973,0.6665675193337299
M103246,M96981,0.1517754868270332
M124973,M124757,0.6779915814792543
M124767,M125024,0.4572207084468665
M124830,M124748,0.2977702511995484
M124767,M124938,0.4960679458949355
M191510,M96897,0.3036876355748373
M97513,M96993,0.2174721189591078
M28210,M124770,0.9772447724477245
M124765,M124751,0.978974358974359
M189065,M96993,0.7271487039563438
M124767,M124738,0.9801980198019802
M124755,M96981,0.43351102146664733
M28210,M125001,0.5060109289617486
M28497,M38511,0.2716483516483517
M96981,M124748,0.4538986909504838
M124765,M124755,0.9645787211876546
M124771,M124760,0.9714001492166128
M124902,M124869,0.28112215078901226
M124973,M125001,0.5845831317529431
M189065,M124780,0.5650969529085873
M125028,M124757,0.29989969909729186
M124902,M28404,0.2664796633941094
M124894,M124760,0.3267813267813268
M192635,M124770,0.5427728613569321
M125001,M125684,0.4562682215743441
M124894,M28404,0.3123714369673817
M191510,M28497,0.3254102999434069
M125025,M124748,0.3180327868852459
M125028,M192635,0.18822213939619828
M124894,M124738,0.3368516284680338
M124771,M124757,0.9876396482053721
M124753,M21817,0.5516888433981576
M28404,M124755,0.5659312467932273
M124830,M188445,0.7544268406337372
M124902,M124830,0.5743766122098022
M30190,M125001,0.4974075354303491
M189065,M124938,0.3233711894799761
M28497,M124758,0.4191899331498231
M125028,M125025,0.9886275523391056
M28404,M124938,0.30293367346938777
M124973,M124760,0.685608400247066
M191510,M124758,0.9954635667706266
M124894,M124938,0.6136093266714252
