Source,Target,Weight
M1179,M28393,0.8876946698837465
M23894,M96651,0.8802245789145352
M124893,M124808,0.9395939593959396
M125065,M97296,0.8824319785018475
M28228,M96774,0.9215850718104625
M125063,M111027,0.8968222310862917
M24922,M28126,0.6568933250155957
M24594,M194391,0.8578227245687091
M96696,M125065,0.8933863389953017
M124802,M28424,0.9359647281125342
M96729,M1037,0.927403156384505
M124729,M38596,0.938030984507746
M193419,M124807,0.8940948156362628
M98341,M28150,0.900887372013652
M28224,M112788,0.9452570921985816
M124726,M96772,0.9070778145695364
M112611,M111027,0.8904855214456782
M40599,M124763,0.6498497548631978
M124729,M96899,0.8730982019363762
M28393,M96848,0.919078104993598
M1037,M124968,0.8840453356582388
M185341,M124729,0.8343868520859671
M96903,M124730,0.9576459576459576
M185341,M124807,0.9214165261382801
M96997,M125032,0.9373200067762156
M124802,M125012,0.9376558603491272
M124809,M124731,0.8638557777558861
M96956,M38420,0.5563881603596853
M24594,M108080,0.973609419407227
M24594,M118859,0.7943602532131211
M111033,M124726,0.9062633148700469
M124732,M28122,0.7994817620091689
M124926,M1263,0.9001317207520058
M96936,M96674,0.7911076032622993
M2323,M1892,0.8877347183379944
M39726,M96791,0.8888057840937422
M124929,M96978,0.9305617977528091
M125027,M124789,0.7318435754189944
M185341,M125706,0.8980322003577818
M23785,M28220,0.8901003994386268
M1922,M96762,0.920691837165155
M28257,M124930,0.8109937077050932
M1263,M124988,0.8421120082019736
M2341,M4345,0.8578630028664624
M96997,M96696,0.9401468097120272
M28269,M125027,0.9245005257623554
M38398,M22418,0.8811062289997416
M33982,M26837,0.86616192453291
M96787,M96849,0.8409419940160217
M1038,M96806,0.8595297944699098
M124726,M96848,0.9098591549295776
M111033,M96956,0.8178807947019867
M189525,M28288,0.9348776223776224
M124893,M97968,0.9438432290143316
M1037,M119436,0.9370576064466949
M2278,M38601,0.9292190699034806
M124929,M125006,0.8710710710710711
M96811,M124854,0.889972602739726
M96761,M124733,0.9192319732860272
M124968,M96651,0.8775851263839566
M96997,M125068,0.8953959484346224
M23781,M124889,0.957513277100906
M28424,M112788,0.9457562220804084
M125027,M125103,0.9201416207710464
M96775,M96272,0.896904288554388
M2341,M124990,0.7676320272572402
M28141,M124898,0.862987012987013
M28276,M28122,0.8482981220657277
M111033,M194391,0.9293123319247024
M96806,M28398,0.9632585835550488
M111033,M119436,0.9556235654169856
M125706,M28219,0.9026988636363636
M23816,M96772,0.8871145374449341
M1055,M24594,0.8742362525458248
M96754,M124728,0.8403500473036897
M125068,M96826,0.8347775852108608
M124893,M124903,0.9744310917923804
M119436,M96811,0.9198562063861282
M1928,M1852,0.9525475617756396
M38596,M124759,0.9186217008797654
M124704,M97293,0.8172172172172172
M28219,M193419,0.9021264200407808
M96764,M124749,0.8703266674947212
M23781,M2187,0.9367516119128032
M101580,M125670,0.869942196531792
M39721,M125004,0.9237380223253976
M4289,M96674,0.7845882204565519
M96835,M28424,0.9306464576874498
M2278,M124743,0.8793368130181148
M96884,M1263,0.8466711499663753
M1928,M39717,0.9227504244482172
M189525,M96829,0.8942398489140698
M28135,M28269,0.8985169751194999
M190713,M125068,0.8384308510638298
M96806,M23785,0.8972386316801758
M124729,M28393,0.8849420849420849
M125016,M38596,0.8645155019924191
M124712,M125032,0.8852079347497734
M124881,M125706,0.9156359848977996
M1204,M125032,0.8741203290712657
M124896,M28399,0.9091218130311616
M96763,M124853,0.9300609560474816
M124809,M96936,0.9322071326046152
M23781,M119434,0.9484438855705752
M2002,M96829,0.8492879746835443
M96956,M96774,0.5279143766271334
M124733,M97968,0.9205547300643884
M23785,M108080,0.8610624635143024
M119436,M28399,0.9336377473363776
M125670,M112788,0.9141463414634148
M28124,M125064,0.7672400433906709
