Id,Label,timeset,modularity_class,name,country,group
M2128,Paavo VÄYRYNEN,,2,Paavo VÄYRYNEN,Finland,ALDE
M193269,Mirja VEHKAPERÄ,,2,Mirja VEHKAPERÄ,Finland,ALDE
M40599,Sirpa PIETIKÄINEN,,1,Sirpa PIETIKÄINEN,Finland,PPE
M124726,Henna VIRKKUNEN,,2,Henna VIRKKUNEN,Finland,PPE
M114268,Nils TORVALDS,,2,Nils TORVALDS,Finland,ALDE
M112611,Petri SARVAMAA,,2,Petri SARVAMAA,Finland,PPE
M28314,Anneli JÄÄTTEENMÄKI,,2,Anneli JÄÄTTEENMÄKI,Finland,ALDE
M28316,Hannu TAKKULA,,2,Hannu TAKKULA,Finland,ALDE
M96684,Liisa JAAKONSAARI,,1,Liisa JAAKONSAARI,Finland,S&D
M124727,Jussi HALLA-AHO,,0,Jussi HALLA-AHO,Finland,ECR
M124736,Merja KYLLÖNEN,,1,Merja KYLLÖNEN,Finland,GUE/NGL
M132366,Pirkko RUOHONEN-LERNER,,0,Pirkko RUOHONEN-LERNER,Finland,ECR
M124735,Miapetra KUMPULA-NATRI,,1,Miapetra KUMPULA-NATRI,Finland,S&D
M2054,Heidi HAUTALA,,1,Heidi HAUTALA,Finland,Verts/ALE
M191693,Elsi KATAINEN,,2,Elsi KATAINEN,Finland,ALDE
