Source,Target,Weight
M124729,M38596,0.938030984507746
M96747,M28208,0.6934337097448766
M124753,M124770,0.9711191335740073
M96948,M188254,0.6294478527607362
M24594,M108080,0.973609419407227
M124725,M96858,0.3854007146503318
M96849,M113892,0.5139089223160931
M1204,M124752,0.3648875461564283
M124731,M124740,0.026779882429784456
M1164,M125684,0.9504260263361736
M124740,M124760,0.3313103448275862
M124753,M30190,0.9831542259657275
M96740,M97296,0.1453404152583293
M96868,M96735,0.7047310434219054
M110977,M124757,0.7613127797115863
M101580,M114279,0.5488787284998912
M103845,M96849,0.4878754171301446
M30190,M1164,0.9591184924944108
M28166,M1179,0.4730007574937777
M124287,M124752,0.0907871198568873
M96952,M94282,0.979498501813594
M5565,M124773,0.6839674510666374
M96931,M114279,0.4562724014336917
M38596,M72779,0.9196255977210296
M1023,M124755,0.9313149570718482
M28166,M96885,0.578578468951922
M1985,M188254,0.5892053973013494
M30190,M124770,0.9763421292083712
M4338,M96743,0.3775662005355549
M124729,M24594,0.9542356377799416
M28206,M124693,0.33543165467625896
M124947,M101580,0.5298395721925133
M124770,M124771,0.9768688293370944
M124725,M72779,0.4439440625740697
M124287,M96948,0.9320298904698536
M124755,M124738,0.9709223080417992
M124758,M110977,0.7515318627450981
M124744,M96742,0.15949772909430934
M24505,M94282,0.9579085827030582
M4345,M96883,0.1666473115782139
M124729,M28208,0.6937091784118253
M5565,M113892,0.45755648168458
M72779,M4335,0.7050326188257223
M124729,M4345,0.9169339861556643
M30482,M96885,0.03650830798034168
M4338,M188254,0.8557814485387548
M124767,M124760,0.9639024390243902
M124769,M124771,0.7720326031584309
M4345,M124773,0.7271980279375514
M96868,M28208,0.3334050102139555
M1023,M124750,0.8204534937528922
M28208,M24505,0.4502696871628911
M38596,M96743,0.13285133303208316
M124729,M72779,0.932732316227462
M124765,M1164,0.9484062268346924
M193080,M124693,0.5856353591160219
M193080,M124728,0.3669394435351882
M1204,M24594,0.9570033796470148
M97137,M4335,0.9101019462465244
M30482,M94282,0.4102958125240108
M28166,M96735,0.40721992806713736
M96740,M94282,0.5983908816627557
M191510,M124757,0.991927972679292
M124287,M28208,0.6268461770320506
M96884,M2025,0.9381222567176962
M124287,M96858,0.4028866916695079
M1985,M96883,0.5744847378032872
M97137,M101580,0.6961418643661634
M21331,M124769,0.7286522633744856
M4338,M72775,0.6477376252657151
M124765,M124740,0.3136879328127302
M124947,M28208,0.5369033293221018
M190774,M113892,0.41694169416941695
M1204,M97022,0.669863161297274
M28166,M72775,0.4987840778190196
M1179,M96883,0.0976984499765148
M28210,M124750,0.9875660553310538
M96884,M94282,0.5279573982502853
M72775,M96883,0.1178018123355744
M124947,M124725,0.8791171477079797
M28166,M108080,0.4742844364937388
M103845,M72779,0.4387405886379193
M101580,M1985,0.5677142211168891
M124752,M124760,0.2505778382053025
M96885,M124693,0.26472863932795404
M97022,M96858,0.09580166936589013
M96868,M124728,0.12825552825552824
M38596,M124728,0.9444947893067512
M96742,M124760,0.18203470568220484
M96849,M96948,0.5378811694435712
M30482,M124740,0.06258047901107391
M124769,M96858,0.06000558191459671
M96743,M96952,0.578125
M94282,M188254,0.6269515201314708
M193080,M114279,0.7703612982241274
M124744,M188254,0.4686788154897494
M96743,M96858,0.7057987860002582
M124758,M124751,0.9899170961236836
M97137,M103845,0.6140637775960752
M1164,M124755,0.9425302301391236
M24505,M96883,0.6204796818690195
M28166,M97022,0.6191572645636657
M28166,M114279,0.8907032440670586
M96747,M96885,0.7261146496815286
M189065,M124740,0.4230392156862745
M5565,M188254,0.6225728155339806
M96849,M96883,0.1360150996814911
M96868,M96952,0.5827038861521621
M124732,M124752,0.3796971396522715
M114279,M72779,0.40098646237800395
M125684,M124757,0.9840944692131582
M108080,M4335,0.7259722843093429
M5565,M96885,0.7116664847757285
M96742,M124693,0.4676524953789279
M190774,M124731,0.9401960784313724
M96885,M94282,0.633344187561055
M28206,M97296,0.6788577704557935
M124729,M24505,0.3626181309065453
M30482,M24505,0.6177648343647616
M101580,M4338,0.5
M4335,M96740,0.38468634686346864
M96742,M124738,0.18350898946063235
M193080,M96868,0.5970548862115127
M30190,M124748,0.9824462061155153
M124725,M4335,0.670042643923241
M124731,M1985,0.5241627808393386
M103845,M124728,0.4671804752729608
M96868,M1985,0.5900707574527317
M188721,M188254,0.13980137509549273
M24594,M72779,0.944129712834538
M114279,M24594,0.42972600039424397
M72779,M94282,0.5262555210207754
M125684,M124752,0.22119930330928086
M124740,M124738,0.3305407463823305
M4345,M96744,0.1866837936202098
M124758,M188721,0.010332309410779112
M191510,M188721,0.024587155963302756
M5565,M96744,0.09657392504023914
M124728,M96740,0.15501022494887526
M96868,M96849,0.15717782270937533
M4335,M94282,0.6930980567344204
M101580,M124740,0.01806156194352582
M96884,M124732,0.9362497252143328
M190774,M188254,0.6213592233009708
M96743,M28208,0.3202420367621875
M101580,M124731,0.9493877551020408
M124744,M4338,0.5386666666666666
M97137,M108080,0.6990338164251207
M110977,M124755,0.7335207747578881
M4345,M1985,0.5567270730367929
M188721,M24505,0.8032181482458455
M124287,M72779,0.4554909758335883
M21331,M124755,0.8140207178993014
M124771,M124748,0.976525821596244
M5565,M96952,0.4484496548701655
M96868,M124731,0.15948188625784254
M103845,M1985,0.9598735408560312
M124725,M96742,0.12152452358637925
M96948,M124752,0.09524929444967074
M190774,M96743,0.09070857457954233
M124947,M193080,0.7443523019731199
M124758,M124755,0.975122674883031
M124725,M94282,0.9709583736689256
M1023,M124771,0.9464285714285714
M191510,M124755,0.9783537453716891
M4335,M96883,0.3353643056613353
M1023,M96742,0.14285714285714285
M72779,M24505,0.26407682234831953
M101580,M4345,0.9579260518487038
M96931,M5565,0.9232613908872902
M72779,M124740,0.05145103480171118
M124693,M188254,0.32779255319148937
M96883,M97296,0.11773472429210136
M124729,M124732,0.954172938618498
M124751,M110977,0.7533694810224633
M96744,M188254,0.3329415221863062
M96885,M188254,0.8593570608495982
M96952,M24505,0.7902802101576182
M28210,M124738,0.9796101949025487
M4338,M124693,0.36531365313653136
M124729,M4338,0.6477272727272727
M96858,M124750,0.1013938234490298
M124729,M97137,0.6873563218390805
M124729,M96884,0.9135567402894136
M96885,M28208,0.9131059983566148
M96884,M28208,0.6915536304570843
M124287,M188254,0.5825892857142857
M96735,M188254,0.18428571428571427
M124725,M96744,0.5788019590606556
M124947,M96747,0.368431855500821
M124751,M124738,0.9874944171505136
M124287,M124728,0.4812115691186518
M124725,M96883,0.5657719904331651
M124947,M96885,0.4866754483736954
M96744,M2025,0.126102750389206
M1204,M124287,0.4826875919568416
M24594,M28208,0.7003491078355314
M96948,M24505,0.736784140969163
M28210,M110977,0.9885057471264368
M96931,M28206,0.6975342465753425
M114279,M124731,0.4502211302211302
M124751,M96742,0.17755856966707767
M188721,M96744,0.7036458333333333
