Id,name,country,group
M191510,Jacques COLOMBIER,France,ENF
M124729,Renaud MUSELIER,France,PPE
M28166,Vincent PEILLON,France,S&D
M124947,Edouard MARTIN,France,S&D
M193080,Karine GLOANEC MAURIN,France,S&D
M96931,Maurice PONGA,France,PPE
M1204,Alain LAMASSOURE,France,PPE
M1023,Jean-Marie LE PEN,France,NI
M1179,Michèle ALLIOT-MARIE,France,PPE
M97137,Sylvie GOULARD,France,ALDE
M101580,Constance LE GRIP,France,PPE
M103845,Virginie ROZIÈRE,France,S&D
M190774,Geoffroy DIDIER,France,PPE
M114279,Isabelle THOMAS,France,S&D
M96868,Karima DELLI,France,Verts/ALE
M24594,Anne SANDER,France,PPE
M96747,Arnaud DANJEAN,France,PPE
M97022,Robert ROCHEFORT,France,ALDE
M4345,Tokia SAÏFI,France,PPE
M124753,Marie-Christine BOUTONNET,France,ENF
M124758,Mylène TROSZCZYNSKI,France,ENF
M124725,Louis-Joseph MANSCOUR,France,S&D
M124744,Guillaume BALAS,France,S&D
M189065,France JAMET,France,ENF
M4338,Thierry CORNILLET,France,ALDE
M188721,Marie-Pierre VIEU,France,GUE/NGL
M124731,Jérôme LAVRILLEUX,France,PPE
M96884,Philippe JUVIN,France,PPE
M108080,Franck PROUST,France,PPE
M72775,Rachida DATI,France,PPE
M5565,Brice HORTEFEUX,France,PPE
M30190,Louis ALIOT,France,ENF
M30482,Younous OMARJEE,France,GUE/NGL
M28210,Marine LE PEN,France,ENF
M96849,Alain CADEC,France,PPE
M38596,Elisabeth MORIN-CHARTIER,France,PPE
M124287,Christine REVAULT D'ALLONNES BONNEFOY,France,S&D
M124732,Angélique DELAHAYE,France,PPE
M96744,José BOVÉ,France,Verts/ALE
M72779,Nadine MORANO,France,PPE
M4335,Marielle de SARNEZ,France,ALDE
M96885,Dominique RIQUET,France,ALDE
M124765,Joëlle MÉLIN,France,ENF
M124740,Joëlle BERGERON,France,EFDD
M124773,Jean ARTHUIS,France,ALDE
M21331,Sylvie GODDYN,France,EFDD
M124751,Dominique MARTIN,France,ENF
M124769,Sophie MONTEL,France,NI
M96735,Patrick LE HYARIC,France,GUE/NGL
M96743,Michèle RIVASI,France,Verts/ALE
M2025,Françoise GROSSETÊTE,France,PPE
M110977,Florian PHILIPPOT,France,EFDD
M1164,Bruno GOLLNISCH,France,NI
M124767,Edouard FERRAND,France,ENF
M96858,Marie-Christine VERGIAT,France,GUE/NGL
M96948,Gilles PARGNEAUX,France,S&D
M124761,Bernard MONOT,France,EFDD
M28208,Nathalie GRIESBECK,France,ALDE
M124755,Jean-Luc SCHAFFHAUSER,France,ENF
M96742,Jean-Luc MÉLENCHON,France,GUE/NGL
M1985,Pervenche BERÈS,France,S&D
M96952,Sylvie GUILLAUME,France,S&D
M124728,Marc JOULAUD,France,PPE
M96740,Yannick JADOT,France,Verts/ALE
M24505,Emmanuel MAUREL,France,GUE/NGL
M125684,Philippe LOISEAU,France,ENF
M96883,Eva JOLY,France,Verts/ALE
M113892,Eric ANDRIEU,France,S&D
M28206,Jean-Marie CAVADA,France,ALDE
M124752,Aymeric CHAUPRADE,France,EFDD
M124693,Pascal DURAND,France,Verts/ALE
M124738,Gilles LEBRETON,France,ENF
M94282,Jean-Paul DENANOT,France,S&D
M124770,Jean-François JALKH,France,ENF
M124771,Dominique BILDE,France,ENF
M124757,Steeve BRIOIS,France,ENF
M124760,Nicolas BAY,France,ENF
M124748,Marie-Christine ARNAUTU,France,ENF
M97296,Michel DANTIN,France,PPE
M124750,Mireille D'ORNANO,France,EFDD
M188254,Patricia LALONDE,France,ALDE
