Id,name,country,group
M122885,Rina Ronja KARI,Denmark,GUE/NGL
M135490,Xabier BENITO ZILUAGA,Spain,GUE/NGL
M28331,Jaromír KOHLÍČEK,Czechia,GUE/NGL
M190517,Martin SCHIRDEWAN,Germany,GUE/NGL
M125192,Curzio MALTESE,Italy,GUE/NGL
M124736,Merja KYLLÖNEN,Finland,GUE/NGL
M125037,Anne-Marie MINEUR,Netherlands,GUE/NGL
M96851,Thomas HÄNDEL,Germany,GUE/NGL
M124863,Stefan ECK,Germany,GUE/NGL
M136236,João PIMENTA LOPES,Portugal,GUE/NGL
M131749,Estefanía TORRES MARTÍNEZ,Spain,GUE/NGL
M26851,Nikolaos CHOUNTIS,Greece,GUE/NGL
M131507,Miguel URBÁN CRESPO,Spain,GUE/NGL
M125023,Anja HAZEKAMP,Netherlands,GUE/NGL
M28248,Gabriele ZIMMER,Germany,GUE/NGL
M23699,Kateřina KONEČNÁ,Czechia,GUE/NGL
M96852,Cornelia ERNST,Germany,GUE/NGL
M96748,Dennis de JONG,Netherlands,GUE/NGL
M125092,Kostadinka KUNEVA,Greece,GUE/NGL
M120478,Martina MICHELS,Germany,GUE/NGL
M96854,Sabine LÖSING,Germany,GUE/NGL
M130833,Stelios KOULOGLOU,Greece,GUE/NGL
M188721,Marie-Pierre VIEU,France,GUE/NGL
M96907,Takis HADJIGEORGIOU,Cyprus,GUE/NGL
M96706,João FERREIRA,Portugal,GUE/NGL
M96820,Marisa MATIAS,Portugal,GUE/NGL
M28586,Dimitrios PAPADIMOULIS,Greece,GUE/NGL
M124858,Fabio DE MASI,Germany,GUE/NGL
M30482,Younous OMARJEE,France,GUE/NGL
M124689,Neoklis SYLIKIOTIS,Cyprus,GUE/NGL
M124810,Barbara SPINELLI,Italy,GUE/NGL
M124992,Malin BJÖRK,Sweden,GUE/NGL
M125049,Maria Lidia SENRA RODRÍGUEZ,Spain,GUE/NGL
M125047,Paloma LÓPEZ BERMEJO,Spain,GUE/NGL
M125100,Miguel VIEGAS,Portugal,GUE/NGL
M125091,Sofia SAKORAFA,Greece,GUE/NGL
M96735,Patrick LE HYARIC,France,GUE/NGL
M125050,Ángela VALLINA,Spain,GUE/NGL
M111589,Inês Cristina ZUBER,Portugal,GUE/NGL
M125193,Eleonora FORENZA,Italy,GUE/NGL
M96858,Marie-Christine VERGIAT,France,GUE/NGL
M124987,Liadh NÍ RIADA,Ireland,GUE/NGL
M23704,Jiří MAŠTÁLKA,Czechia,GUE/NGL
M96646,Helmut SCHOLZ,Germany,GUE/NGL
M125035,Lola SÁNCHEZ CALDENTEY,Spain,GUE/NGL
M96742,Jean-Luc MÉLENCHON,France,GUE/NGL
M113959,Martina ANDERSON,United Kingdom,GUE/NGL
M125051,Josu JUARISTI ABAUNZ,Spain,GUE/NGL
M24505,Emmanuel MAUREL,France,GUE/NGL
M125061,Kostas CHRYSOGONOS,Greece,GUE/NGL
M124985,Luke Ming FLANAGAN,Ireland,GUE/NGL
M124984,Lynn BOYLAN,Ireland,GUE/NGL
M124986,Matt CARTHY,Ireland,GUE/NGL
M125048,Marina ALBIOL GUZMÁN,Spain,GUE/NGL
M127330,Tania GONZÁLEZ PEÑAS,Spain,GUE/NGL
M125997,Javier COUSO PERMUY,Spain,GUE/NGL
