Source,Target,Weight
M190517,M125023,0.7356210729821171
M122885,M96742,0.7531206657420251
M23699,M124985,0.7411194833153929
M125192,M96907,0.8970199259389878
M125047,M24505,0.5240648227123188
M28331,M125049,0.672883787661406
M124858,M125193,0.9476940382452194
M125092,M124992,0.8502943650126157
M125037,M130833,0.6587369501968167
M131507,M96854,0.9185854217020736
M125192,M96854,0.93383674937073
M131507,M24505,0.5782185189531746
M122885,M131507,0.823226854358419
M28248,M28586,0.9668161434977578
M125092,M124987,0.7946895254024671
M125192,M24505,0.4502322495023225
M131749,M96646,0.902987970508343
M125047,M125035,0.9193228408940616
M127330,M125997,0.9143996247654784
M124863,M136236,0.7069081153588196
M135490,M131507,0.9893560404470464
M28331,M131507,0.7332799359231077
M125092,M124810,0.9318250377073908
M125192,M113959,0.8147277003799529
M125092,M124986,0.7892596984584109
M28586,M96742,0.7458233890214797
M125192,M125193,0.968259385665529
M23704,M125997,0.7556840077071291
M96851,M24505,0.6038533834586466
M96852,M124985,0.7964779874213836
M131749,M125091,0.9112462006079028
M190517,M26851,0.9089662736495748
M24505,M125048,0.5215441076525758
M124858,M125047,0.9454380115186422
M124736,M125091,0.8657718120805369
M125037,M125091,0.6777078502815502
M125023,M125035,0.7773943054357204
M120478,M96735,0.912702008760006
M28248,M188721,0.8897478991596639
M135490,M28248,0.9207218820496292
M96706,M23704,0.6472340425531915
M130833,M23704,0.7719522591645354
M96735,M113959,0.8026200873362446
M135490,M96748,0.6851851851851852
M26851,M125100,0.8239182692307693
M124863,M124986,0.8193563271426924
M131749,M23704,0.7786187322611163
M125100,M113959,0.7441506299321612
M96907,M96706,0.7991111111111111
M96748,M30482,0.6456483126110124
M125037,M113959,0.7000152276534186
M96748,M96858,0.6753077480086893
M111589,M125048,0.855188141391106
M125049,M124986,0.8026872356307541
M125092,M125997,0.899252402990388
M96858,M96646,0.9226717740004788
M124992,M124985,0.8033694344163659
M28331,M125092,0.7833194790800776
M125050,M96646,0.9010989010989012
M96851,M28248,0.9657399606852008
M28586,M124987,0.7920112616575752
M135490,M124736,0.8481053307642903
M111589,M125035,0.8187808896210873
M96851,M125997,0.9048998310403088
M96742,M125051,0.7711383328353749
M26851,M125049,0.9169510807736064
M96820,M125091,0.938982110664263
M23699,M124992,0.7107426876937593
M131749,M96858,0.8983119788488916
M96852,M124986,0.7678616831934909
M125049,M96742,0.7812852311161218
M122885,M125997,0.8237995824634655
M122885,M24505,0.4513344841322534
M96854,M125997,0.9267380368889462
M30482,M127330,0.8458811015246425
M122885,M28586,0.7981449457632448
M125037,M125997,0.6815078658355596
M125023,M124987,0.8022416705051436
M96854,M23704,0.7719463847460827
M124810,M96742,0.7213158598555763
M28331,M96706,0.5725518227305219
M122885,M23704,0.6988270904275444
M28248,M120478,0.9666975023126736
M124863,M124992,0.8723790094072311
M23704,M96646,0.7549265496237908
M131749,M125100,0.7521822439855227
M23699,M125049,0.7336963921034717
M136236,M125051,0.7602739726027398
M124992,M24505,0.5167878158532364
M124863,M125049,0.8651502843216897
M131507,M125193,0.9253783878915874
M28331,M124689,0.7250608272506083
M124992,M96742,0.6947243627741553
M124736,M125050,0.8229219570001692
M190517,M120478,0.9477911646586346
M190517,M23699,0.6871741397288843
M96851,M124986,0.7786370227162881
M96907,M125049,0.8752715654952077
M96851,M125061,0.8741342968985245
M30482,M125100,0.7057886351566649
M125192,M124863,0.8933588761174968
M131507,M96646,0.9089831713676226
M96852,M188721,0.9154214829433324
M23699,M96646,0.7647522670521751
M120478,M124992,0.8557692307692307
M96851,M125091,0.9273167777104784
M28248,M125049,0.8795212765957446
M125049,M125091,0.8839694656488549
M96742,M125048,0.7803073420603301
M122885,M124992,0.9056304520222046
M120478,M96706,0.7270762581043532
M190517,M136236,0.7033312382149591
M96852,M125047,0.9025016035920462
M28331,M23699,0.9286694101508915
M96852,M124992,0.8636995827538247
M30482,M24505,0.6177648343647616
M131749,M125050,0.9037690457097032
M96907,M125091,0.8984461709211987
M130833,M96820,0.9362876964462692
M124987,M96742,0.7145688800792864
M96852,M125035,0.8989845707503626
M23699,M124810,0.7783582089552239
M124689,M113959,0.8386798272671191
M131749,M124992,0.8757106449715742
M96907,M96646,0.8856345885634589
M28248,M96706,0.7421271538918598
M125037,M26851,0.6918325326012355
M131507,M96907,0.8854737916082133
M124736,M124863,0.8519975414874001
M120478,M125051,0.9352857817666508
M125023,M125049,0.7771833934178393
M135490,M96742,0.7549974372116863
M131749,M96735,0.9100301334481274
M130833,M125051,0.9401886358408098
M188721,M96820,0.9170212765957448
M124689,M124810,0.8934649863583214
M135490,M23704,0.7366563740626378
M124736,M125035,0.8589960518894529
M28586,M124992,0.8563472797372554
M125050,M111589,0.8607287449392712
M122885,M124858,0.8992443324937027
M124736,M125049,0.7936487020687838
M125037,M125049,0.6651779282524132
M96851,M96735,0.9131868131868132
M124858,M124985,0.8956824108953927
M96820,M124689,0.9149601820250284
M28248,M124985,0.8130039011703512
M26851,M125050,0.9319164942636824
M125023,M125100,0.6969328140214216
M124863,M125091,0.8799376299376299
M190517,M188721,0.902081501026092
M96851,M125047,0.9108593942378724
M124863,M113959,0.8255444091020309
M125061,M124984,0.7687050990012265
M120478,M130833,0.9327622434136092
M135490,M125061,0.8498415213946118
M28331,M125048,0.7285067873303167
M122885,M96852,0.8120016785564415
