Source,Target,Weight
M96851,M124888,0.3764591439688716
M96833,M124838,0.9683670262909816
M28224,M112788,0.9452570921985816
M96752,M96646,0.7319442818681962
M124824,M194391,0.4461438333875691
M190517,M1909,0.3640999490056094
M1854,M28229,0.5063989962358846
M1922,M96762,0.920691837165155
M96851,M1913,0.3884526558891455
M96734,M96842,0.598816943065385
M96762,M93624,0.46062904305152796
M1038,M96728,0.10217480508822324
M1928,M1852,0.9525475617756396
M124822,M96730,0.6449205584978334
M1854,M96844,0.9695571955719556
M124816,M124834,0.2343994314143568
M96844,M124834,0.11321566939302626
M124822,M190517,0.4974247763621578
M96730,M96840,0.5806142034548945
M96764,M124837,0.3829136952408673
M96762,M124826,0.4724677090414684
M1038,M96833,0.4679777461508604
M124826,M124888,0.9663109437120736
M124837,M96646,0.4545221952155558
M96997,M124807,0.9686692506459949
M124806,M124818,0.07946460870613771
M96761,M1922,0.9686153846153848
M194391,M96780,0.956665442526625
M4282,M28229,0.9544783464566928
M2323,M124807,0.9598756710935292
M124841,M120478,0.39032620922384703
M4282,M96730,0.04845300642148278
M96997,M124823,0.3487042682926829
M28223,M124888,0.4710778193924262
M4262,M96872,0.5071119356833642
M96752,M1913,0.5988004712434399
M1055,M96734,0.07332167361765103
M124806,M96772,0.9557051351644772
M124808,M96833,0.4519400352733686
M124837,M96837,0.9688770177679712
M28219,M96840,0.4447247706422017
M1909,M1927,0.5076808721506442
M96764,M190799,0.3168724279835391
M124840,M96851,0.30062893081761005
M124839,M124816,0.5913511276639768
M96767,M2341,0.9564799999999999
M96833,M93624,0.9701429772918418
M190517,M193273,0.6982670744138634
M124822,M28219,0.37595850248083
M124840,M124863,0.2938813763556032
M96851,M96871,0.0815407703851926
M28226,M1917,0.9060910395200208
M124837,M96780,0.4351375109883211
M28225,M96842,0.4455937112122466
M96761,M190799,0.3473473473473473
M1913,M96734,0.588855116514691
M188945,M96871,0.7857142857142857
M96730,M2323,0.06875133861640609
M96871,M28238,0.2630121816168328
M4289,M124862,0.6442772702847931
M124841,M186884,0.9126661242202332
M124839,M4282,0.4470128419877164
M28223,M96997,0.9762845849802372
M124834,M96842,0.1376037959667853
M96736,M124858,0.6539966461710452
M96767,M1263,0.9239773442416614
M96756,M1038,0.8849032258064516
M96997,M96736,0.19701545567596376
M96839,M96932,0.9689489209750038
M4282,M96997,0.9599700710811822
M96764,M112788,0.916237283657022
M103381,M96842,0.6116417575008428
M96872,M96932,0.4650062266500623
M188945,M28220,0.9266932270916336
M28228,M124848,0.04702455264253017
M124836,M1917,0.4087846269029199
M96840,M1263,0.43717796274276655
M124840,M28226,0.5085665334094803
M193273,M96728,0.986328125
M28248,M124848,0.7053478712357217
M96844,M186884,0.9417989417989416
M124841,M96739,0.5873116574147502
M34728,M96854,0.2829537612146308
M4282,M1909,0.4757514070171237
M96767,M124807,0.9633692261245848
M96870,M124806,0.6748630695723109
M1038,M1854,0.4794596852806016
M28242,M96831,0.4945167049222137
M1849,M124807,0.4443076923076923
M124839,M1917,0.4589032804745189
M1038,M124815,0.4100552165068294
M96852,M96932,0.4131814061893047
M124829,M28229,0.3366246589580356
M1263,M124848,0.0947075208913649
M124837,M28240,0.6161222168048106
M124806,M28219,0.954814897662454
M28219,M1927,0.9491735072528956
M96852,M1913,0.3987873134328358
M120478,M96836,0.3930264993026499
M124836,M96767,0.3689352725657822
M124838,M193273,0.5676715843489416
M96872,M124820,0.3454981992797119
M124815,M124807,0.44489046909049196
M96839,M28226,0.4787234042553192
M96833,M96871,0.5856657075595082
M28225,M124815,0.3991189427312775
M124837,M96844,0.963548275464298
M1055,M124862,0.664010989010989
M194391,M112788,0.9407728421812928
M124816,M1055,0.07039197070391971
M1909,M193273,0.5766767778901247
M1909,M1852,0.4656157185286726
M4267,M96831,0.962831158560696
M96839,M96767,0.4611463000154488
M124862,M124858,0.043569553805774285
M96764,M96839,0.4160055191445326
M28226,M28233,0.1669753903148981
M28224,M124848,0.058967785085274775
M28224,M124829,0.3605328892589509
M1852,M1263,0.9244038559107052
M96837,M194391,0.31776913099870296
M2323,M96833,0.4518980759230369
M28244,M1849,0.5650118203309693
M190799,M96730,0.5860165593376265
M1854,M186884,0.9376734258271078
M1854,M28219,0.4812840421833353
M124827,M96780,0.3762653982192951
M124837,M34728,0.9609756097560976
M124822,M96870,0.4673401446447021
M96851,M93624,0.3664799253034547
M124841,M124829,0.05237825594563986
M124822,M124826,0.9098210188159708
M124836,M193273,0.6687603305785124
M4267,M96752,0.665111828728621
M124822,M28223,0.3770416379112032
M28240,M1917,0.15269804822043628
M2323,M124815,0.43681025275898894
M2323,M1927,0.950606394707828
M28224,M96728,0.050477796514896006
M1922,M124836,0.3749234225035736
M28228,M28238,0.04933014850971025
M28248,M93624,0.3983719474013776
M4262,M96730,0.5721457072982365
M28224,M190799,0.3484665539724704
M96739,M28226,0.14596273291925466
M28229,M124848,0.10665866826634672
M96851,M28248,0.9657399606852008
M124822,M1854,0.9064765587240212
M96728,M124848,0.9845612441820863
M124840,M1037,0.5100055586436909
M28240,M96842,0.6149909692956049
M4289,M28225,0.9666063166364915
M188945,M124826,0.4278793217353006
M1849,M124848,0.5822222222222222
M1927,M124848,0.1165749235474006
M1854,M28248,0.38257308289789577
M96736,M96646,0.7371512481644641
M28223,M103381,0.0908487329866106
M96764,M34728,0.449460647223332
M4262,M28220,0.4864645056349483
M96852,M96831,0.3956160885294743
M4262,M96767,0.4670275590551181
M120478,M124888,0.41665603877056495
M124806,M1927,0.9444514581492236
M124840,M96840,0.9696969696969696
M96730,M124826,0.5754329990884229
M96840,M1852,0.4226277372262774
M1913,M193273,0.5837046467218332
M1263,M28220,0.912639405204461
M96837,M124836,0.9116833368801872
M124809,M124808,0.9742737699646264
M4282,M185619,0.4068150208623088
M124818,M96736,0.9341661039837948
M1038,M124818,0.11424619640387275
M124832,M124858,0.171875
M124829,M1917,0.33787280403105
M124806,M124848,0.07987987987987988
M1909,M120478,0.3998896856039713
M186884,M96780,0.35444630872483224
M124816,M96932,0.6024340770791075
