Id,name,country,group
M28244,Wolf KLINZ,Germany,ALDE
M124822,Dietmar KÖSTER,Germany,S&D
M96764,Hermann WINKLER,Germany,PPE
M1849,Sylvia-Yvonne KAUFMANN,Germany,S&D
M124839,Arne LIETZ,Germany,S&D
M28228,Albert DESS,Germany,PPE
M96839,Kerstin WESTPHAL,Germany,S&D
M4267,Udo BULLMANN,Germany,S&D
M4289,Angelika NIEBLER,Germany,PPE
M4262,Jo LEINEN,Germany,S&D
M96870,Gesine MEISSNER,Germany,ALDE
M96761,Axel VOSS,Germany,PPE
M188945,Dennis RADTKE,Germany,PPE
M190518,Jörg MEUTHEN,Germany,EFDD
M124837,Joachim SCHUSTER,Germany,S&D
M1928,Werner LANGEN,Germany,PPE
M28224,Markus PIEPER,Germany,PPE
M4282,Renate SOMMER,Germany,PPE
M1922,Thomas MANN,Germany,PPE
M124827,Joachim STARBATTY,Germany,ECR
M124809,Sven SCHULZE,Germany,PPE
M124840,Jakob von WEIZSÄCKER,Germany,S&D
M190517,Martin SCHIRDEWAN,Germany,GUE/NGL
M190799,Michael DETJEN,Germany,S&D
M96837,Petra KAMMEREVERT,Germany,S&D
M96730,Sven GIEGOLD,Germany,Verts/ALE
M2323,Rainer WIELAND,Germany,PPE
M96762,Joachim ZELLER,Germany,PPE
M124806,David McALLISTER,Germany,PPE
M1909,Bernd LANGE,Germany,S&D
M124816,Julia REDA,Germany,Verts/ALE
M28225,Herbert REUL,Germany,PPE
M28240,Helga TRÜPEL,Germany,Verts/ALE
M1055,Godelieve QUISTHOUDT-ROWOHL,Germany,PPE
M96756,Sabine VERHEYEN,Germany,PPE
M34728,Matthias GROOTE,Germany,S&D
M1038,Karl-Heinz FLORENZ,Germany,PPE
M124836,Maria NOICHL,Germany,S&D
M1854,Constanze KREHL,Germany,S&D
M96851,Thomas HÄNDEL,Germany,GUE/NGL
M124863,Stefan ECK,Germany,GUE/NGL
M124818,Klaus BUCHNER,Germany,Verts/ALE
M96767,Werner KUHN,Germany,PPE
M124841,Iris HOFFMANN,Germany,S&D
M185619,Tiemo WÖLKEN,Germany,S&D
M96872,Nadja HIRSCH,Germany,ALDE
M96752,Martin HÄUSLING,Germany,Verts/ALE
M28248,Gabriele ZIMMER,Germany,GUE/NGL
M96739,Reinhard BÜTIKOFER,Germany,Verts/ALE
M28223,Andreas SCHWAB,Germany,PPE
M124826,Martina WERNER,Germany,S&D
M124808,Norbert LINS,Germany,PPE
M96852,Cornelia ERNST,Germany,GUE/NGL
M124820,Bernd LUCKE,Germany,ECR
M124824,Bernd KÖLMEL,Germany,ECR
M120478,Martina MICHELS,Germany,GUE/NGL
M96833,Jens GEIER,Germany,S&D
M96844,Norbert NEUSER,Germany,S&D
M28219,Daniel CASPARY,Germany,PPE
M96840,Knut FLECKENSTEIN,Germany,S&D
M124830,Marcus PRETZELL,Germany,ENF
M1913,Evelyne GEBHARDT,Germany,S&D
M96997,Burkhard BALZ,Germany,PPE
M2341,Michael GAHLER,Germany,PPE
M124832,Udo VOIGT,Germany,NI
M96854,Sabine LÖSING,Germany,GUE/NGL
M96736,Jan Philipp ALBRECHT,Germany,Verts/ALE
M1852,Dieter-Lebrecht KOCH,Germany,PPE
M96836,Peter SIMON,Germany,S&D
M124829,Ulrike TREBESIUS,Germany,ECR
M124888,Gabriele PREUSS,Germany,S&D
M124862,Ulrike MÜLLER,Germany,ALDE
M124838,Susanne MELIOR,Germany,S&D
M93624,Ulrike RODUST,Germany,S&D
M124815,Arne GERICKE,Germany,ECR
M193273,Romeo FRANZ,Germany,Verts/ALE
M124858,Fabio DE MASI,Germany,GUE/NGL
M28242,Alexander Graf LAMBSDORFF,Germany,ALDE
M124823,Hans-Olaf HENKEL,Germany,ECR
M1263,Elmar BROK,Germany,PPE
M96728,Barbara LOCHBIHLER,Germany,Verts/ALE
M1037,Reimer BÖGE,Germany,PPE
M28220,Ingeborg GRÄSSLE,Germany,PPE
M96734,Ska KELLER,Germany,Verts/ALE
M124834,Martin SONNEBORN,Germany,NI
M96871,Michael THEURER,Germany,ALDE
M28226,Christian EHLER,Germany,PPE
M1927,Peter LIESE,Germany,PPE
M1917,Markus FERBER,Germany,PPE
M186884,Arndt KOHN,Germany,S&D
M194391,Stefan GEHROLD,Germany,PPE
M28233,Rebecca HARMS,Germany,Verts/ALE
M124825,Beatrix von STORCH,Germany,EFDD
M28229,Manfred WEBER,Germany,PPE
M96772,Peter JAHR,Germany,PPE
M96646,Helmut SCHOLZ,Germany,GUE/NGL
M96831,Jutta STEINRUCK,Germany,S&D
M96780,Monika HOHLMEIER,Germany,PPE
M103381,Terry REINTKE,Germany,Verts/ALE
M96932,Birgit SIPPEL,Germany,S&D
M124848,Maria HEUBUCH,Germany,Verts/ALE
M112788,Birgit COLLIN-LANGEN,Germany,PPE
M96842,Ismail ERTUG,Germany,S&D
M28238,Michael CRAMER,Germany,Verts/ALE
M124807,Jens GIESEKE,Germany,PPE
