Source,Target,Weight
M130833,M125113,0.3827595554350773
M125092,M125113,0.4056664520283321
M130833,M125093,0.3278562259306804
M125072,M125070,0.9896416869252722
M125067,M125064,0.9625090122566692
M125068,M125110,0.5349993096783101
M125063,M125110,0.5308641975308642
M125113,M125110,0.9143977849561606
M125067,M125109,0.5687717146944615
M125092,M125064,0.04733727810650888
M125067,M125065,0.9812458137977228
M125068,M125113,0.5490514905149051
M125069,M125110,0.08668852459016392
M125091,M125113,0.3677076411960133
M125067,M125110,0.5304158343925912
M125069,M125092,0.5277449822904369
M125065,M125061,0.03947368421052632
M125072,M125071,0.9775280898876404
M125091,M125061,0.9307398932112892
M125112,M125109,0.9347288610515906
M125069,M125070,0.14975142476051898
M125112,M28586,0.4158677685950413
M125090,M125091,0.3636363636363637
M26851,M125069,0.5761712690040335
M125090,M125070,0.3103159656831973
M125061,M125110,0.4659828028360236
M125092,M125067,0.05137963843958135
M26851,M125092,0.9174183203046704
M125109,M125061,0.42123226154122506
M125092,M125109,0.4125347084490282
M28586,M125110,0.4450800915331808
M26851,M125113,0.2649432362193954
M125092,M125065,0.06082498252155675
M26851,M125090,0.5094850948509485
M125090,M125072,0.3081276884763414
M125109,M125110,0.9308954794126116
M125112,M26851,0.2795231190591268
M26851,M28586,0.9196457855034438
M130833,M125091,0.9567087155963304
M125069,M125071,0.15599262446220036
M125064,M125061,0.02505782575173477
M125112,M125069,0.0669710806697108
M125109,M125091,0.3754055807916937
M125069,M125072,0.15010460251046026
M125109,M125065,0.5859728506787331
M125069,M125093,0.5136221527467619
M26851,M125109,0.2712834718374885
M125112,M125092,0.4229613303947105
M125063,M125064,0.9579816169574188
M125065,M125113,0.5853174603174603
M125113,M125061,0.43719912472647693
M125067,M125068,0.96281951975213
M125067,M125113,0.5644962061055232
M125065,M125063,0.9740487462738908
M125109,M125064,0.5602196939976462
M26851,M125061,0.8541553009638116
M125091,M125093,0.3707865168539326
M26851,M125071,0.02310671831174035
M125092,M125061,0.9574150168098616
M125067,M125061,0.03357472021066491
M125112,M125063,0.5525247605130703
M125067,M125063,0.9692610837438425
M125092,M130833,0.9685631300187938
M125068,M125065,0.9570998049991136
M125112,M125065,0.5698406817339755
M125092,M125063,0.029283959947099945
M125090,M125071,0.3159773252152005
M125092,M125090,0.3269973269973269
M125092,M125068,0.05888868377330625
M125092,M28586,0.9765056254136334
M125091,M125110,0.41119483315392896
M130833,M125090,0.3193877551020408
M125065,M125064,0.9575707154742096
M125109,M28586,0.400098344533683
M125112,M125068,0.5458044649730562
M125063,M125061,0.029511533242876524
M130833,M125110,0.4269072311407871
M26851,M125070,0.0186236956808876
M125093,M125061,0.23487070114636094
M125092,M125110,0.4547912793645428
M26851,M125093,0.5066902297399647
M125090,M125061,0.2199495657046792
M125112,M125113,0.9575989782886336
M125069,M125091,0.5418774592467679
M26851,M130833,0.9177516671959352
M125113,M125063,0.5620335164061401
M125070,M125093,0.3192747339377217
M125113,M125064,0.539151225343694
M125090,M125093,0.9990813045475424
M125112,M125067,0.5514837681736706
M125109,M125113,0.9526315789473684
M130833,M28586,0.9749573136027321
M130833,M125061,0.9449400184558596
M125112,M125061,0.4462171899125064
M125064,M125110,0.5315721649484536
M125112,M125110,0.9217714134181916
M125069,M125113,0.054513184584178496
M125068,M125063,0.9579768872880084
M28586,M125113,0.3983520194515737
M28586,M125093,0.34471337579617833
M28586,M125090,0.3417201540436457
M125068,M28586,0.01315993187799969
M125069,M125061,0.5069650962591955
M125068,M125109,0.559405131557444
M125068,M125061,0.0611965811965812
M125092,M125091,0.9611950549450551
M125112,M125091,0.3809017762258995
M125069,M125090,0.5326599326599326
M26851,M125091,0.9320175438596492
M125112,M130833,0.40032786885245897
M26851,M125110,0.316325025807403
M28586,M125061,0.9473192019950124
M125065,M125110,0.5546531302876481
M125069,M125109,0.07914110429447853
M125072,M125093,0.3172486772486772
M125068,M125064,0.9406053683609366
M125112,M125064,0.5318631706893558
M125069,M130833,0.5192169281704333
M125092,M125093,0.3235382308845577
M130833,M125109,0.3866621758167733
M125069,M28586,0.5339115597895635
M26851,M125072,0.018336886993603408
M125070,M125071,0.9839486356340288
M125109,M125063,0.5620936280884266
M125093,M125071,0.3292730844793713
M28586,M125091,0.9600574712643678
