Source,Target,Type,Id,Label,timeset,Weight
M96829,M102886,Undirected,2779,,,0.969618
M96829,M124714,Undirected,2895,,,0.981645
M23821,M124703,Undirected,6619,,,0.464909
M124705,M102886,Undirected,11081,,,0.52092
M96826,M124711,Undirected,11883,,,0.970717
M124703,M96661,Undirected,17915,,,0.081337
M39726,M28135,Undirected,18644,,,0.964151
M39726,M124721,Undirected,21157,,,0.038518
M124705,M124721,Undirected,22373,,,0.512534
M23816,M28150,Undirected,22605,,,0.982259
M23821,M124715,Undirected,24286,,,0.967726
M28141,M23816,Undirected,24879,,,0.950734
M23821,M124705,Undirected,25409,,,0.523051
M23816,M124712,Undirected,25481,,,0.988988
M23821,M124714,Undirected,26605,,,0.979343
M23821,M96826,Undirected,28493,,,0.969477
M124712,M124714,Undirected,28600,,,0.987005
M28135,M23816,Undirected,30925,,,0.976321
M124722,M124712,Undirected,31900,,,0.438855
M96829,M124703,Undirected,32190,,,0.402849
M96829,M28150,Undirected,35859,,,0.980836
M124703,M102886,Undirected,37243,,,0.4897
M96829,M124715,Undirected,41366,,,0.959504
M28135,M96826,Undirected,42069,,,0.968858
M28141,M124714,Undirected,42203,,,0.94607
M124703,M124712,Undirected,42355,,,0.421581
M28141,M124715,Undirected,42894,,,0.930808
M23816,M124711,Undirected,44485,,,0.988085
M124705,M96829,Undirected,48668,,,0.467472
M124722,M124723,Undirected,52296,,,0.94597
M39726,M23816,Undirected,52547,,,0.97092
M28150,M124714,Undirected,52818,,,0.981766
M124703,M23816,Undirected,53616,,,0.423564
M124720,M96661,Undirected,57339,,,0.283004
M39726,M124703,Undirected,59281,,,0.416253
M124720,M124721,Undirected,59571,,,0.984277
M124705,M124711,Undirected,59839,,,0.476127
M124721,M96877,Undirected,60968,,,0.18176
M102887,M124703,Undirected,60971,,,0.075965
M28135,M124720,Undirected,61269,,,0.021262
M102887,M96877,Undirected,61397,,,0.978464
M23821,M102886,Undirected,61832,,,0.980417
M28135,M124722,Undirected,64610,,,0.454135
M96877,M124711,Undirected,65807,,,0.011687
M96826,M124715,Undirected,65857,,,0.966817
M23816,M96826,Undirected,66568,,,0.982119
M124705,M124723,Undirected,66781,,,0.943365
M102886,M124711,Undirected,67145,,,0.978142
M124712,M124715,Undirected,67523,,,0.967098
M124703,M28150,Undirected,70050,,,0.419732
M39726,M102886,Undirected,70125,,,0.960719
M28135,M124703,Undirected,72357,,,0.445795
M124722,M124711,Undirected,73585,,,0.447171
M124721,M102886,Undirected,73597,,,0.081292
M124721,M124703,Undirected,74801,,,0.55434
M124721,M96661,Undirected,75472,,,0.275821
M28141,M96829,Undirected,75529,,,0.945528
M124720,M28150,Undirected,76578,,,0.030534
M39726,M23821,Undirected,77179,,,0.969705
M28141,M124711,Undirected,78980,,,0.947182
M102887,M96661,Undirected,79124,,,0.901305
M124705,M28150,Undirected,81978,,,0.488882
M124721,M124712,Undirected,84542,,,0.024016
M124703,M124722,Undirected,87298,,,0.906345
M28150,M124711,Undirected,88954,,,0.984196
M124705,M124715,Undirected,89629,,,0.482238
M96877,M124723,Undirected,89814,,,0.050249
M39726,M124720,Undirected,89999,,,0.019886
M23816,M124715,Undirected,90176,,,0.968054
M39726,M124712,Undirected,90930,,,0.970755
M102887,M124723,Undirected,91516,,,0.034981
M124703,M124711,Undirected,91995,,,0.41573
M124715,M102886,Undirected,92394,,,0.966052
M39726,M124715,Undirected,92681,,,0.952052
M39726,M28141,Undirected,94181,,,0.931562
M39726,M96829,Undirected,95943,,,0.963763
M124720,M124722,Undirected,96274,,,0.545261
M124721,M124711,Undirected,96305,,,0.025913
M124722,M102886,Undirected,96311,,,0.517832
M124705,M96877,Undirected,96549,,,0.035841
M124721,M124715,Undirected,96914,,,0.03069
M23821,M124720,Undirected,97045,,,0.037895
M23821,M96829,Undirected,98978,,,0.973761
M23821,M124722,Undirected,100298,,,0.483265
M124722,M96877,Undirected,100537,,,0.052735
M124703,M124723,Undirected,103236,,,0.908208
M23816,M96877,Undirected,104354,,,0.015058
M23821,M124712,Undirected,104464,,,0.979466
M28150,M102886,Undirected,104554,,,0.969829
M124722,M96826,Undirected,105243,,,0.420155
M28141,M96826,Undirected,107696,,,0.937208
M96829,M124712,Undirected,109392,,,0.981533
M124703,M124714,Undirected,110337,,,0.405601
M124720,M96877,Undirected,110666,,,0.195474
M124705,M124703,Undirected,111161,,,0.906348
M124721,M96826,Undirected,111740,,,0.02034
M124711,M124714,Undirected,111983,,,0.986008
M124712,M124711,Undirected,115160,,,0.989407
M28141,M124722,Undirected,115231,,,0.381569
M96826,M28150,Undirected,116884,,,0.972019
M23821,M23816,Undirected,118474,,,0.976211
M96877,M96826,Undirected,119367,,,0.034574
M124705,M124714,Undirected,119437,,,0.47689
M124720,M124715,Undirected,119446,,,0.0336
M124723,M124711,Undirected,121272,,,0.439022
M124705,M124720,Undirected,123598,,,0.499505
M96829,M96826,Undirected,123901,,,0.972512
M28135,M124723,Undirected,125842,,,0.44716
M124720,M124703,Undirected,127218,,,0.556392
M39726,M124705,Undirected,130764,,,0.472736
M124705,M102887,Undirected,133735,,,0.041037
M28135,M124712,Undirected,133882,,,0.979325
M124720,M124712,Undirected,134082,,,0.020433
M124720,M102887,Undirected,134106,,,0.178543
M28141,M96877,Undirected,135243,,,0.03728
M23821,M124711,Undirected,137996,,,0.979348
M96829,M124723,Undirected,138419,,,0.422745
M124720,M96826,Undirected,138485,,,0.010158
M96877,M96661,Undirected,139732,,,0.901221
M124721,M124714,Undirected,140638,,,0.011152
M96829,M124711,Undirected,140922,,,0.983089
M28135,M124705,Undirected,142869,,,0.476096
M124723,M96826,Undirected,142917,,,0.4
M124723,M28150,Undirected,143206,,,0.445334
M124720,M23816,Undirected,143653,,,0.031965
M124723,M96661,Undirected,144318,,,0.050505
M28150,M124715,Undirected,144720,,,0.961648
M124703,M96877,Undirected,144757,,,0.081469
M28135,M124721,Undirected,145684,,,0.045271
M102887,M124722,Undirected,146438,,,0.046343
M124705,M124722,Undirected,147024,,,0.922177
M28135,M102886,Undirected,148815,,,0.96809
M28141,M124723,Undirected,150443,,,0.366512
M96829,M96877,Undirected,151739,,,0.016533
M28135,M124715,Undirected,151823,,,0.960724
M124723,M124712,Undirected,155678,,,0.433215
M28135,M96829,Undirected,156080,,,0.971384
M124705,M124712,Undirected,157513,,,0.477392
M28141,M124703,Undirected,157804,,,0.370026
M124720,M102886,Undirected,157863,,,0.069325
M124721,M23816,Undirected,161511,,,0.031862
M28135,M28141,Undirected,161926,,,0.947595
M124722,M124714,Undirected,163358,,,0.427044
M124720,M124723,Undirected,163449,,,0.548284
M39726,M124723,Undirected,165476,,,0.41774
M102886,M124714,Undirected,169092,,,0.976058
M96877,M28150,Undirected,170483,,,0.034715
M124703,M124715,Undirected,171296,,,0.414416
M96826,M124714,Undirected,172642,,,0.985781
M23821,M124721,Undirected,175130,,,0.045314
M39726,M96826,Undirected,180007,,,0.961719
