Id,Label,timeset,modularity_class,name,country,group
M28116,Marian HARKIN,,2,Marian HARKIN,Ireland,ALDE
M124985,Luke Ming FLANAGAN,,1,Luke Ming FLANAGAN,Ireland,GUE/NGL
M124988,Deirdre CLUNE,,2,Deirdre CLUNE,Ireland,PPE
M96668,Seán KELLY,,2,Seán KELLY,Ireland,PPE
M124986,Matt CARTHY,,1,Matt CARTHY,Ireland,GUE/NGL
M118658,Brian HAYES,,2,Brian HAYES,Ireland,PPE
M124987,Liadh NÍ RIADA,,1,Liadh NÍ RIADA,Ireland,GUE/NGL
M28115,Mairead McGUINNESS,,2,Mairead McGUINNESS,Ireland,PPE
M124984,Lynn BOYLAN,,1,Lynn BOYLAN,Ireland,GUE/NGL
M96603,Nessa CHILDERS,,1,Nessa CHILDERS,Ireland,S&D
