Source,Target,Weight
M124851,M124772,0.4765892204269371
M96813,M124846,0.5063756213529285
M124864,M4436,0.9589150378938972
M124794,M124801,0.1628860694604639
M28340,M124812,0.3714355053998301
M124817,M96880,0.8995651564034226
M96816,M124804,0.3124494278118137
M124780,M124797,0.4601858470335954
M96996,M124796,0.1776536312849162
M28451,M124854,0.9427074807660828
M124814,M124846,0.9306552619520392
M124859,M124864,0.3101430429128739
M124821,M124778,0.33243215139856497
M124800,M28365,0.9410281705579304
M124812,M124869,0.1959087332808812
M96787,M96915,0.1882526938516797
M124856,M124859,0.9759923175416132
M96775,M28340,0.5199763243563185
M96816,M124772,0.8985029180411063
M192634,M124803,0.942694889003614
M192634,M96775,0.4983498349834983
M96816,M28429,0.9064483795522886
M97198,M96993,0.978172401035886
M124864,M124797,0.4420442571127503
M192635,M4465,0.3290766208251473
M96775,M124853,0.9602007267693372
M124868,M124779,0.3185232539555697
M124856,M96915,0.5527979395926013
M124849,M124801,0.9398685498531674
M124817,M124812,0.3774128493229617
M28451,M124794,0.5195822454308094
M133326,M58758,0.7967960744696204
M58758,M124801,0.4600635219385954
M124797,M124801,0.4294285714285713
M124860,M124812,0.2358554873892297
M125192,M125193,0.968259385665529
M96996,M124853,0.2727272727272727
M124835,M124804,0.5083639814924665
M124810,M124817,0.4067371937639198
M131051,M124846,0.9217018762003252
M124859,M28340,0.34450261780104713
M124861,M28365,0.9313809320222316
M96891,M125670,0.4888529082077469
M2187,M124854,0.9468302658486708
M96891,M124791,0.9125258170331672
M28346,M28365,0.924269264836138
M124867,M96787,0.4843626286619161
M124867,M124814,0.9403524627202892
M192635,M124856,0.19970304380103931
M124788,M96787,0.5440233236151604
M124833,M124842,0.983951367781155
M124794,M97198,0.15458136867592712
M124821,M124797,0.4306660039761431
M124851,M96917,0.9122920717217542
M96915,M124842,0.5327494757616874
M124814,M124801,0.9501678285566744
M133326,M124797,0.010483722641162405
M28451,M124868,0.5698324022346368
M124814,M124778,0.33987403100775193
M124797,M124804,0.6451738960531458
M124788,M124868,0.9486723038124908
M124788,M2187,0.6029673590504451
M124800,M124810,0.3601864181091877
M28451,M124864,0.5112832603570225
M124868,M28346,0.9629905984181464
M124831,M124779,0.997533908754624
M96996,M124859,0.2310405643738977
M58758,M124817,0.4358356750970159
M4436,M124778,0.2932742989668986
M124801,M124847,0.9380812842400306
M124794,M124814,0.14906074652354231
M96787,M28365,0.4619789050728277
M4436,M96915,0.7471657754010695
M96917,M96915,0.6513437057991514
M28429,M125670,0.9108943089430894
M124833,M124846,0.3821917808219178
M124821,M28429,0.54451085246933
M125192,M183793,0.07360861759425494
M96864,M124861,0.9711515724757626
M96892,M125193,0.3204162976085031
M124814,M124812,0.3342650235040021
M124835,M124869,0.19746233148295006
M124864,M124853,0.5430025445292621
M124859,M124846,0.3095788986580287
M124868,M125237,0.3206402695871946
M125237,M124803,0.3601233072773313
M96917,M124813,0.3410389940302299
M124835,M124814,0.3439917483238783
M125193,M124813,0.6366298416078797
M96787,M124847,0.4845058626465661
M124797,M124779,0.8096952552398097
M124777,M124813,0.9899509803921568
M96891,M124777,0.35493037794828075
M96891,M124778,0.3352280067174784
M124856,M97198,0.2479059882485311
M124810,M124803,0.3515899287792156
M96891,M124856,0.35081016993808456
M124778,M124846,0.3543902070424664
M96891,M124817,0.9231828615149196
M72754,M96864,0.15527950310559005
M124819,M28346,0.9112056360494484
M96892,M96775,0.5296356715606307
M124819,M96813,0.454828660436137
M2187,M96775,0.969964664310954
M124819,M28429,0.4857142857142857
M124814,M124831,0.3470610258330213
M124817,M125670,0.4469426926240746
M124800,M124794,0.15815370196813494
M133326,M2187,0.8673153471915082
M124800,M36392,0.5294117647058824
M124849,M125237,0.3466367120391172
M96813,M4465,0.4973779749899153
M96915,M124853,0.3094972067039106
M72754,M124800,0.16568047337278108
M97198,M124810,0.04054702495201536
M124797,M96915,0.623759608665269
M125192,M124864,0.3532012444735549
M133326,M124794,0.5305385460825875
M192635,M124831,0.17722772277227722
M124819,M124821,0.9234185571960148
M124860,M124828,0.4947089947089947
M28451,M96813,0.9273339749759384
M124851,M124813,0.3664195168619948
M124788,M96813,0.5353047676523838
M124864,M4465,0.1478537360890302
M124849,M124854,0.4903172151597957
M124819,M124811,0.3920531802387068
M28346,M125193,0.2751418568151636
M124810,M28404,0.11908045977011494
M96891,M124814,0.9330565646081992
M124859,M96917,0.3149955634427684
M124777,M124847,0.3593127490039841
M124797,M124817,0.4397905759162304
M133326,M192635,0.15388574369531652
M124828,M124817,0.4644194756554307
M96864,M124779,0.3440702781844802
M96775,M4436,0.5394518272425249
M124854,M124787,0.4426696510326585
M96996,M36392,0.04408352668213457
M36392,M2187,0.9530067702110712
M96813,M28429,0.9147573293914756
M124867,M124854,0.4780498100464331
M124828,M28429,0.8481692979509573
M131051,M124778,0.3255164712451145
M96891,M28340,0.9256080114449212
M124819,M124810,0.3930102637391191
M125192,M124804,0.5378275918905555
M124835,M124867,0.3671758355346273
M96892,M124847,0.9360662701784196
M124814,M124796,0.3534864973800887
M124864,M124814,0.9357945425361156
M124864,M124847,0.9279414927941492
M96813,M124814,0.4945643084127781
M58758,M28340,0.4352072932494031
M124778,M28404,0.28187297171998144
M21817,M124797,0.05725940474391902
M124846,M124812,0.35053492762743865
M72754,M96892,0.14883563955450554
M124788,M28340,0.9218276310090948
M124819,M124842,0.37660852158993424
M124849,M96787,0.4879764065335753
M124803,M124779,0.3524165110972827
M96813,M124861,0.5085678352460306
M28365,M124847,0.9163987138263664
M124788,M124810,0.2895311362927539
M2187,M124861,0.5478881618084473
M124859,M124778,0.9764085053546484
M183793,M124812,0.2440668033987694
M124797,M124831,0.818130471618187
M124811,M124813,0.9862961553102398
M96892,M124779,0.3476923076923077
M192635,M124835,0.1956954962136309
M124814,M124847,0.9214552463558608
M28404,M124813,0.2724587743047009
M124788,M124864,0.9086098107062894
M124796,M124778,0.9709348895754664
M192634,M28451,0.4621256605989431
M131051,M124803,0.933481152993348
M192635,M36392,0.05547652916073969
M124849,M124835,0.33464463676894834
M124849,M124859,0.2846051884112857
M28340,M28429,0.5123770769752458
M96915,M124846,0.6406466512702078
M124821,M124847,0.9331458919087784
M124833,M124787,0.3906645205794436
M124814,M96880,0.8868906767628963
M28404,M4465,0.062257968424188265
M96993,M124831,0.2464774351643864
M124801,M124831,0.3463469046291132
M96892,M124804,0.8026206322795341
M124833,M124811,0.990040858018386
M124842,M124787,0.3644614543466375
M4436,M124812,0.29269328802039085
M124778,M125193,0.6315666041275797
M124814,M124787,0.9121643656919229
M124819,M124780,0.09727039662192732
M96787,M96880,0.4598117306299783
M96892,M124797,0.4410403901463049
M124867,M124777,0.38018568574450573
M192635,M183793,0.9869203329369798
M125192,M21817,0.0937019969278034
M124859,M124804,0.4685859441151566
M124856,M124817,0.3942972350230415
M124796,M124847,0.3636135508155584
M124846,M124803,0.9437685861043524
M124788,M124794,0.2143641555018669
M96816,M124864,0.4938667256050393
M124813,M124779,0.9942581534221404
M124849,M124787,0.9092328278322926
M96891,M28429,0.5754789272030651
M72754,M124787,0.07163507870221651
M96996,M124812,0.2036234738085861
M125192,M124846,0.3706169551708833
M4436,M28340,0.9449926516901112
M36392,M124787,0.4805660039405338
M96892,M124803,0.9538256058004198
M124801,M124803,0.9682575416479065
M124864,M124803,0.9496644295302014
M96892,M124817,0.9466284821661026
M124800,M96816,0.5063654088771649
M124800,M4465,0.1334013704621665
M96891,M124794,0.1836577868852459
M124869,M4465,0.033881897386253634
M58758,M28365,0.4020682523267839
M124814,M124854,0.4937942234079573
M124797,M96917,0.4383749656876201
M96787,M28346,0.5249605885444035
M124859,M124842,0.9740086637787404
M124859,M124831,0.9809463321689426
M124804,M125670,0.2516861149769832
M96787,M2187,0.927703875072296
M58758,M96917,0.454227277698786
M124859,M124803,0.3104870696493733
M124849,M58758,0.4444444444444444
M124849,M96891,0.9354926141753626
M124860,M28346,0.9352861035422344
M21817,M124833,0.23644128113879004
M96891,M28346,0.9555387141594038
M124831,M124842,0.9865108996748164
M96880,M124813,0.37362495146887537
M192634,M124859,0.4512820512820513
M124851,M124803,0.9268780348471866
M124788,M124804,0.7410901467505241
M124835,M124811,0.9862624348649928
M124842,M124869,0.20332640332640334
M96816,M124853,0.934100418410042
M124864,M124804,0.8035714285714286
M96892,M36392,0.5305676855895196
M124796,M124803,0.36680421824850973
M96880,M124854,0.4504771306350773
M124817,M124846,0.9347743648084944
M124856,M124846,0.37623456790123455
M124844,M124831,0.9930547776408648
M124821,M96917,0.9297948826390358
M131051,M96891,0.9274325172630258
M124817,M125193,0.3667364642536644
M124777,M124811,0.9877315666789352
M124780,M96993,0.4639048400328138
M124860,M124817,0.9253879168042258
M28451,M4465,0.452438796486638
M28451,M124804,0.34614076844610675
M96917,M124811,0.3523442517662171
M192635,M125670,0.021428571428571432
M124777,M124810,0.6630730956047861
M28340,M124801,0.9463087248322148
M96775,M4465,0.46132946929904
M124780,M96915,0.19213352309483764
M125193,M124787,0.3655614973262032
M124844,M124813,0.9897084048027444
M96864,M124812,0.32942824398319115
M28451,M125670,0.9681093394077448
M28340,M125670,0.4340701638623117
M183793,M124778,0.27572238725357817
M28365,M124779,0.3680767553423463
M124777,M124842,0.9827606565119849
M124861,M124847,0.9470477456519332
M21817,M124778,0.25381557009106065
M36392,M124804,0.3515371395837311
M124864,M124854,0.4768508640921698
M192635,M124813,0.18694638694638693
M96915,M124801,0.6852382192137464
M133326,M96775,0.8194847956614372
M124835,M28404,0.25832091405861896
M131051,M125192,0.3083832335329341
M28451,M28346,0.548197965166408
M124860,M124868,0.9246928260007928
M96892,M124811,0.3488978430907798
M131051,M4465,0.17742410845859122
M124819,M125193,0.34992353677186155
M124833,M124796,0.9866750471401634
M192634,M124847,0.9138649624895804
M124788,M124817,0.9172991363517404
M96864,M124868,0.9724864130434784
M124780,M183793,0.8892097663428722
M124849,M124812,0.3161440787768852
M124867,M124853,0.5251489080079418
M58758,M2187,0.9688581314878892
M124859,M124868,0.2827461607949413
M124844,M96915,0.5534069981583793
M125192,M124800,0.3378356648978936
M96880,M4465,0.09250585480093676
M96891,M124787,0.899074074074074
M58758,M4436,0.5190627482128674
M96787,M4465,0.4482191780821918
M96996,M97198,0.9770642201834864
M96891,M96864,0.956343792633015
M124797,M28346,0.4003873824017709
M124864,M124812,0.3419193070435377
M58758,M124861,0.44087376601554296
M124788,M124812,0.2864061268160829
M133326,M124861,0.40413070283600494
M124844,M124796,0.9735054347826086
M2187,M124864,0.5361127422196125
M124812,M124787,0.3680908599242834
M28346,M28340,0.9312096029547552
M124828,M124814,0.4763870967741936
M124856,M28346,0.3381665107577175
M124780,M124861,0.06737320211960636
