Id,name,country,group
M72754,Innocenzo LEONTINI,Italy,ECR
M131051,Damiano ZOFFOLI,Italy,S&D
M124788,Luigi MORGANO,Italy,S&D
M124849,Massimo PAOLUCCI,Italy,S&D
M96891,Paolo DE CASTRO,Italy,S&D
M192634,Giuseppe FERRANDINO,Italy,S&D
M125192,Curzio MALTESE,Italy,GUE/NGL
M28451,Lorenzo CESA,Italy,PPE
M133326,Stefano MAULLU,Italy,ECR
M192635,Danilo Oscar LANCINI,Italy,ENF
M124851,Nicola CAPUTO,Italy,S&D
M96892,Roberto GUALTIERI,Italy,S&D
M124800,Flavio ZANONATO,Italy,S&D
M124835,Rosa D'AMATO,Italy,EFDD
M124791,Daniele VIOTTI,Italy,S&D
M124860,Renato SORU,Italy,S&D
M124867,Brando BENIFEI,Italy,S&D
M96864,David Maria SASSOLI,Italy,S&D
M124819,Goffredo Maria BETTINI,Italy,S&D
M124794,Remo SERNAGIOTTO,Italy,ECR
M96787,Herbert DORFMANN,Italy,PPE
M96996,Giancarlo SCOTTÀ,Italy,ENF
M124856,Ignazio CORRAO,Italy,EFDD
M58758,Elisabetta GARDINI,Italy,ECR
M97198,Mara BIZZOTTO,Italy,ENF
M96816,Giovanni LA VIA,Italy,PPE
M124780,Marco ZANNI,Italy,ENF
M21817,Mario BORGHEZIO,Italy,ENF
M124828,Fulvio MARTUSCIELLO,Italy,PPE
M124859,Giulia MOI,Italy,EFDD
M124868,Alessia Maria MOSCA,Italy,S&D
M36392,Aldo PATRICIELLO,Italy,PPE
M2187,Antonio TAJANI,Italy,PPE
M124833,Laura FERRARA,Italy,EFDD
M124864,Michela GIUFFRIDA,Italy,S&D
M124772,Alberto CIRIO,Italy,PPE
M124844,Piernicola PEDICINI,Italy,EFDD
M124777,Tiziana BEGHIN,Italy,EFDD
M124821,Nicola DANTI,Italy,S&D
M124810,Barbara SPINELLI,Italy,GUE/NGL
M96813,Barbara MATERA,Italy,PPE
M124861,Caterina CHINNICI,Italy,S&D
M124797,Marco AFFRONTE,Italy,Verts/ALE
M28346,Mercedes BRESSO,Italy,S&D
M124817,Enrico GASBARRA,Italy,S&D
M96917,Silvia COSTA,Italy,S&D
M124814,Simona BONAFÈ,Italy,S&D
M183793,Angelo CIOCCA,Italy,ENF
M96775,Lara COMI,Italy,PPE
M124811,Laura AGEA,Italy,EFDD
M4436,Gianni PITTELLA,Italy,S&D
M124796,David BORRELLI,Italy,ALDE
M124778,Marco VALLI,Italy,EFDD
M96915,Sergio Gaetano COFFERATI,Italy,S&D
M28340,Patrizia TOIA,Italy,S&D
M28365,Pier Antonio PANZERI,Italy,S&D
M96993,Lorenzo FONTANA,Italy,ENF
M125193,Eleonora FORENZA,Italy,GUE/NGL
M28404,Matteo SALVINI,Italy,ENF
M28429,Alessandra MUSSOLINI,Italy,PPE
M125237,Marco ZULLO,Italy,EFDD
M124846,Pina PICIERNO,Italy,S&D
M96880,Andrea COZZOLINO,Italy,S&D
M124804,Elly SCHLEIN,Italy,S&D
M125670,Massimiliano SALINI,Italy,PPE
M124813,Dario TAMBURRANO,Italy,EFDD
M124801,Cécile Kashetu KYENGE,Italy,S&D
M124831,Isabella ADINOLFI,Italy,EFDD
M124842,Daniela AIUTO,Italy,EFDD
M124853,Salvatore Domenico POGLIESE,Italy,PPE
M124803,Isabella DE MONTE,Italy,S&D
M124812,Fabio Massimo CASTALDO,Italy,EFDD
M124847,Elena GENTILE,Italy,S&D
M124779,Eleonora EVI,Italy,EFDD
M124869,Gianluca BUONANNO,Italy,ENF
M124854,Salvatore CICU,Italy,PPE
M124787,Renata BRIANO,Italy,S&D
M4465,Raffaele FITTO,Italy,ECR
