Id,Label,timeset,modularity_class,name,country,group
M28617,Inese VAIDERE,,2,Inese VAIDERE,Latvia,PPE
M191695,Miroslavs MITROFANOVS,,1,Miroslavs MITROFANOVS,Latvia,Verts/ALE
M96901,Krišjānis KARIŅŠ,,2,Krišjānis KARIŅŠ,Latvia,PPE
M28615,Roberts ZĪLE,,0,Roberts ZĪLE,Latvia,ECR
M96934,Sandra KALNIETE,,2,Sandra KALNIETE,Latvia,PPE
M111033,Kārlis ŠADURSKIS,,2,Kārlis ŠADURSKIS,Latvia,PPE
M124743,Artis PABRIKS,,2,Artis PABRIKS,Latvia,PPE
M124746,Andrejs MAMIKINS,,1,Andrejs MAMIKINS,Latvia,S&D
M28619,Tatjana ŽDANOKA,,1,Tatjana ŽDANOKA,Latvia,Verts/ALE
M124745,Iveta GRIGULE-PĒTERSE,,2,Iveta GRIGULE-PĒTERSE,Latvia,ALDE
