Source,Target,Type,Id,Label,timeset,Weight
M28276,M96680,Undirected,8291,,,0.477168
M124768,M124759,Undirected,9649,,,0.610561
M124768,M125214,Undirected,10275,,,0.266293
M124763,M96680,Undirected,12956,,,0.59349
M96698,M28276,Undirected,13060,,,0.672377
M124766,M124759,Undirected,13744,,,0.662259
M125214,M124759,Undirected,14433,,,0.112233
M96694,M124759,Undirected,15159,,,0.355093
M124768,M96680,Undirected,18413,,,0.583096
M96697,M124759,Undirected,20777,,,0.524571
M96680,M96681,Undirected,32149,,,0.959095
M124766,M96681,Undirected,32314,,,0.641561
M124759,M96681,Undirected,45037,,,0.556716
M96696,M124759,Undirected,50363,,,0.967213
M125214,M96680,Undirected,69750,,,0.56042
M124768,M96694,Undirected,74514,,,0.274038
M96698,M96680,Undirected,78476,,,0.680672
M125214,M124763,Undirected,80250,,,0.194677
M96698,M96697,Undirected,82269,,,0.256955
M125214,M96694,Undirected,92000,,,0.381185
M96694,M124763,Undirected,92136,,,0.274153
M125214,M96696,Undirected,96292,,,0.057262
M96697,M124766,Undirected,98298,,,0.315133
M124768,M28276,Undirected,99177,,,0.659011
M96698,M124768,Undirected,104566,,,0.890464
M124768,M124766,Undirected,104952,,,0.869074
M96697,M96680,Undirected,107070,,,0.160672
M96697,M96694,Undirected,107278,,,0.185371
M124768,M124763,Undirected,113166,,,0.741133
M96697,M96696,Undirected,114524,,,0.512996
M124768,M96696,Undirected,116585,,,0.630713
M96696,M96681,Undirected,118435,,,0.470127
M124763,M96681,Undirected,118504,,,0.556773
M125214,M28276,Undirected,122606,,,0.059226
M96696,M124766,Undirected,123136,,,0.626492
M125214,M96681,Undirected,137073,,,0.553942
M124766,M96680,Undirected,137611,,,0.642181
M96696,M96680,Undirected,140256,,,0.493476
M124763,M28276,Undirected,140895,,,0.89296
M96696,M96694,Undirected,148140,,,0.232515
M124766,M28276,Undirected,151505,,,0.663423
M96698,M96694,Undirected,162654,,,0.256884
M124763,M124759,Undirected,163297,,,0.700631
M125214,M124766,Undirected,163456,,,0.316423
M96698,M96696,Undirected,169837,,,0.621517
M96698,M125214,Undirected,170604,,,0.372031
M96698,M96681,Undirected,174541,,,0.665242
M96694,M96681,Undirected,183490,,,0.366892
M28276,M96681,Undirected,185562,,,0.454199
M96697,M124763,Undirected,186581,,,0.406867
M96697,M96681,Undirected,189247,,,0.155808
M124766,M124763,Undirected,200829,,,0.82916
M96696,M124763,Undirected,201012,,,0.798683
M96694,M96680,Undirected,205285,,,0.384088
M96694,M124766,Undirected,206916,,,0.212557
M96694,M28276,Undirected,209846,,,0.174514
M124768,M96681,Undirected,209958,,,0.577708
M96698,M124763,Undirected,215636,,,0.784907
M96697,M28276,Undirected,229200,,,0.450996
M96697,M124768,Undirected,232919,,,0.35745
M96698,M124759,Undirected,233343,,,0.643411
M96698,M124766,Undirected,235351,,,0.934783
M124759,M96680,Undirected,236432,,,0.563353
M96696,M28276,Undirected,243347,,,0.957087
