Id,Label,timeset,modularity_class,name,country,group
M96696,Algirdas SAUDARGAS,,2,Algirdas SAUDARGAS,Lithuania,PPE
M96680,Zigmantas BALČYTIS,,1,Zigmantas BALČYTIS,Lithuania,S&D
M96698,Viktor USPASKICH,,2,Viktor USPASKICH,Lithuania,ALDE
M96681,Vilija BLINKEVIČIŪTĖ,,1,Vilija BLINKEVIČIŪTĖ,Lithuania,S&D
M124759,Gabrielius LANDSBERGIS,,2,Gabrielius LANDSBERGIS,Lithuania,PPE
M124766,Petras AUŠTREVIČIUS,,2,Petras AUŠTREVIČIUS,Lithuania,ALDE
M124763,Antanas GUOGA,,2,Antanas GUOGA,Lithuania,PPE
M28276,Laima Liucija ANDRIKIENĖ,,2,Laima Liucija ANDRIKIENĖ,Lithuania,PPE
M124768,Valentinas MAZURONIS,,2,Valentinas MAZURONIS,Lithuania,ALDE
M96697,Valdemar TOMAŠEVSKI,,0,Valdemar TOMAŠEVSKI,Lithuania,ECR
M125214,Bronis ROPĖ,,1,Bronis ROPĖ,Lithuania,Verts/ALE
M96694,Rolandas PAKSAS,,1,Rolandas PAKSAS,Lithuania,EFDD
