Source,Target,Type,Id,Label,timeset,Weight
M124776,M193419,Undirected,32780,,,0.361207
M1185,M840,Undirected,37171,,,0.725352
M96876,M1185,Undirected,49869,,,0.898292
M1185,M124776,Undirected,50881,,,0.632184
M1185,M193292,Undirected,54063,,,0.225806
M840,M193419,Undirected,72023,,,0.616858
M4432,M124776,Undirected,76632,,,0.6232
M193292,M124776,Undirected,77181,,,0.640993
M840,M124776,Undirected,89178,,,0.634069
M97293,M193419,Undirected,94324,,,0.931844
M96876,M193419,Undirected,100171,,,0.924014
M4432,M840,Undirected,117392,,,0.362849
M97293,M124776,Undirected,129817,,,0.553763
M4432,M97293,Undirected,175661,,,0.271659
M840,M193292,Undirected,184595,,,0.229054
M96876,M97293,Undirected,207706,,,0.904911
M1185,M97293,Undirected,223473,,,0.931011
M1185,M4432,Undirected,227388,,,0.258868
M96876,M840,Undirected,232100,,,0.673382
M96876,M124776,Undirected,233521,,,0.532778
M96876,M4432,Undirected,234228,,,0.226076
M97293,M840,Undirected,237885,,,0.688523
M97293,M193292,Undirected,241217,,,0.028503
