Source,Target,Type,Id,Label,timeset,Weight
M124781,M28122,Undirected,33602,,,0.475666
M124970,M118858,Undirected,51577,,,0.912001
M124970,M124781,Undirected,56710,,,0.899404
M188906,M118859,Undirected,60745,,,0.949599
M124968,M28122,Undirected,72559,,,0.980769
M118859,M28122,Undirected,75900,,,0.964336
M188906,M124781,Undirected,76785,,,0.396564
M188906,M124970,Undirected,116282,,,0.410231
M118859,M124781,Undirected,140440,,,0.480752
M124970,M124968,Undirected,148479,,,0.597041
M118859,M124968,Undirected,150687,,,0.963417
M124970,M118859,Undirected,153255,,,0.492303
M124781,M118858,Undirected,154708,,,0.890778
M118859,M118858,Undirected,168977,,,0.506675
M124968,M118858,Undirected,170191,,,0.581998
M124970,M28122,Undirected,170740,,,0.494535
M188906,M118858,Undirected,179319,,,0.432196
M188906,M28122,Undirected,193560,,,0.962702
M118858,M28122,Undirected,235402,,,0.50513
M124968,M124781,Undirected,242040,,,0.562173
