Source,Target,Weight
M124874,M96784,0.1652248211043469
M96784,M124889,0.5574314139282485
M23787,M28372,0.4441805225653207
M96796,M124897,0.9798826487845766
M23784,M124877,0.8631840796019901
M96801,M124887,0.9469211661655118
M124879,M96801,0.17961654894046414
M28288,M96784,0.5053388090349076
M28341,M23768,0.13793922127255462
M28297,M124884,0.734733566705562
M28341,M96771,0.4457345971563981
M28389,M96774,0.4518518518518518
M132925,M124896,0.4568280809633615
M96791,M23781,0.9700325732899024
M28288,M28284,0.9559802447927852
M96784,M23781,0.5168049792531121
M135540,M124879,0.21128526645768025
M135540,M96776,0.4405339805825243
M23784,M28394,0.3643478260869565
M124874,M96779,0.4243850267379679
M28394,M28353,0.4343897891868636
M96781,M135541,0.4704101293696669
M23768,M23781,0.5094207138677589
M96791,M23791,0.5067254174397031
M96791,M28284,0.9607056089574312
M96776,M28334,0.42983542735798974
M124886,M28353,0.20345052083333331
M96791,M124887,0.4739933912617795
M28394,M124884,0.4491469089297585
M124892,M28353,0.941030506495402
M28299,M96781,0.947261663286004
M124874,M28301,0.4573481687528975
M124874,M28334,0.9607425441265977
M96791,M28301,0.9646953002023836
M23784,M23781,0.3544590312358533
M96801,M28284,0.4308617234468938
M124902,M124897,0.17668161434977578
M96779,M124898,0.9361660079051384
M96801,M124891,0.967683557394002
M124892,M124903,0.39226171752123307
M124874,M96776,0.4305267016986435
M124897,M124877,0.9515221137277426
M23781,M23791,0.5060700659035726
M96779,M23768,0.5579086697551291
M135540,M28379,0.1760086650419713
M96791,M124895,0.961834475487612
M23784,M96784,0.10836653386454184
M96796,M124892,0.9547772866371982
M124897,M124889,0.4095819633630813
M124897,M124900,0.9782997762863536
M28299,M28353,0.4047890535917902
M124874,M23785,0.480403661112415
M28341,M96784,0.14196111227263225
M28301,M124877,0.4209227732543795
M96796,M96781,0.4879819325697693
M28377,M28334,0.1386049308478653
M23781,M28284,0.9754614317721114
M28377,M124900,0.1393188854489164
M96779,M28269,0.9273426648146168
M23768,M124890,0.5114251021084005
M28269,M124895,0.9561591103507272
M28284,M28334,0.44265495363592
M124903,M124887,0.44434194341943417
M23787,M28284,0.954378044433884
M28299,M28269,0.9266821345707656
M28301,M124903,0.9756797376690804
M28299,M124895,0.9220883534136546
M23784,M96771,0.3815730337078652
M124897,M23791,0.8859857482185273
M28334,M28353,0.9772179627601314
M96796,M124877,0.9439315091489004
M135540,M124889,0.45069337442218793
M124877,M124890,0.4153567793735158
M23784,M124896,0.33170493404982904
M23791,M124895,0.5070391061452514
M124894,M124877,0.15708566853482786
M28297,M124892,0.7032171581769437
M96776,M124892,0.3840956340956341
M28297,M124895,0.7003501750875438
M28288,M124883,0.5221037668798862
M23784,M28372,0.7477768795472919
M132925,M124883,0.18282047062695408
M96781,M124892,0.4230268607265412
M124874,M96774,0.4667606295513272
M23784,M124895,0.3681592039800995
M28297,M124903,0.7910705050853302
M96791,M28297,0.7083166999334664
M28269,M124887,0.4730102937484309
M23787,M124883,0.5235626048497789
M28379,M124890,0.5175447365790263
M28389,M124898,0.456526383251442
M124895,M124883,0.5350116934929151
M28269,M124890,0.9498029454470028
