Source,Target,Weight
M96903,M124730,0.9576459576459576
M125099,M96903,0.502993309073835
M124747,M125101,0.6816527510169129
M96978,M28307,0.4623811243529554
M136236,M28307,0.0947549441100602
M124741,M96978,0.4539065245402366
M124747,M124733,0.5285769828926905
M28308,M125101,0.7132203389830508
M124737,M96978,0.4619473978735311
M28306,M124730,0.42658667508683296
M124734,M96978,0.9265515975027544
M124747,M96978,0.4701806202430989
M124747,M111589,0.06954177897574124
M125101,M28307,0.6900720762613346
M28308,M124734,0.5447530864197531
M125099,M96706,0.09093240990124407
M124739,M28306,0.8867210830181167
M96706,M28307,0.07958287596048297
M21918,M125099,0.9648971371025752
M124741,M125100,0.08867112810707457
M124733,M124742,0.5300546448087432
M124747,M124741,0.9600118191667488
M28306,M96706,0.1542406311637081
M125099,M124730,0.4981058666939695
M125101,M125100,0.05295629820051414
M21918,M124739,0.9595391964034842
M125101,M96903,0.5893111947074847
M124737,M125099,0.9692679975801572
M28308,M96706,0.08993766696349065
M96903,M1892,0.9302353080288518
M125099,M124733,0.5093228655544652
M124741,M124730,0.4992657856093979
M28306,M96899,0.4518918918918919
M124741,M28306,0.8776353865233567
M21918,M124733,0.4905250976421235
M124733,M124730,0.9678963110667996
M28306,M96978,0.3786181139122316
M21918,M96706,0.06775570818637461
M124737,M96903,0.5224456072707243
M28308,M124733,0.5867158671586716
M28308,M136236,0.0718232044198895
M96903,M28307,0.5101495077184879
M125101,M124730,0.5836798920984602
M125101,M96899,0.6097953552540814
M124739,M28307,0.9577580877807542
M124737,M28306,0.8941958129622665
M125099,M111589,0.12135665076841548
M124737,M124730,0.5143038779402416
M124739,M96978,0.4538116591928251
M125099,M96899,0.5199831277022039
M124741,M1892,0.5698991146798436
M125101,M96706,0.0453056768558952
M136236,M125099,0.10396361273554257
M124747,M96706,0.0714195424093035
M124747,M125099,0.960268770084721
M124734,M28306,0.4577211883774078
M124734,M124742,0.4911299344733898
M136236,M28306,0.15005803349361632
M96978,M124730,0.9481268011527376
M124737,M124742,0.6661732050333087
