Id,name,country,group
M21918,Manuel dos SANTOS,Portugal,S&D
M124747,Pedro SILVA PEREIRA,Portugal,S&D
M124737,Maria João RODRIGUES,Portugal,S&D
M28308,Elisa FERREIRA,Portugal,S&D
M136236,João PIMENTA LOPES,Portugal,GUE/NGL
M124739,Carlos ZORRINHO,Portugal,S&D
M124734,Cláudia MONTEIRO DE AGUIAR,Portugal,PPE
M125099,Liliana RODRIGUES,Portugal,S&D
M124741,Ricardo SERRÃO SANTOS,Portugal,S&D
M125101,José Inácio FARIA,Portugal,PPE
M28306,Ana GOMES,Portugal,S&D
M96706,João FERREIRA,Portugal,GUE/NGL
M96820,Marisa MATIAS,Portugal,GUE/NGL
M96903,Paulo RANGEL,Portugal,PPE
M1892,Carlos COELHO,Portugal,PPE
M96978,Nuno MELO,Portugal,PPE
M124733,Sofia RIBEIRO,Portugal,PPE
M125100,Miguel VIEGAS,Portugal,GUE/NGL
M111589,Inês Cristina ZUBER,Portugal,GUE/NGL
M124730,Fernando RUAS,Portugal,PPE
M124742,António MARINHO E PINTO,Portugal,ALDE
M28307,Francisco ASSIS,Portugal,S&D
M96899,José Manuel FERNANDES,Portugal,PPE
