Source,Target,Weight
M124802,M125012,0.9376558603491272
M124802,M38420,0.9370237239396118
M131750,M124790,0.5219387755102041
M96824,M125012,0.7393062999292143
M124793,M189490,0.95700891836268
M124786,M39725,0.5236004390779363
M96835,M124786,0.4690086816071068
M191377,M96835,0.4566378956021373
M124792,M37324,0.2653903903903904
M40224,M125012,0.5305207495114381
M129256,M189490,0.9625279642058164
M96847,M124785,0.9464869281045752
M40224,M39724,0.5148204114843661
M39713,M124792,0.2267401791867677
M124792,M124805,0.13982796559311866
M124802,M124784,0.5845796802475502
M124802,M39721,0.9538910911746296
M39713,M40224,0.6438923395445134
M39711,M189490,0.9522150323544052
M33982,M40224,0.5579352665142582
M96835,M39711,0.4951887490747594
M96824,M124784,0.5057359043202343
M124786,M40224,0.9100474520321848
M96825,M39724,0.6366223908918406
M124792,M39717,0.2881421398223252
M96838,M124793,0.5503713578366025
M33982,M124784,0.5758303321328532
M131750,M129256,0.5102040816326531
M96825,M38420,0.6366596125671496
M124802,M33989,0.5365984930032293
M39711,M39724,0.5062140992167102
M124793,M124784,0.9504694835680751
M124789,M96838,0.7304387155133424
M33989,M38420,0.4985925404644617
M33989,M124793,0.9238004524348136
M39713,M124784,0.640661938534279
M96847,M40224,0.9501339857858556
M124786,M189490,0.8940998487140696
M124789,M39711,0.7966547192353644
M124802,M96825,0.6668276195074843
M96824,M96857,0.5000803212851406
M39724,M125012,0.910182662226259
M39725,M96857,0.5359286571771565
M96824,M39724,0.7220242337847471
M191377,M33982,0.5753521126760563
M39725,M40224,0.5489159175039662
M39717,M39711,0.5773283964682426
M96847,M88882,0.9679215860993541
M131750,M124784,0.5471534115601913
M39713,M96838,0.6806356808533798
M191377,M96847,0.936451897616946
M39725,M96824,0.7516243717052838
M124802,M39711,0.5609148550724637
M96847,M39725,0.5494477266889288
M191377,M33989,0.8633856597369538
M96825,M95281,0.6908563134978231
M33982,M125012,0.9331880900508353
M191377,M39725,0.5744843391902216
M124785,M189490,0.956184390689183
M88882,M124790,0.9494491250810111
M33989,M124784,0.913698832569824
M39721,M88882,0.5681201752555811
M131750,M96838,0.9351975144252108
M131750,M124793,0.5154306771073238
M131750,M124786,0.4952668680765358
M39713,M37324,0.64062955406587
M33982,M38420,0.9167266964414351
M39713,M33989,0.609055770292656
M33984,M129256,0.9429153924566768
M33989,M96824,0.4897039112952358
M124802,M124789,0.7223459539717891
M39713,M96847,0.6182119990514584
M191377,M37324,0.5284317276349149
M33982,M39725,0.9227683049147444
M124789,M96857,0.879590395480226
M40224,M124785,0.9484189280107648
M131750,M96835,0.9534883720930232
M39717,M124785,0.5540521883197571
M191377,M39721,0.5407537248028046
M96847,M129256,0.9502782052799812
M124802,M124793,0.5502016556994269
M189490,M125012,0.51569290197972
M124793,M124790,0.9551011804384486
M96847,M33984,0.9510194516053432
M39711,M38420,0.5233785822021116
M124785,M39724,0.4933871781928319
M96847,M96857,0.9433305716652858
M39725,M125012,0.9237614237614238
M124784,M189490,0.9471698113207548
M124802,M96824,0.7496196479026299
M124802,M33982,0.9437995009222092
M37324,M124789,0.7005920496193967
M124792,M95281,0.25496688741721857
M88882,M125012,0.5449871465295629
M39713,M39724,0.6328735632183908
M124789,M129256,0.7970263265584504
M131750,M88882,0.5557715674362089
M37324,M124790,0.5158533223049352
M39711,M124785,0.9467107301456159
M124805,M38420,0.6472200469851214
M40224,M38420,0.5081385979049154
M124786,M124790,0.9239708489265314
M124793,M39724,0.4969987995198079
M131750,M39725,0.9327635327635329
M191377,M96824,0.5322391559202814
M39711,M40224,0.95177304964539
M124802,M95281,0.6102683780630105
M96825,M189490,0.6508032737193089
M39725,M124784,0.5668934240362812
M124802,M124805,0.6677927927927928
M96835,M124790,0.5010655634950483
M96847,M124790,0.952803013516508
M124786,M96857,0.9345820519988818
M131750,M96857,0.5148275862068965
M129256,M124785,0.9492728330424666
M39721,M124793,0.5346142705416627
M124786,M37324,0.4809474768280124
M124802,M129256,0.5379335702904767
M124805,M129256,0.6285936285936286
M39717,M124789,0.7182874423046316
M124793,M96857,0.9455049261083744
M191377,M96838,0.5607340518496942
M124793,M38420,0.5079275198187996
M37324,M124805,0.6429747119557085
M33989,M39721,0.5209637415849769
M124792,M124786,0.25325977933801397
M33984,M125012,0.5365600092410766
M88882,M124793,0.9675202998126172
M88882,M96857,0.9625540086413826
M191377,M124789,0.5624553890078515
M96825,M124784,0.6729488451183222
M124785,M95281,0.9393939393939394
M191377,M189490,0.9471830985915493
M96847,M39711,0.9492814877430262
M124786,M124785,0.8939867917970108
M191377,M124805,0.6130232558139534
M96838,M96825,0.6767221972084646
M124786,M39717,0.5202837508313013
M96835,M33982,0.9007907979870596
M191377,M124793,0.9394299287410928
M124785,M125012,0.5169091821374812
M40224,M124790,0.9487353206865402
M96835,M124789,0.6601853060159206
M39725,M39724,0.9399576171415116
M124786,M96825,0.6439628482972136
M33982,M124793,0.5495876506661028
M39717,M96838,0.9487380672159016
M39724,M189490,0.4945321992709599
M88882,M129256,0.9712475633528264
M39713,M96825,0.8586104352527709
M124792,M96825,0.20697095435684648
M37324,M96838,0.9461529256910376
M191377,M124802,0.5787401574803149
M33989,M129256,0.9193954659949622
M131750,M124792,0.2639036486007793
M37324,M95281,0.5578306585500831
M96835,M88882,0.535635236830456
M124785,M124790,0.9457728437233134
M39725,M88882,0.5666356011183598
M33989,M124786,0.9169035643997376
M37324,M96824,0.7240945674044266
M39721,M124805,0.6632158301664264
M88882,M96838,0.5934521342726896
M33982,M96825,0.6593972065670178
M191377,M124785,0.9437939110070258
M33984,M33982,0.5756079496358474
M191377,M39711,0.9416613823715916
M33989,M189490,0.9292960344297572
M96857,M39724,0.5133835550569001
M124792,M129256,0.22768304914744236
M124784,M95281,0.9596015495296072
M39713,M124805,0.9246745195288284
M33984,M96857,0.9441826748822036
M124805,M124793,0.6266489007328447
M39717,M40224,0.5806017063313875
M39721,M39717,0.9479722518676628
M39713,M88882,0.6812769191791234
M95281,M189490,0.9435294117647058
M124792,M96824,0.2883416458852868
M124802,M39724,0.9172443674176776
M124789,M124790,0.8211674150096215
M96847,M33982,0.5528808648166722
M131750,M124802,0.9479888200267348
M33982,M95281,0.6070075757575758
M131750,M39711,0.5285116557083084
M39713,M125012,0.6523433023948665
M96847,M124789,0.7862336403296171
M96847,M39721,0.5316975463194792
M33982,M96838,0.9306961054891136
M124805,M124784,0.6547793518970851
M96847,M125012,0.5162094763092271
M39721,M124789,0.7118487782388198
M39711,M124790,0.9553060078607524
M39721,M125012,0.9386741944904118
M124786,M39724,0.46379515007630995
M39721,M124790,0.5382663847780127
M88882,M38420,0.5105075978014872
M129256,M96857,0.9412695621593108
M39711,M125012,0.5188143788101744
M131750,M33989,0.498389694041868
M191377,M124792,0.22298850574712645
M96835,M39724,0.9177110427997164
M96824,M129256,0.4834123222748815
M124792,M124790,0.22730199613651
M124790,M38420,0.5093529592149647
M39717,M124790,0.5744195983478138
M124802,M39717,0.957121398334016
M33982,M189490,0.5234512164534738
M39721,M124784,0.5594629915646905
M33982,M88882,0.5903296703296703
M124805,M96825,0.8806366047745358
M33984,M124790,0.9537805167101208
M124792,M189490,0.2016871165644172
M189490,M38420,0.5153626860943934
M124784,M38420,0.5435117114036587
M39721,M40224,0.5510977376574167
M96857,M124784,0.9342307692307692
M96835,M37324,0.9348958333333334
M39717,M124784,0.5997304582210242
M96824,M189490,0.5292215292215292
M96835,M33984,0.508714148483601
M131750,M96824,0.7228648206566187
M96835,M39725,0.9268561965222192
M39713,M124793,0.6182844243792325
M96835,M38420,0.9071428571428573
M39721,M124785,0.5298594847775175
M39713,M191377,0.6028268551236751
M33989,M33984,0.9180716176675492
M39713,M96857,0.6528258362168397
M37324,M39721,0.9589520705058554
M124786,M96838,0.5220710255559243
M124789,M125012,0.7028518859245629
M39721,M39724,0.9158203125
M96847,M96825,0.6531482158080624
M33989,M124789,0.7777173173717862
M96824,M95281,0.523406374501992
M124802,M124790,0.5475743176041552
M39713,M124802,0.672326186640228
M131750,M96825,0.6477039067854695
M124786,M95281,0.9435453519006398
M96835,M124784,0.5142773892773893
M96824,M124793,0.4939109602715113
M39725,M95281,0.6001025378108178
M96847,M96824,0.49250312369845894
M37324,M189490,0.5221884498480243
M124786,M124784,0.9013900955690703
M124792,M33982,0.2734424166142228
M124802,M33984,0.5792163543441227
M124792,M125012,0.3021853805576488
M40224,M124793,0.9528656782474
M33984,M124789,0.7843846256863533
M131750,M125012,0.9493899683687302
M33984,M124805,0.6379471228615863
M33989,M39725,0.5287695485393922
M39717,M38420,0.9382629926752704
M39725,M124789,0.6872393661384487
M191377,M129256,0.9437540876389796
M96857,M124790,0.9434762129062648
M191377,M125012,0.5297233666862861
M96847,M39717,0.5647914917436329
M96835,M40224,0.5078463203463204
M39721,M129256,0.5217240981906188
M39713,M131750,0.6427223550132092
M37324,M125012,0.9434235976789168
M124802,M189490,0.5320910973084886
M39711,M96825,0.6584280771131982
M124805,M95281,0.6585632340890467
M40224,M96825,0.6560381621893046
M124802,M40224,0.5650544560252957
M88882,M40224,0.9546120058565154
M124802,M96847,0.5531748688762415
M124786,M88882,0.9418979987088444
M129256,M124784,0.9469912102772144
M96857,M38420,0.4988066825775656
M33989,M96825,0.6440129449838188
