Source,Target,Type,Id,Label,timeset,Weight
M23894,M96651,Undirected,8,,,0.880225
M96651,M124930,Undirected,3660,,,0.893133
M124929,M23868,Undirected,6298,,,0.426974
M96655,M96651,Undirected,7735,,,0.518046
M124929,M124927,Undirected,14148,,,0.42953
M124901,M124928,Undirected,16728,,,0.775177
M28192,M124927,Undirected,18314,,,0.09716
M28192,M23868,Undirected,29525,,,0.880839
M96655,M28178,Undirected,31059,,,0.481851
M124927,M124930,Undirected,32297,,,0.454008
M23894,M96656,Undirected,34233,,,0.468283
M124926,M96651,Undirected,34793,,,0.927626
M96655,M124926,Undirected,37199,,,0.531636
M124927,M96651,Undirected,41065,,,0.387226
M96655,M124901,Undirected,42933,,,0.196881
M96656,M96655,Undirected,45891,,,0.964183
M23894,M124930,Undirected,50318,,,0.883633
M124926,M124930,Undirected,52974,,,0.899366
M28192,M124930,Undirected,58291,,,0.469899
M124901,M124930,Undirected,60757,,,0.559655
M124901,M23868,Undirected,75357,,,0.15092
M28178,M96651,Undirected,75585,,,0.900379
M96656,M28192,Undirected,76131,,,0.954655
M124929,M124928,Undirected,78397,,,0.363647
M124901,M124927,Undirected,81339,,,0.830315
M124901,M124929,Undirected,81370,,,0.535609
M23894,M96655,Undirected,82275,,,0.454101
M28192,M28178,Undirected,85041,,,0.466872
M28192,M96651,Undirected,90946,,,0.502352
M124926,M28192,Undirected,95051,,,0.508686
M96656,M124930,Undirected,95423,,,0.491046
M28178,M124927,Undirected,98719,,,0.436444
M124928,M124930,Undirected,101736,,,0.391053
M124928,M96651,Undirected,113777,,,0.358821
M23894,M124901,Undirected,116702,,,0.548792
M28192,M124929,Undirected,116795,,,0.476498
M124926,M124928,Undirected,120727,,,0.350498
M28178,M124930,Undirected,122382,,,0.893125
M124927,M23868,Undirected,123998,,,0.075234
M96655,M124928,Undirected,126473,,,0.034764
M124929,M96651,Undirected,129903,,,0.92101
M28192,M124928,Undirected,145607,,,0.031914
M96656,M28178,Undirected,147846,,,0.502882
M28178,M23868,Undirected,150329,,,0.419631
M23894,M124927,Undirected,152628,,,0.438182
M96655,M23868,Undirected,157535,,,0.890883
M124901,M124926,Undirected,169565,,,0.51195
M96655,M124929,Undirected,170518,,,0.494949
M124928,M23868,Undirected,171000,,,0.018366
M124929,M124930,Undirected,180305,,,0.913662
M124929,M28178,Undirected,182197,,,0.938157
M96655,M124927,Undirected,185026,,,0.099126
M96656,M124901,Undirected,185080,,,0.190101
M124901,M28178,Undirected,191179,,,0.537047
M96655,M28192,Undirected,192667,,,0.968212
M23894,M28178,Undirected,194271,,,0.923412
M96656,M124926,Undirected,197210,,,0.538372
M124928,M124927,Undirected,200568,,,0.777
M124928,M28178,Undirected,202932,,,0.356265
M124930,M23868,Undirected,202961,,,0.428469
M124926,M23868,Undirected,205521,,,0.470109
M96655,M124930,Undirected,208162,,,0.492749
M124901,M96651,Undirected,212369,,,0.50892
M96656,M124927,Undirected,213097,,,0.088307
M124926,M28178,Undirected,218228,,,0.889264
M96656,M124929,Undirected,220368,,,0.504817
M124926,M124927,Undirected,222858,,,0.394548
M23894,M124926,Undirected,223488,,,0.880383
M124901,M28192,Undirected,225608,,,0.195067
M23894,M23868,Undirected,225634,,,0.402787
M23894,M124928,Undirected,230677,,,0.36433
M23894,M28192,Undirected,231526,,,0.44353
M96656,M96651,Undirected,232064,,,0.521315
M96651,M23868,Undirected,237069,,,0.465064
M96656,M23868,Undirected,243281,,,0.868737
M124926,M124929,Undirected,243503,,,0.918219
M23894,M124929,Undirected,244474,,,0.923077
