Source,Target,Type,Id,Label,timeset,Weight
M125104,M97019,Undirected,10991,,,0.570724
M23693,M97019,Undirected,13052,,,0.565434
M96933,M97019,Undirected,31090,,,0.557501
M125104,M125103,Undirected,33414,,,0.960408
M96933,M125103,Undirected,42765,,,0.961257
M125003,M97019,Undirected,46296,,,0.418538
M125004,M97019,Undirected,51581,,,0.59088
M125103,M125003,Undirected,53122,,,0.105778
M23693,M125103,Undirected,58295,,,0.945445
M96911,M96933,Undirected,59596,,,0.44274
M96933,M125004,Undirected,63496,,,0.932368
M125104,M96933,Undirected,65058,,,0.9527
M125104,M125003,Undirected,75169,,,0.120579
M96911,M125004,Undirected,91879,,,0.482625
M125103,M125004,Undirected,118479,,,0.945087
M96911,M97019,Undirected,128990,,,0.610252
M96911,M125003,Undirected,135779,,,0.569678
M125104,M23693,Undirected,148463,,,0.93217
M125104,M125004,Undirected,152591,,,0.938863
M125103,M97019,Undirected,159156,,,0.563651
M96911,M23693,Undirected,159687,,,0.46282
M125003,M125004,Undirected,190755,,,0.145423
M96911,M125103,Undirected,201259,,,0.451882
M23693,M125003,Undirected,202160,,,0.120811
M23693,M96933,Undirected,218023,,,0.932207
M125104,M96911,Undirected,232823,,,0.468849
M96933,M125003,Undirected,242896,,,0.097623
M23693,M125004,Undirected,243282,,,0.929225
