Source,Target,Weight
M96812,M124933,0.5149316215461903
M124932,M125040,0.3702414373947221
M135491,M28298,0.5617168754998667
M96806,M28398,0.9632585835550488
M96768,M97078,0.9597554196775988
M96763,M28400,0.9752839011356046
M28390,M185974,0.08218639402280771
M131507,M125039,0.18762343647136276
M4319,M129407,0.6694874274661509
M96922,M125046,0.6761133603238867
M28292,M125997,0.27151230949589683
M125044,M125051,0.3431392303042515
M96765,M96936,0.970438054286482
M103488,M125053,0.5436156763590392
M28390,M125045,0.4882849109653234
M4319,M125032,0.9592269620551496
M28397,M125038,0.5751784202249909
M125027,M125044,0.4702090252002344
M125047,M125035,0.9193228408940616
M127330,M125997,0.9143996247654784
M185974,M125047,0.6558209516644724
M125005,M96812,0.6113851992409867
M135490,M131507,0.9893560404470464
M103488,M127330,0.302674672489083
M131749,M129407,0.10982449791930522
M24942,M4334,0.4830897703549061
M96768,M129407,0.5830641439778496
M90110,M96811,0.5778559526013701
M96991,M125997,0.2824480369515012
M124972,M125038,0.4000728066982162
M4319,M96922,0.5945913316431245
M28397,M28292,0.4901826484018265
M28397,M96729,0.9733840304182511
M135491,M26146,0.29849936720303744
M125005,M124933,0.3793299261783078
M96811,M124933,0.12585933368588048
M90110,M28398,0.556715880446525
M125005,M125035,0.1643361484147861
M28292,M96991,0.9759347653142404
M28390,M4319,0.931958762886598
M125052,M124972,0.2454308093994778
M103488,M125046,0.9716859716859716
M125044,M103488,0.9292364990689012
M2002,M125041,0.4312684365781711
M96936,M96991,0.4681647940074906
M96765,M97203,0.4983642311886587
M28298,M125048,0.30552575107296137
M125052,M125032,0.6874340021119324
M24942,M125038,0.30216284987277353
M2002,M97078,0.4
M124933,M125032,0.14037626628075253
M129407,M96811,0.6725055432372505
M2002,M28393,0.9525996693000184
M28393,M96936,0.9734413684447444
M96729,M124933,0.1434402332361516
M125049,M96812,0.23521354750342424
M90110,M4319,0.5731652408824853
M135491,M125041,0.5782312925170068
M185974,M125051,0.7401215805471124
M103488,M28298,0.9656697009102729
M96806,M103488,0.5131229725744618
M97203,M125048,0.251953125
M125041,M125006,0.5135430318916557
M124972,M125997,0.7073620439878836
M96806,M4334,0.5089410667081324
M28393,M28298,0.471211118464593
M96765,M28292,0.5026744944553164
M131507,M124933,0.6934507429829391
M22418,M185974,0.08170070862859524
M135490,M24942,0.7748890298034242
M124932,M125045,0.5210046677039342
M125039,M97078,0.7108953613807982
M185974,M97203,0.5416012558869702
M28292,M125051,0.3303303303303303
M96811,M97203,0.4991630398393037
M124933,M125051,0.6653587443946188
M26146,M96768,0.5650346711494011
M125043,M125046,0.9659593280282937
M131749,M124933,0.6907090464547677
M129407,M125051,0.09943948515673656
M96806,M125027,0.9632672788786854
M96936,M96812,0.4519900791307429
M96811,M125040,0.6273681931362997
M96936,M125043,0.45736258764985294
M22418,M125053,0.17809330628803247
M28298,M125006,0.5025592813120234
M4334,M129407,0.5827563683866753
M96765,M96812,0.4858115777525539
M125039,M103488,0.7015262860373093
M185974,M97078,0.5865587614356087
M125046,M96811,0.4933452633933565
M125049,M96922,0.08934904473172406
M96765,M125040,0.6247296781579952
M24942,M125045,0.4393546528377989
M24942,M124932,0.917319135609145
M96765,M103488,0.5223137925672524
M185974,M125032,0.06217254628012575
M4319,M125046,0.4845008542836222
M131749,M96812,0.3816464791623896
M2002,M125038,0.5624540778839089
M96763,M125045,0.5709614126880314
M96765,M96768,0.4948843728100911
M96765,M125027,0.9687073140444556
M28390,M97203,0.4907577426857633
M124972,M125039,0.2851215174866627
M96936,M28398,0.9584917961534284
M125053,M97078,0.5522572665429808
M125052,M129407,0.8631884057971014
M24942,M125040,0.211840888066605
M125006,M125045,0.5279377589168435
M28393,M96922,0.5922415693189332
M28393,M125046,0.4841278871316418
M131749,M125041,0.3726767579996168
M131749,M125050,0.9037690457097032
M28393,M97078,0.4683965402528277
M125044,M28400,0.4570830425680391
M125045,M125048,0.2713016204913748
M125027,M125038,0.5787368421052631
M28292,M103488,0.9637153443209404
M96729,M96811,0.9732323915100716
M125052,M124933,0.3640303358613218
M28393,M125039,0.6059365404298874
M22418,M125027,0.9655172413793104
M125052,M28298,0.7237048665620094
M124972,M125046,0.5374067837382728
M125052,M125046,0.7264150943396226
M125038,M28400,0.5663313922710429
