Id,name,country,group
M96765,Verónica LOPE FONTAGNÉ,Spain,PPE
M96763,Pablo ZALBA BIDEGAIN,Spain,PPE
M135491,María Teresa GIMÉNEZ BARBAT,Spain,ALDE
M135490,Xabier BENITO ZILUAGA,Spain,GUE/NGL
M90110,Carolina PUNSET,Spain,ALDE
M2002,José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
M28397,Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,Spain,PPE
M96729,Santiago FISAS AYXELÀ,Spain,PPE
M22418,Esther HERRANZ GARCÍA,Spain,PPE
M28393,Luis de GRANDES PASCUAL,Spain,PPE
M28390,Pilar del CASTILLO VERA,Spain,PPE
M131749,Estefanía TORRES MARTÍNEZ,Spain,GUE/NGL
M131507,Miguel URBÁN CRESPO,Spain,GUE/NGL
M26146,Florent MARCELLESI,Spain,Verts/ALE
M185974,Jordi SOLÉ,Spain,Verts/ALE
M24942,Ana Maria MIRANDA PAZ,Spain,Verts/ALE
M96806,Teresa JIMÉNEZ-BECERRIL BARRIO,Spain,PPE
M96936,Gabriel MATO,Spain,PPE
M125027,Esteban GONZÁLEZ PONS,Spain,PPE
M125052,Juan Carlos GIRAUTA VIDAL,Spain,ALDE
M4319,Pilar AYUSO,Spain,PPE
M125005,Javier NART,Spain,ALDE
M96768,Enrique GUERRERO SALOM,Spain,S&D
M125044,José BLANCO LÓPEZ,Spain,S&D
M28292,Inés AYALA SENDER,Spain,S&D
M124932,Josep-Maria TERRICABRAS,Spain,Verts/ALE
M124972,Ernest URTASUN,Spain,Verts/ALE
M4334,Elena VALENCIANO,Spain,S&D
M125049,Maria Lidia SENRA RODRÍGUEZ,Spain,GUE/NGL
M125043,Inma RODRÍGUEZ-PIÑERO,Spain,S&D
M125039,Fernando MAURA BARANDIARÁN,Spain,ALDE
M129407,Enrique CALVET CHAMBON,Spain,ALDE
M103488,Sergio GUTIÉRREZ PRIETO,Spain,S&D
M125047,Paloma LÓPEZ BERMEJO,Spain,GUE/NGL
M96812,Juan Fernando LÓPEZ AGUILAR,Spain,S&D
M28298,Iratxe GARCÍA PÉREZ,Spain,S&D
M125053,Jordi Vicent SEBASTIA TALAVERA,Spain,Verts/ALE
M125050,Ángela VALLINA,Spain,GUE/NGL
M125038,Maite PAGAZAURTUNDÚA,Spain,ALDE
M28400,Francisco José MILLÁN MON,Spain,PPE
M125041,Soledad CABEZÓN RUIZ,Spain,S&D
M28399,Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,PPE
M96922,Izaskun BILBAO BARANDICA,Spain,ALDE
M125035,Lola SÁNCHEZ CALDENTEY,Spain,GUE/NGL
M125046,Jonás FERNÁNDEZ,Spain,S&D
M96811,Rosa ESTARÀS FERRAGUT,Spain,PPE
M97078,Ramón JÁUREGUI ATONDO,Spain,S&D
M124933,Ernest MARAGALL,Spain,Verts/ALE
M125006,Francisco de Paula GAMBUS MILLET,Spain,PPE
M125051,Josu JUARISTI ABAUNZ,Spain,GUE/NGL
M96991,Eider GARDIAZABAL RUBIAL,Spain,S&D
M97203,Ramon TREMOSA i BALCELLS,Spain,ALDE
M125032,Ramón Luis VALCÁRCEL SISO,Spain,PPE
M28398,Carlos ITURGAIZ,Spain,PPE
M125040,Beatriz BECERRA BASTERRECHEA,Spain,ALDE
M125045,Clara AGUILERA,Spain,S&D
M125048,Marina ALBIOL GUZMÁN,Spain,GUE/NGL
M127330,Tania GONZÁLEZ PEÑAS,Spain,GUE/NGL
M125997,Javier COUSO PERMUY,Spain,GUE/NGL
