Source,Target,Weight
M188636,M33569,0.054040404040404035
M4513,M124971,0.22358993202278155
M124960,M2073,0.09014192558496356
M4542,M33569,0.9666666666666668
M28481,M4525,0.2274052478134111
M188623,M124964,0.18165784832451495
M99650,M4542,0.20198019801980202
M188623,M188636,0.04587592108390777
M124956,M96918,0.040606527884862506
M96919,M96955,0.2522550544323484
M4531,M4545,0.5749531542785759
M33569,M124969,0.027923211169284468
M188733,M124965,0.9676849280484726
M4513,M96956,0.7663954044997606
M124943,M124960,0.9647094615150592
M1318,M96897,0.21430904933028425
M188733,M124941,0.9641523525018671
M124953,M113959,0.2747137027774121
M99650,M124957,0.9481075934301356
M2327,M1318,0.07141842964645748
M4550,M102931,0.9621126583866516
M189391,M28132,0.6146076146076146
M96949,M124951,0.1801760074108384
M124962,M124949,0.9773074405411304
M96918,M96956,0.2529274004683841
M124941,M33569,0.20118929633300295
M124971,M124964,0.9737237237237236
M185637,M190099,0.9796766743648959
M124940,M33569,0.24698412698412694
M124953,M4533,0.9654349061967028
M96919,M4545,0.07299416850995374
M124944,M124948,0.9784946236559141
M124960,M96949,0.9361963190184048
M124940,M124956,0.2479421802850833
M4555,M124967,0.1923658352229781
M124965,M4553,0.1970961887477314
M99650,M4556,0.1975134218705849
M188624,M2309,0.9590827338129496
M185637,M4555,0.0747800586510264
M96919,M106202,0.20322513954930746
M35743,M96957,0.08957505350045858
M96805,M124971,0.9455006337135616
M96918,M113959,0.2440340568413479
M124951,M124938,0.8916334661354581
M96920,M2073,0.0967506389193136
M124954,M4556,0.09769923307769256
M124945,M96897,0.9696401799100451
M189391,M124956,0.9550671550671552
M96949,M124971,0.18458574181117532
M124948,M96951,0.024444444444444446
M96958,M96951,0.2842625652293326
M96955,M4555,0.2388425698871996
M96920,M4553,0.9652173913043478
M4531,M102931,0.9788076385654402
M4516,M4542,0.1901462663587375
M124939,M124958,0.8796021636712615
M111011,M124939,0.18500468603561387
M189391,M111011,0.9709731144420652
M188623,M124951,0.1977280795172169
M4525,M124957,0.9384236453201972
M188624,M4533,0.9705760464152507
M124944,M96957,0.07524727682484036
M4556,M124949,0.0764001294917449
M4542,M4555,0.9232876712328768
M96919,M124956,0.9393839019542894
M124948,M124949,0.9665464743589745
M188624,M124953,0.971685393258427
M28481,M124949,0.07027027027027027
