Id,name,country,group
M189391,Baroness Nosheena MOBARIK,United Kingdom,ECR
M124940,Patrick O'FLYNN,United Kingdom,EFDD
M99650,Tim AKER,United Kingdom,EFDD
M124945,Margot PARKER,United Kingdom,EFDD
M188624,Wajid KHAN,United Kingdom,S&D
M96805,Paul NUTTALL,United Kingdom,EFDD
M124954,Paul BRANNEN,United Kingdom,S&D
M188622,Rupert MATTHEWS,United Kingdom,ECR
M4513,Geoffrey VAN ORDEN,United Kingdom,ECR
M28481,Sajjad KARIM,United Kingdom,ECR
M28132,Richard ASHWORTH,United Kingdom,PPE
M4516,Roger HELMER,United Kingdom,EFDD
M185628,John PROCTER,United Kingdom,ECR
M124963,Julie WARD,United Kingdom,S&D
M188623,John FLACK,United Kingdom,ECR
M4556,Nirj DEVA,United Kingdom,ECR
M111011,Anthea McINTYRE,United Kingdom,ECR
M96920,Kay SWINBURNE,United Kingdom,ECR
M124943,Andrew LEWER,United Kingdom,ECR
M96919,Emma McCLARKIN,United Kingdom,ECR
M124953,Jude KIRTON-DARLING,United Kingdom,S&D
M124956,Amjad BASHIR,United Kingdom,ECR
M106202,Julia REID,United Kingdom,EFDD
M2309,Richard CORBETT,United Kingdom,S&D
M96918,Derek VAUGHAN,United Kingdom,S&D
M96912,David CAMPBELL BANNERMAN,United Kingdom,ECR
M124952,Seb DANCE,United Kingdom,S&D
M4542,Timothy KIRKHOPE,United Kingdom,ECR
M5846,Mary HONEYBALL,United Kingdom,S&D
M124944,Clare MOODY,United Kingdom,S&D
M124960,Ian DUNCAN,United Kingdom,ECR
M188733,Jonathan BULLOCK,United Kingdom,EFDD
M188636,John HOWARTH,United Kingdom,S&D
M124939,Diane JAMES,United Kingdom,EFDD
M2327,Linda McAVAN,United Kingdom,S&D
M4525,Nigel FARAGE,United Kingdom,EFDD
M4531,Jean LAMBERT,United Kingdom,Verts/ALE
M4550,Jill EVANS,United Kingdom,Verts/ALE
M1318,James NICHOLSON,United Kingdom,ECR
M124965,Nathan GILL,United Kingdom,EFDD
M96958,William (The Earl of) DARTMOUTH,United Kingdom,EFDD
M2338,Ian HUDGHTON,United Kingdom,Verts/ALE
M124966,Steven WOOLFE,United Kingdom,NI
M124942,Molly SCOTT CATO,United Kingdom,Verts/ALE
M28497,Gerard BATTEN,United Kingdom,ENF
M35743,Dame Glenis WILLMOTT,United Kingdom,S&D
M124955,Jane COLLINS,United Kingdom,EFDD
M102931,Keith TAYLOR,United Kingdom,Verts/ALE
M124950,Jill SEYMOUR,United Kingdom,EFDD
M96949,Vicky FORD,United Kingdom,ECR
M124971,James CARVER,United Kingdom,EFDD
M4545,Catherine STIHLER,United Kingdom,S&D
M35135,Daniel DALTON,United Kingdom,ECR
M4553,Jacqueline FOSTER,United Kingdom,ECR
M185637,Alex MAYER,United Kingdom,S&D
M190099,Rory PALMER,United Kingdom,S&D
M96956,Julie GIRLING,United Kingdom,PPE
M124948,Siôn SIMON,United Kingdom,S&D
M124951,Bill ETHERIDGE,United Kingdom,EFDD
M1403,David MARTIN,United Kingdom,S&D
M124958,Jonathan ARNOTT,United Kingdom,EFDD
M124957,Mike HOOKEM,United Kingdom,NI
M28508,Alyn SMITH,United Kingdom,Verts/ALE
M96955,Catherine BEARDER,United Kingdom,ALDE
M124941,Raymond FINCH,United Kingdom,EFDD
M4519,Claude MORAES,United Kingdom,S&D
M124962,Afzal KHAN,United Kingdom,S&D
M96951,Diane DODDS,United Kingdom,NI
M4555,Daniel HANNAN,United Kingdom,ECR
M124949,Lucy ANDERSON,United Kingdom,S&D
M2073,Richard HOWITT,United Kingdom,S&D
M33569,Syed KAMALL,United Kingdom,ECR
M4533,Neena GILL,United Kingdom,S&D
M113959,Martina ANDERSON,United Kingdom,GUE/NGL
M96957,Ashley FOX,United Kingdom,ECR
M4521,Charles TANNOCK,United Kingdom,ECR
M124969,Anneliese DODDS,United Kingdom,S&D
M124967,David COBURN,United Kingdom,EFDD
M124961,Theresa GRIFFIN,United Kingdom,S&D
M124938,Janice ATKINSON,United Kingdom,ENF
M124964,Louise BOURS,United Kingdom,EFDD
M96897,John Stuart AGNEW,United Kingdom,ENF
