Source,Target,Type,Id,Label,timeset,Weight
M124689,M124692,Undirected,13250,,,0.291397
M25704,M26837,Undirected,17587,,,0.678025
M124689,M124691,Undirected,29207,,,0.280943
M124692,M26837,Undirected,75757,,,0.548422
M96907,M124692,Undirected,84567,,,0.303003
M124691,M26837,Undirected,112546,,,0.535155
M124692,M25704,Undirected,123897,,,0.388627
M96907,M124691,Undirected,163532,,,0.289596
M124692,M124691,Undirected,197804,,,0.961086
M25704,M124691,Undirected,235923,,,0.391503
M96907,M124689,Undirected,237214,,,0.970817
