Id,Label,timeset,modularity_class,name,country,group
M125706,Jiří POSPÍŠIL,,2,Jiří POSPÍŠIL,Czechia,PPE
M124709,Martina DLABAJOVÁ,,2,Martina DLABAJOVÁ,Czechia,ALDE
M96713,Evžen TOŠENOVSKÝ,,0,Evžen TOŠENOVSKÝ,Czechia,ECR
M124699,Miroslav POCHE,,1,Miroslav POCHE,Czechia,S&D
M96718,Olga SEHNALOVÁ,,1,Olga SEHNALOVÁ,Czechia,S&D
M124706,Pavel TELIČKA,,2,Pavel TELIČKA,Czechia,ALDE
M96272,Pavel SVOBODA,,2,Pavel SVOBODA,Czechia,PPE
M124708,Dita CHARANZOVÁ,,2,Dita CHARANZOVÁ,Czechia,ALDE
M124695,Jan KELLER,,1,Jan KELLER,Czechia,S&D
M96715,Pavel POC,,1,Pavel POC,Czechia,S&D
M124701,Luděk NIEDERMAYER,,2,Luděk NIEDERMAYER,Czechia,PPE
M23699,Kateřina KONEČNÁ,,1,Kateřina KONEČNÁ,Czechia,GUE/NGL
M28331,Jaromír KOHLÍČEK,,1,Jaromír KOHLÍČEK,Czechia,GUE/NGL
M84175,Petr MACH,,0,Petr MACH,Czechia,EFDD
M23712,Jan ZAHRADIL,,0,Jan ZAHRADIL,Czechia,ECR
M124707,Petr JEŽEK,,2,Petr JEŽEK,Czechia,ALDE
M124704,Stanislav POLČÁK,,2,Stanislav POLČÁK,Czechia,PPE
M124710,Michaela ŠOJDROVÁ,,2,Michaela ŠOJDROVÁ,Czechia,PPE
M124702,Jaromír ŠTĚTINA,,2,Jaromír ŠTĚTINA,Czechia,PPE
M124713,Tomáš ZDECHOVSKÝ,,2,Tomáš ZDECHOVSKÝ,Czechia,PPE
M23704,Jiří MAŠTÁLKA,,1,Jiří MAŠTÁLKA,Czechia,GUE/NGL
M189507,Jiří PAYNE,,0,Jiří PAYNE,Czechia,EFDD
