Source,Target,Type,Id,Label,timeset,Weight
M124697,M28424,Undirected,5786,,,0.662357
M97136,M124700,Undirected,40091,,,0.387849
M124700,M124698,Undirected,46771,,,0.670103
M124697,M97136,Undirected,59836,,,0.375834
M124697,M124700,Undirected,61487,,,0.91827
M97136,M97025,Undirected,72712,,,0.616529
M97136,M124698,Undirected,76832,,,0.581078
M124700,M97025,Undirected,92317,,,0.576451
M124698,M129073,Undirected,107916,,,0.647772
M124698,M28424,Undirected,109882,,,0.544012
M28424,M129073,Undirected,110447,,,0.672791
M124700,M129073,Undirected,135505,,,0.886981
M28424,M97025,Undirected,137748,,,0.420874
M97136,M28424,Undirected,179173,,,0.137729
M124697,M129073,Undirected,181225,,,0.961256
M124697,M124698,Undirected,185071,,,0.646424
M124700,M28424,Undirected,195539,,,0.613982
M97136,M129073,Undirected,207568,,,0.334247
M129073,M97025,Undirected,218704,,,0.524499
M124697,M97025,Undirected,220917,,,0.652764
