Source,Target,Type,Id,Label,timeset,Weight
M2128,M191693,Undirected,1206,,,0.734177
M28316,M124726,Undirected,5066,,,0.661147
M132366,M28314,Undirected,10746,,,0.286187
M2128,M112611,Undirected,13014,,,0.609756
M114268,M40599,Undirected,14908,,,0.649746
M28314,M124727,Undirected,17418,,,0.252562
M112611,M124727,Undirected,17994,,,0.366694
M124736,M96684,Undirected,19050,,,0.439859
M193269,M124726,Undirected,27575,,,0.672759
M114268,M96684,Undirected,29226,,,0.59726
M124736,M112611,Undirected,34342,,,0.035164
M114268,M124735,Undirected,35300,,,0.607225
M132366,M2054,Undirected,36583,,,0.171198
M2128,M124727,Undirected,38045,,,0.346637
M40599,M124726,Undirected,44019,,,0.682017
M191693,M124735,Undirected,44140,,,0.568182
M132366,M124735,Undirected,47916,,,0.27644
M193269,M112611,Undirected,49419,,,0.682426
M114268,M132366,Undirected,52656,,,0.27326
M124735,M28314,Undirected,56595,,,0.579143
M124735,M124726,Undirected,57768,,,0.545539
M124735,M40599,Undirected,58344,,,0.693459
M191693,M96684,Undirected,60291,,,0.542259
M191693,M2054,Undirected,61620,,,0.255549
M114268,M28314,Undirected,64224,,,0.861102
M124736,M28314,Undirected,65454,,,0.193536
M132366,M40599,Undirected,68172,,,0.291885
M191693,M112611,Undirected,75871,,,0.711239
M28314,M96684,Undirected,83141,,,0.567618
M124736,M124735,Undirected,85634,,,0.439243
M193269,M124727,Undirected,88540,,,0.22807
M132366,M96684,Undirected,88943,,,0.268497
M193269,M40599,Undirected,90721,,,0.58928
M124735,M2054,Undirected,94285,,,0.580551
M114268,M124727,Undirected,95226,,,0.239703
M28316,M2128,Undirected,96595,,,0.874754
M2128,M124735,Undirected,99898,,,0.486575
M112611,M40599,Undirected,102611,,,0.675704
M124736,M2054,Undirected,102889,,,0.741592
M28316,M40599,Undirected,107867,,,0.581739
M132366,M124727,Undirected,110230,,,0.550489
M132366,M124726,Undirected,110723,,,0.297031
M2128,M28314,Undirected,118154,,,0.8036
M40599,M96684,Undirected,119323,,,0.692164
M2128,M40599,Undirected,119975,,,0.53277
M114268,M112611,Undirected,120542,,,0.697576
M193269,M124735,Undirected,125177,,,0.55419
M124736,M132366,Undirected,128584,,,0.125313
M193269,M28314,Undirected,130944,,,0.902074
M124726,M124727,Undirected,132097,,,0.350946
M28314,M124726,Undirected,132422,,,0.656855
M124726,M2054,Undirected,132634,,,0.170585
M124735,M112611,Undirected,138036,,,0.519567
M28314,M2054,Undirected,139411,,,0.316209
M2128,M132366,Undirected,146007,,,0.273692
M114268,M124726,Undirected,149587,,,0.699432
M193269,M124736,Undirected,150002,,,0.104315
M191693,M40599,Undirected,150630,,,0.612536
M2054,M96684,Undirected,150915,,,0.586054
M28316,M112611,Undirected,152213,,,0.67632
M124735,M124727,Undirected,158213,,,0.030271
M132366,M112611,Undirected,160212,,,0.279384
M114268,M2054,Undirected,165235,,,0.319353
M114268,M191693,Undirected,165688,,,0.931869
M193269,M114268,Undirected,169077,,,0.946515
M114268,M124736,Undirected,170810,,,0.184336
M40599,M124727,Undirected,176273,,,0.092105
M28316,M28314,Undirected,176788,,,0.805998
M28316,M124727,Undirected,177534,,,0.379791
M28316,M114268,Undirected,179552,,,0.833884
M2128,M124726,Undirected,182671,,,0.605825
M193269,M96684,Undirected,184506,,,0.519065
M96684,M124727,Undirected,185320,,,0.040254
M191693,M124736,Undirected,188539,,,0.142341
M124736,M40599,Undirected,191923,,,0.337655
M191693,M124727,Undirected,192066,,,0.221598
M124735,M96684,Undirected,193337,,,0.92321
M193269,M191693,Undirected,197095,,,0.963772
M191693,M28314,Undirected,198577,,,0.891321
M191693,M124726,Undirected,200961,,,0.700105
M28316,M2054,Undirected,202705,,,0.224452
M112611,M28314,Undirected,209098,,,0.647261
M112611,M2054,Undirected,212004,,,0.159632
M112611,M124726,Undirected,213180,,,0.932765
M2128,M124736,Undirected,213837,,,0.157833
M2128,M2054,Undirected,219259,,,0.226624
M28316,M132366,Undirected,220000,,,0.288482
M124726,M96684,Undirected,224474,,,0.506401
M2128,M96684,Undirected,226470,,,0.493194
M193269,M2054,Undirected,227467,,,0.228873
M28316,M124736,Undirected,228788,,,0.136521
M28316,M124735,Undirected,237050,,,0.495525
M191693,M132366,Undirected,240414,,,0.303211
M193269,M132366,Undirected,240812,,,0.331071
M2128,M114268,Undirected,241883,,,0.79777
M124736,M124726,Undirected,242013,,,0.04468
M28314,M40599,Undirected,242840,,,0.625664
M28316,M96684,Undirected,243127,,,0.52242
M112611,M96684,Undirected,243677,,,0.501217
M40599,M2054,Undirected,243727,,,0.482814
