Id,Label,timeset,modularity_class,name,country,group
M96877,Zoltán BALCZÓ,,1,Zoltán BALCZÓ,Hungary,NI
M124705,István UJHELYI,,1,István UJHELYI,Hungary,S&D
M124712,Andrea BOCSKOR,,2,Andrea BOCSKOR,Hungary,PPE
M28150,Kinga GÁL,,2,Kinga GÁL,Hungary,PPE
M124715,György HÖLVÉNYI,,2,György HÖLVÉNYI,Hungary,PPE
M124723,Péter NIEDERMÜLLER,,1,Péter NIEDERMÜLLER,Hungary,S&D
M102886,Ildikó GÁLL-PELCZ,,2,Ildikó GÁLL-PELCZ,Hungary,PPE
M124703,Tibor SZANYI,,1,Tibor SZANYI,Hungary,S&D
M124711,Norbert ERDŐS,,2,Norbert ERDŐS,Hungary,PPE
M96829,Ádám KÓSA,,2,Ádám KÓSA,Hungary,PPE
M124720,Tamás MESZERICS,,1,Tamás MESZERICS,Hungary,Verts/ALE
M39726,László TŐKÉS,,2,László TŐKÉS,Hungary,PPE
M124721,Benedek JÁVOR,,1,Benedek JÁVOR,Hungary,Verts/ALE
M28141,Lívia JÁRÓKA,,2,Lívia JÁRÓKA,Hungary,PPE
M96826,Tamás DEUTSCH,,2,Tamás DEUTSCH,Hungary,PPE
M23816,András GYÜRK,,2,András GYÜRK,Hungary,PPE
M124722,Csaba MOLNÁR,,1,Csaba MOLNÁR,Hungary,S&D
M28135,György SCHÖPFLIN,,2,György SCHÖPFLIN,Hungary,PPE
M96661,Krisztina MORVAI,,1,Krisztina MORVAI,Hungary,NI
M124714,Andor DELI,,2,Andor DELI,Hungary,PPE
M102887,Béla KOVÁCS,,1,Béla KOVÁCS,Hungary,NI
M23821,József SZÁJER,,2,József SZÁJER,Hungary,PPE
