Source,Target,Type,Id,Label,timeset,Weight
M96603,M28115,Undirected,3778,,,0.349543
M96603,M28116,Undirected,3817,,,0.538481
M28115,M28116,Undirected,5787,,,0.652374
M124984,M28116,Undirected,12930,,,0.187696
M96603,M124988,Undirected,19319,,,0.338907
M124987,M124986,Undirected,23308,,,0.993447
M96603,M124987,Undirected,27800,,,0.413746
M124986,M28116,Undirected,35824,,,0.174758
M124987,M124985,Undirected,36882,,,0.835577
M124985,M124986,Undirected,41340,,,0.828446
M96668,M118658,Undirected,44552,,,0.953004
M118658,M124988,Undirected,50254,,,0.942419
M96603,M124986,Undirected,58231,,,0.417057
M124988,M28116,Undirected,59005,,,0.609455
M124987,M28116,Undirected,71329,,,0.16735
M124984,M124986,Undirected,88120,,,0.992436
M118658,M28116,Undirected,96778,,,0.632996
M96668,M28116,Undirected,104164,,,0.629513
M96603,M118658,Undirected,124809,,,0.354023
M124987,M124984,Undirected,125474,,,0.994318
M28115,M118658,Undirected,131635,,,0.951882
M124985,M124984,Undirected,198080,,,0.822381
M28115,M124988,Undirected,199810,,,0.960841
M96603,M124984,Undirected,204639,,,0.392174
M96668,M96603,Undirected,221595,,,0.328683
M96668,M124988,Undirected,224440,,,0.96619
M124985,M28116,Undirected,229787,,,0.179851
M96668,M28115,Undirected,231054,,,0.966786
M96603,M124985,Undirected,234574,,,0.437703
