Source,Target,Type,Id,Label,timeset,Weight
M28617,M124743,Undirected,11555,,,0.92745
M28617,M28619,Undirected,15260,,,0.074523
M28619,M124743,Undirected,30100,,,0.055222
M96934,M124746,Undirected,43152,,,0.414645
M124745,M191695,Undirected,47691,,,0.186535
M28615,M28617,Undirected,53993,,,0.487834
M111033,M96934,Undirected,54682,,,0.939873
M111033,M28617,Undirected,58337,,,0.962541
M96934,M96901,Undirected,58751,,,0.954418
M124745,M28619,Undirected,69930,,,0.398649
M28617,M191695,Undirected,70953,,,0.033846
M124745,M124746,Undirected,79475,,,0.548396
M124745,M28615,Undirected,96511,,,0.428279
M96901,M191695,Undirected,100817,,,0.154316
M124745,M28617,Undirected,103165,,,0.715206
M28615,M96901,Undirected,104537,,,0.498137
M28615,M124743,Undirected,108549,,,0.505725
M96934,M124743,Undirected,108665,,,0.919949
M124743,M124746,Undirected,127206,,,0.395587
M96934,M191695,Undirected,132288,,,0.120989
M28619,M96901,Undirected,147595,,,0.074061
M111033,M124745,Undirected,151764,,,0.784447
M28615,M96934,Undirected,152397,,,0.474448
M28619,M124746,Undirected,153819,,,0.560424
M28617,M96934,Undirected,157408,,,0.938586
M96901,M124743,Undirected,170468,,,0.944615
M28617,M124746,Undirected,171997,,,0.38999
M124745,M96901,Undirected,175052,,,0.678848
M96934,M28619,Undirected,180857,,,0.119182
M111033,M28615,Undirected,181625,,,0.489008
M124745,M96934,Undirected,184804,,,0.688973
M28617,M96901,Undirected,191035,,,0.957963
M124743,M191695,Undirected,193435,,,0.181026
M191695,M124746,Undirected,203973,,,0.585476
M28615,M124746,Undirected,228514,,,0.100558
M96901,M124746,Undirected,233616,,,0.416655
M124745,M124743,Undirected,234376,,,0.665781
M111033,M124746,Undirected,242228,,,0.326266
