Id,name,country,group
M190519,Caroline NAGTEGAAL,Netherlands,ALDE
M125030,Annie SCHREIJER-PIERIK,Netherlands,PPE
M38398,Esther de LANGE,Netherlands,PPE
M125019,Cora van NIEUWENHUIZEN,Netherlands,ALDE
M28165,Lambert van NISTELROOIJ,Netherlands,PPE
M58789,Jan HUITEMA,Netherlands,ALDE
M125028,Olaf STUGER,Netherlands,ENF
M125025,Marcel de GRAAFF,Netherlands,ENF
M125020,Paul TANG,Netherlands,S&D
M125037,Anne-Marie MINEUR,Netherlands,GUE/NGL
M97513,Vicky MAEIJER,Netherlands,ENF
M103246,Auke ZIJLSTRA,Netherlands,ENF
M125023,Anja HAZEKAMP,Netherlands,GUE/NGL
M96809,Peter van DALEN,Netherlands,ECR
M96748,Dennis de JONG,Netherlands,GUE/NGL
M125021,Agnes JONGERIUS,Netherlands,S&D
M37229,Kati PIRI,Netherlands,S&D
M96754,Wim van de CAMP,Netherlands,PPE
M96940,Gerben-Jan GERBRANDY,Netherlands,ALDE
M125022,Matthijs van MILTENBURG,Netherlands,ALDE
M96945,Marietje SCHAAKE,Netherlands,ALDE
M96937,Johannes Cornelis van BAALEN,Netherlands,ALDE
M95074,Jeroen LENAERS,Netherlands,PPE
M28266,Sophia in 't VELD,Netherlands,ALDE
M188445,André ELISSEN,Netherlands,ENF
M96815,Judith SARGENTINI,Netherlands,Verts/ALE
M4507,Bas BELDER,Netherlands,ECR
M96725,Bas EICKHOUT,Netherlands,Verts/ALE
