Id,name,country,group
M28299,Bogusław SONIK,Poland,PPE
M135540,Czesław HOC,Poland,ECR
M124902,Stanisław ŻÓŁTEK,Poland,ENF
M124874,Bolesław G. PIECHA,Poland,ECR
M28341,Mirosław PIOTROWSKI,Poland,ECR
M132925,Edward CZESAK,Poland,ECR
M96791,Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,PPE
M23784,Janusz WOJCIECHOWSKI,Poland,ECR
M96779,Danuta Maria HÜBNER,Poland,PPE
M28379,Adam GIEREK,Poland,S&D
M124894,Michał MARUSIK,Poland,ENF
M124896,Michał BONI,Poland,PPE
M96776,Róża THUN UND HOHENSTEIN,Poland,PPE
M96796,Ryszard Antoni LEGUTKO,Poland,ECR
M124881,Marek PLURA,Poland,PPE
M28389,Zbigniew KUŹMIUK,Poland,ECR
M28288,Jan OLBRYCHT,Poland,PPE
M28301,Tadeusz ZWIEFKA,Poland,PPE
M124897,Stanisław OŻÓG,Poland,ECR
M96784,Janusz ZEMKE,Poland,S&D
M23768,Bogusław LIBERADZKI,Poland,S&D
M124893,Bogdan Andrzej ZDROJEWSKI,Poland,PPE
M124886,Robert Jarosław IWASZKIEWICZ,Poland,EFDD
M192298,Dobromir SOŚNIERZ,Poland,NI
M124879,Janusz KORWIN-MIKKE,Poland,NI
M124877,Jadwiga WIŚNIEWSKA,Poland,ECR
M96781,Danuta JAZŁOWIECKA,Poland,PPE
M28297,Jacek SARYUSZ-WOLSKI,Poland,ECR
M28269,Jerzy BUZEK,Poland,PPE
M28394,Dariusz ROSATI,Poland,PPE
M23787,Czesław Adam SIEKIERSKI,Poland,PPE
M96801,Tomasz Piotr PORĘBA,Poland,ECR
M23781,Janusz LEWANDOWSKI,Poland,PPE
M23791,Kazimierz Michał UJAZDOWSKI,Poland,NI
M124884,Kosma ZŁOTOWSKI,Poland,ECR
M124892,Marek JUREK,Poland,ECR
M124890,Adam SZEJNFELD,Poland,PPE
M124898,Julia PITERA,Poland,PPE
M135541,Sławomir KŁOSOWSKI,Poland,ECR
M23785,Andrzej GRZYB,Poland,PPE
M28377,Lidia Joanna GERINGER de OEDENBERG,Poland,S&D
M28372,Ryszard CZARNECKI,Poland,ECR
M124895,Krzysztof HETMAN,Poland,PPE
M96774,Jarosław WAŁĘSA,Poland,PPE
M28284,Barbara KUDRYCKA,Poland,PPE
M124903,Bogdan Brunon WENTA,Poland,PPE
M28334,Urszula KRUPA,Poland,ECR
M124891,Zdzisław KRASNODĘBSKI,Poland,ECR
M124889,Agnieszka KOZŁOWSKA-RAJEWICZ,Poland,PPE
M124883,Krystyna ŁYBACKA,Poland,S&D
M124887,Karol KARSKI,Poland,ECR
M28353,Anna FOTYGA,Poland,ECR
M124900,Beata GOSIEWSKA,Poland,ECR
M96771,Jarosław KALINOWSKI,Poland,PPE
