Id,name,country,group
M39713,Renate WEBER,Romania,ALDE
M191377,Maria Gabriela ZOANĂ,Romania,S&D
M131750,Mihai ŢURCANU,Romania,PPE
M96835,Traian UNGUREANU,Romania,PPE
M124802,Siegfried MUREŞAN,Romania,PPE
M96847,Claudiu Ciprian TĂNĂSESCU,Romania,S&D
M124792,Laurenţiu REBEGA,Romania,ECR
M33989,Daciana Octavia SÂRBU,Romania,S&D
M124786,Damian DRĂGHICI,Romania,S&D
M37324,Adina-Ioana VĂLEAN,Romania,PPE
M33984,Ioan Mircea PAŞCU,Romania,S&D
M39721,Theodor Dumitru STOLOJAN,Romania,PPE
M33982,Marian-Jean MARINESCU,Romania,PPE
M39725,Iuliu WINKLER,Romania,PPE
M39717,Ramona Nicole MĂNESCU,Romania,PPE
M124789,Sorin MOISĂ,Romania,PPE
M124805,Mircea DIACONU,Romania,ALDE
M88882,Victor NEGRESCU,Romania,S&D
M39711,Victor BOŞTINARU,Romania,S&D
M96838,Cristian Dan PREDA,Romania,PPE
M96824,Monica MACOVEI,Romania,ECR
M40224,Andi CRISTEA,Romania,S&D
M124793,Claudia ȚAPARDEL,Romania,S&D
M129256,Emilian PAVEL,Romania,S&D
M96825,Norica NICOLAI,Romania,ALDE
M96857,Cătălin Sorin IVAN,Romania,NI
M124785,Maria GRAPINI,Romania,S&D
M124784,Dan NICA,Romania,S&D
M39724,Csaba SÓGOR,Romania,PPE
M95281,Viorica DĂNCILĂ,Romania,S&D
M189490,Răzvan POPA,Romania,S&D
M124790,Doru-Claudian FRUNZULICĂ,Romania,S&D
M125012,Daniel BUDA,Romania,PPE
M38420,Cristian-Silviu BUŞOI,Romania,PPE
