Id,Label,timeset,modularity_class,name,country,group
M96655,Monika SMOLKOVÁ,,1,Monika SMOLKOVÁ,Slovakia,S&D
M23894,Anna ZÁBORSKÁ,,2,Anna ZÁBORSKÁ,Slovakia,PPE
M96651,Eduard KUKAN,,2,Eduard KUKAN,Slovakia,PPE
M124901,Jana ŽITŇANSKÁ,,0,Jana ŽITŇANSKÁ,Slovakia,ECR
M28192,Vladimír MAŇKA,,1,Vladimír MAŇKA,Slovakia,S&D
M124929,Ivan ŠTEFANEC,,2,Ivan ŠTEFANEC,Slovakia,PPE
M124930,Pál CSÁKY,,2,Pál CSÁKY,Slovakia,PPE
M124928,Richard SULÍK,,0,Richard SULÍK,Slovakia,ECR
M124926,József NAGY,,2,József NAGY,Slovakia,PPE
M124927,Branislav ŠKRIPEK,,0,Branislav ŠKRIPEK,Slovakia,ECR
M28178,Miroslav MIKOLÁŠIK,,2,Miroslav MIKOLÁŠIK,Slovakia,PPE
M96656,Boris ZALA,,1,Boris ZALA,Slovakia,S&D
M23868,Monika BEŇOVÁ,,1,Monika BEŇOVÁ,Slovakia,S&D
