Id,Label,timeset,modularity_class,name,country,group
M28126,Christofer FJELLNER,,2,Christofer FJELLNER,Sweden,PPE
M28131,Anna HEDH,,1,Anna HEDH,Sweden,S&D
M124992,Malin BJÖRK,,1,Malin BJÖRK,Sweden,GUE/NGL
M124994,Max ANDERSSON,,1,Max ANDERSSON,Sweden,Verts/ALE
M96673,Olle LUDVIGSSON,,1,Olle LUDVIGSSON,Sweden,S&D
M111024,Jens NILSSON,,1,Jens NILSSON,Sweden,S&D
M192465,Aleksander GABELIC,,1,Aleksander GABELIC,Sweden,S&D
M96677,Cecilia WIKSTRÖM,,2,Cecilia WIKSTRÖM,Sweden,ALDE
M96672,Marita ULVSKOG,,1,Marita ULVSKOG,Sweden,S&D
M124937,Peter ERIKSSON,,1,Peter ERIKSSON,Sweden,Verts/ALE
M124997,Soraya POST,,1,Soraya POST,Sweden,S&D
M124990,Lars ADAKTUSSON,,2,Lars ADAKTUSSON,Sweden,PPE
M96674,Anna Maria CORAZZA BILDT,,2,Anna Maria CORAZZA BILDT,Sweden,PPE
M134243,Jasenko SELIMOVIC,,2,Jasenko SELIMOVIC,Sweden,ALDE
M124996,Peter LUNDGREN,,0,Peter LUNDGREN,Sweden,ECR
M194658,Anders SELLSTRÖM,,2,Anders SELLSTRÖM,Sweden,PPE
M124991,Jytte GUTELAND,,1,Jytte GUTELAND,Sweden,S&D
M124989,Fredrick FEDERLEY,,2,Fredrick FEDERLEY,Sweden,ALDE
M128588,Linnéa ENGSTRÖM,,1,Linnéa ENGSTRÖM,Sweden,Verts/ALE
M124993,Bodil VALERO,,1,Bodil VALERO,Sweden,Verts/ALE
M183338,Jakop G. DALUNDE,,1,Jakop G. DALUNDE,Sweden,Verts/ALE
M28124,Gunnar HÖKMARK,,2,Gunnar HÖKMARK,Sweden,PPE
M124995,Kristina WINBERG,,0,Kristina WINBERG,Sweden,ECR
